,what,city,",",raided,by,clans,and,dukes,",",preceded,the,founding,of,warszowa,?
after,0.21973377466201782,0.2613813877105713,0.38860568404197693,0.26512548327445984,0.41259682178497314,0.17310447990894318,0.3765919506549835,0.16606320440769196,0.38860568404197693,0.29274222254753113,0.4565047025680542,0.257466584444046,0.3867455720901489,0.22209596633911133,0.16608688235282898
jazdów,0.23771727085113525,0.3723028898239136,0.3740239441394806,0.2798782289028168,0.19987161457538605,0.23640619218349457,0.32440364360809326,0.21968413889408112,0.3740239441394806,0.03784046322107315,0.28953301906585693,0.23279856145381927,0.28392234444618225,0.4200054705142975,0.1926601231098175
was,0.22111038863658905,0.3188765048980713,0.45456063747406006,0.2927231788635254,0.4752357602119446,0.12382829934358597,0.3740963041782379,0.20445600152015686,0.45456063747406006,0.21719537675380707,0.48711544275283813,0.36926978826522827,0.4069072902202606,0.28783297538757324,0.18412111699581146
raided,0.13209150731563568,0.25922346115112305,0.2697465717792511,1.0000001192092896,0.29442504048347473,0.325116902589798,0.2940787374973297,0.20256191492080688,0.2697465717792511,0.22679606080055237,0.3490786552429199,0.24674208462238312,0.2929002046585083,0.2750929296016693,0.0814773216843605
by,0.2455483376979828,0.21020644903182983,0.3680937886238098,0.29442504048347473,1.0000001192092896,0.16967308521270752,0.4289871156215668,0.19337807595729828,0.3680937886238098,0.28692826628685,0.4408751428127289,0.24328337609767914,0.3646814823150635,0.13955765962600708,0.17966607213020325
nearby,0.13611137866973877,0.3032483756542206,0.227713942527771,0.37322112917900085,0.2229699045419693,0.251670777797699,0.2869149148464203,0.16565051674842834,0.227713942527771,0.0682852640748024,0.2903098165988922,0.1654556691646576,0.2392946183681488,0.25440293550491333,0.07977716624736786
clans,0.21558311581611633,0.2112838178873062,0.21622519195079803,0.325116902589798,0.16967308521270752,1.0000001192092896,0.27946627140045166,0.22376307845115662,0.21622519195079803,0.09519415348768234,0.3148679733276367,0.20162944495677948,0.2845551371574402,0.3065741956233978,0.1368861049413681
and,0.31309178471565247,0.2827445864677429,0.6633074283599854,0.2940787374973297,0.4289871156215668,0.27946627140045166,1.0,0.25137466192245483,0.6633074283599854,0.1975412368774414,0.5171257257461548,0.28134027123451233,0.5116966962814331,0.25283578038215637,0.20544172823429108
dukes,0.11757048964500427,0.20851176977157593,0.2507552206516266,0.20256191492080688,0.19337807595729828,0.22376307845115662,0.25137466192245483,1.0,0.2507552206516266,0.20056821405887604,0.2551864981651306,0.22547344863414764,0.26280146837234497,0.28928762674331665,0.09325318783521652
",",0.3087472915649414,0.35839709639549255,1.0000001192092896,0.2697465717792511,0.3680937886238098,0.21622519195079803,0.6633074283599854,0.2507552206516266,1.0000001192092896,0.23400892317295074,0.4933079481124878,0.2779809832572937,0.4946078956127167,0.32864099740982056,0.31091248989105225
a,0.3320399522781372,0.2349124401807785,0.427140474319458,0.23178227245807648,0.32094135880470276,0.18141646683216095,0.3739250600337982,0.16561885178089142,0.427140474319458,0.13255129754543304,0.5829201340675354,0.2064124047756195,0.5052502155303955,0.1874004602432251,0.23916715383529663
new,0.2130378633737564,0.3555362820625305,0.36073189973831177,0.13607391715049744,0.25394493341445923,0.17664310336112976,0.31402453780174255,0.1738918125629425,0.36073189973831177,0.11511910706758499,0.3845241069793701,0.20588254928588867,0.343457967042923,0.20073875784873962,0.14782847464084625
similar,0.30608364939689636,0.027592629194259644,0.29403579235076904,0.16170750558376312,0.28307145833969116,0.16971375048160553,0.3316260874271393,0.1100434958934784,0.29403579235076904,0.17065927386283875,0.2963123023509979,0.13691812753677368,0.2911645472049713,0.033894214779138565,0.23309361934661865
