,what,goal,do,many,of,these,protests,have,?
brownlee,0.1723894327878952,0.10438883304595947,0.12631428241729736,0.12501738965511322,0.2697301208972931,0.11650215834379196,0.2129906415939331,0.14569763839244843,0.27307888865470886
notes,0.19507816433906555,0.11373640596866608,0.1494685262441635,0.12498156726360321,0.13280174136161804,0.22551970183849335,0.13113270699977875,0.19346575438976288,0.23920853435993195
that,0.6297725439071655,0.2496824711561203,0.44533252716064453,0.5391656160354614,0.41498205065727234,0.5512621402740479,0.24995765089988708,0.6182622313499451,0.32716336846351624
``,0.008517155423760414,0.01941765658557415,0.06628920882940292,0.012824942357838154,0.06780257821083069,0.09766163676977158,0.06288579106330872,0.1022237241268158,0.0685480609536171
although,0.24844598770141602,0.08889370411634445,0.23230431973934174,0.36542749404907227,0.3024747669696808,0.3692365884780884,0.1833588033914566,0.4518011808395386,0.15541206300258636
civil,0.15091551840305328,0.17077134549617767,0.12413616478443146,0.2212105095386505,0.24698495864868164,0.17604097723960876,0.31896910071372986,0.16153892874717712,0.1494513899087906
disobedients,0.3241478204727173,0.2087748646736145,0.30426225066185,0.34408441185951233,0.32510921359062195,0.4058000147342682,0.4629605710506439,0.30075547099113464,0.18925230205059052
are,0.29724663496017456,0.15042772889137268,0.41111594438552856,0.5655534863471985,0.39081433415412903,0.7107698917388916,0.18422359228134155,0.6577680706977844,0.24591213464736938
constrained,0.2909078001976013,0.27438265085220337,0.31987035274505615,0.3119999170303345,0.27477842569351196,0.37990257143974304,0.2842068374156952,0.36189907789230347,0.2213311493396759
in,0.30808621644973755,0.2241991013288498,0.23402775824069977,0.41474202275276184,0.5696388483047485,0.3791837692260742,0.30384960770606995,0.36843645572662354,0.20430970191955566
their,0.35142919421195984,0.2400694042444229,0.35424983501434326,0.4574248492717743,0.4329940676689148,0.555290937423706,0.20692797005176544,0.523270845413208,0.1898253709077835
use,0.3453877568244934,0.2609137296676636,0.4545445144176483,0.3544585704803467,0.2750902473926544,0.43580424785614014,0.14873038232326508,0.4805850088596344,0.32795652747154236
of,0.33290785551071167,0.1838325709104538,0.26150479912757874,0.37253960967063904,1.0,0.42684608697891235,0.24181179702281952,0.3802283704280853,0.1826142966747284
coercion,0.29042088985443115,0.2796834111213684,0.3047697842121124,0.22379499673843384,0.2643294036388397,0.27801674604415894,0.3381975591182709,0.2957940101623535,0.2442706823348999
by,0.2455483376979828,0.14687420427799225,0.1481526494026184,0.3409687578678131,0.3646814823150635,0.33332425355911255,0.17826148867607117,0.3359639644622803,0.17966607213020325
their,0.35142919421195984,0.2400694042444229,0.35424983501434326,0.4574248492717743,0.4329940676689148,0.555290937423706,0.20692797005176544,0.523270845413208,0.1898253709077835
conscientious,0.3660549819469452,0.23311595618724823,0.2612609267234802,0.22778306901454926,0.19853278994560242,0.2057124525308609,0.278942734003067,0.28381118178367615,0.24232997000217438
aim,0.25839361548423767,0.4839978516101837,0.15485148131847382,0.18804405629634857,0.1749214082956314,0.22287657856941223,0.17242425680160522,0.22261318564414978,0.14447996020317078
to,0.455847829580307,0.37094977498054504,0.38876664638519287,0.40243685245513916,0.41548454761505127,0.46852558851242065,0.188382089138031,0.4544740617275238,0.29463258385658264
engage,0.22919274866580963,0.18120871484279633,0.31659552454948425,0.2112809717655182,0.16617678105831146,0.26912999153137207,0.22561785578727722,0.29482412338256836,0.1593245565891266
in,0.30808621644973755,0.2241991013288498,0.23402775824069977,0.41474202275276184,0.5696388483047485,0.3791837692260742,0.30384960770606995,0.36843645572662354,0.20430970191955566
moral,0.3679145574569702,0.3054131269454956,0.2520025670528412,0.2033206969499588,0.21832716464996338,0.25448301434516907,0.1601734608411789,0.20437315106391907,0.2608962953090668
dialogue,0.28533935546875,0.22360533475875854,0.13207973539829254,0.2003045380115509,0.1924532651901245,0.2507639527320862,0.1897563338279724,0.1864965260028839,0.20502491295337677
",",0.3087472915649414,0.2145523726940155,0.3283645510673523,0.40610817074775696,0.4946078956127167,0.37613096833229065,0.277413010597229,0.3541618287563324,0.31091248989105225
nevertheless,0.3331672251224518,0.19078899919986725,0.27044978737831116,0.39330288767814636,0.2589026987552643,0.38472864031791687,0.2333049327135086,0.4535629153251648,0.12207362055778503
they,0.4431931674480438,0.18134628236293793,0.4667694866657257,0.5400822758674622,0.3426007330417633,0.6480963826179504,0.2563529312610626,0.6542890071868896,0.2753053903579712
may,0.25739946961402893,0.18496257066726685,0.28230178356170654,0.29758191108703613,0.26447007060050964,0.31939980387687683,0.2143801599740982,0.35194188356399536,0.2768254578113556
find,0.3539876639842987,0.20441672205924988,0.3571088910102844,0.2689669728279114,0.2276865392923355,0.26576027274131775,0.12221792340278625,0.3999665379524231,0.30313602089881897
it,0.45803478360176086,0.1903461366891861,0.337066113948822,0.39615920186042786,0.38761502504348755,0.39955374598503113,0.17163406312465668,0.40974161028862,0.25732165575027466
necessary,0.3794087767601013,0.26211515069007874,0.4343792200088501,0.28069594502449036,0.26879626512527466,0.42801618576049805,0.22327739000320435,0.39157962799072266,0.3430270850658417
