,when,was,the,regime,in,pakistan,overthrown,by,general,zia-ul-haq,?
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21639317274093628,1.0,0.24662645161151886,0.16733208298683167,0.370934396982193,0.259066641330719,0.22364242374897003,0.20430970191955566
july,0.24211758375167847,0.40724116563796997,0.2371699959039688,0.1495428830385208,0.26500701904296875,0.17377442121505737,0.17828772962093353,0.16927224397659302,0.2601194977760315,0.25226473808288574,0.2897891402244568
1977,0.018014030531048775,0.047073230147361755,0.06613131612539291,0.07330990582704544,0.09717167168855667,-0.035578444600105286,0.04767051339149475,0.053548846393823624,-0.061190031468868256,0.006450994871556759,-0.059247612953186035
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.20407676696777344,0.5201468467712402,0.2179376631975174,0.19919556379318237,0.3680937886238098,0.3022127151489258,0.28283727169036865,0.31091248989105225
general,0.20438088476657867,0.2445744127035141,0.28634732961654663,0.25307637453079224,0.259066641330719,0.19510933756828308,0.25316300988197327,0.2654627859592438,1.0000001192092896,0.3086647689342499,0.1972234547138214
zia-ul-haq,0.17593058943748474,0.2723572254180908,0.2155829817056656,0.3926641643047333,0.22364242374897003,0.4914134740829468,0.42038625478744507,0.20521928369998932,0.3086647689342499,1.0,0.21305955946445465
overthrew,0.25367072224617004,0.315337210893631,0.25723400712013245,0.5268933176994324,0.1911572962999344,0.2203398048877716,0.9216697216033936,0.24601434171199799,0.27466729283332825,0.42186570167541504,0.14385318756103516
prime,0.1445009857416153,0.21048103272914886,0.19960100948810577,0.2690385580062866,0.18097394704818726,0.20589180290699005,0.34184396266937256,0.1702890843153,0.3252279460430145,0.3757063150405884,0.11276303976774216
minister,0.14265094697475433,0.26634681224823,0.19297581911087036,0.33768028020858765,0.19794908165931702,0.22399237751960754,0.34255778789520264,0.15696930885314941,0.32670125365257263,0.4279787838459015,0.10825661569833755
zulfiqar,0.24734976887702942,0.36869797110557556,0.33155596256256104,0.4390532970428467,0.2838031053543091,0.5760942697525024,0.48509714007377625,0.29243096709251404,0.3174518048763275,0.7656320333480835,0.2310968041419983
ali,0.17012666165828705,0.2125740945339203,0.21759866178035736,0.2561793923377991,0.1458510458469391,0.42606985569000244,0.2904335856437683,0.1355224996805191,0.14113543927669525,0.5381606221199036,0.12320320308208466
bhutto,0.21377792954444885,0.26694849133491516,0.1840330958366394,0.38541045784950256,0.16425834596157074,0.5358190536499023,0.39484772086143494,0.17748960852622986,0.16381366550922394,0.6332414746284485,0.18564504384994507
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,0.04858331009745598,-0.037580832839012146,0.05393676087260246,-0.006326605100184679,-0.010884488001465797,-0.0757286474108696,0.05276070162653923,-0.023395681753754616
regime,0.24860002100467682,0.28841087222099304,0.23305538296699524,0.9999999403953552,0.21639317274093628,0.25401827692985535,0.5090360045433044,0.20985093712806702,0.25307637453079224,0.3926641643047333,0.15561191737651825
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.21639317274093628,1.0,0.24662645161151886,0.16733208298683167,0.370934396982193,0.259066641330719,0.22364242374897003,0.20430970191955566
pakistan,0.19907082617282867,0.1720658242702484,0.2717324197292328,0.25401827692985535,0.24662645161151886,0.9999999403953552,0.19190356135368347,0.1561909317970276,0.19510933756828308,0.4914134740829468,0.1329864263534546
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.18538424372673035,0.5591574311256409,0.24408453702926636,0.1838250309228897,0.3936232924461365,0.2929490804672241,0.26902973651885986,0.4130953550338745
