,who,is,the,biggest,and,most,advanced,economy,in,east,and,central,africa,?
although,0.3003382384777069,0.301360160112381,0.3265823423862457,0.12437280267477036,0.334905743598938,0.35402846336364746,0.23645460605621338,0.1888563632965088,0.28763338923454285,0.1777118444442749,0.334905743598938,0.15397004783153534,0.14931020140647888,0.15541206300258636
kenya,0.168242946267128,0.17591087520122528,0.21657514572143555,0.14455613493919373,0.20742860436439514,0.13890406489372253,0.17294400930404663,0.20317700505256653,0.23621977865695953,0.2637212574481964,0.20742860436439514,0.14939020574092865,0.4904056489467621,0.17197901010513306
is,0.24293622374534607,1.0,0.5823672413825989,0.3216690123081207,0.3859752118587494,0.41165053844451904,0.14119109511375427,0.2698528468608856,0.5394441485404968,0.2596127688884735,0.3859752118587494,0.273421049118042,0.18992355465888977,0.22961433231830597
the,0.3733934462070465,0.5823672413825989,1.0,0.3799763321876526,0.5171257257461548,0.47635307908058167,0.2635994255542755,0.24644890427589417,0.6662389636039734,0.3383176326751709,0.5171257257461548,0.3417201042175293,0.2903064787387848,0.22068053483963013
biggest,0.15887881815433502,0.3216690123081207,0.3799763321876526,0.9999998807907104,0.2873573303222656,0.38048669695854187,0.08437664806842804,0.25944653153419495,0.33434951305389404,0.2313453108072281,0.2873573303222656,0.203487366437912,0.22805769741535187,0.11438456177711487
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.2873573303222656,1.0,0.4309377074241638,0.23157277703285217,0.26484790444374084,0.4954058527946472,0.27633291482925415,1.0,0.2465941160917282,0.2685798704624176,0.20544172823429108
most,0.35393568873405457,0.41165053844451904,0.47635307908058167,0.38048669695854187,0.4309377074241638,1.0,0.2626595199108124,0.22784052789211273,0.41416558623313904,0.1843280792236328,0.4309377074241638,0.24005284905433655,0.24133837223052979,0.2107497900724411
advanced,0.18064400553703308,0.14119109511375427,0.2635994255542755,0.08437664806842804,0.23157277703285217,0.2626595199108124,1.0,0.19650542736053467,0.2200557142496109,0.14708885550498962,0.23157277703285217,0.16139698028564453,0.20877954363822937,0.1806638389825821
economy,0.14370210468769073,0.2698528468608856,0.24644890427589417,0.25944653153419495,0.26484790444374084,0.22784052789211273,0.19650542736053467,1.0,0.2588731348514557,0.25693970918655396,0.26484790444374084,0.19521751999855042,0.21359717845916748,0.11486924439668655
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.33434951305389404,0.4954058527946472,0.41416558623313904,0.2200557142496109,0.2588731348514557,1.0,0.32659441232681274,0.4954058527946472,0.30844059586524963,0.27806714177131653,0.20430970191955566
