,who,got,a,61-yard,return,when,players,thought,he,called,for,a,fair,catch,but,did,not,?
later,0.35185644030570984,0.3896948993206024,0.34254932403564453,0.254821240901947,0.1729685664176941,0.4627884030342102,0.1490153670310974,0.31293702125549316,0.4860261380672455,0.3076115846633911,0.3573088049888611,0.34254932403564453,0.1287318617105484,0.18039937317371368,0.4129682779312134,0.38386887311935425,0.263156533241272,0.1417175978422165
on,0.2340552806854248,0.28486916422843933,0.3848365545272827,0.22055281698703766,0.16799497604370117,0.37706470489501953,0.2058166116476059,0.225023552775383,0.32403138279914856,0.25462663173675537,0.36199691891670227,0.3848365545272827,0.2015625387430191,0.22425855696201324,0.3584071099758148,0.2670976221561432,0.3516409695148468,0.2714994251728058
",",0.3365725874900818,0.26594072580337524,0.427140474319458,0.23678749799728394,0.20895273983478546,0.36674630641937256,0.21334654092788696,0.2965437173843384,0.40251094102859497,0.26549121737480164,0.4464869201183319,0.427140474319458,0.2696084678173065,0.22902092337608337,0.48126736283302307,0.3015086054801941,0.3769696354866028,0.31091248989105225
broncos,0.1763724684715271,0.18089963495731354,0.19771797955036163,0.25212958455085754,0.16814765334129333,0.20478437840938568,0.4000788927078247,0.1281249076128006,0.2534533441066742,0.24751459062099457,0.2739109396934509,0.19771797955036163,0.08642525970935822,0.22480466961860657,0.15171389281749725,0.1738176792860031,0.14980052411556244,0.18377114832401276
receiver,0.1811998039484024,0.214888334274292,0.2591530680656433,0.22778646647930145,0.21475809812545776,0.21987920999526978,0.32144856452941895,0.03912016749382019,0.21855315566062927,0.2144208401441574,0.2781907320022583,0.2591530680656433,0.14859464764595032,0.3152948021888733,0.18750448524951935,0.15293848514556885,0.20114701986312866,0.11587938666343689
jordan,0.1708289384841919,0.14220191538333893,0.15182308852672577,0.17789191007614136,0.14726150035858154,0.15200942754745483,0.18140065670013428,0.15500105917453766,0.17771384119987488,0.11660004407167435,0.1851562261581421,0.15182308852672577,0.1374574452638626,0.10013286024332047,0.16645465791225433,0.16887551546096802,0.13728055357933044,0.10991371423006058
norwood,0.16892924904823303,0.1909787803888321,0.262413889169693,0.3065635561943054,0.12263331562280655,0.16606858372688293,0.1543036550283432,0.13534128665924072,0.2447582632303238,0.21384650468826294,0.1709475815296173,0.262413889169693,0.15151451528072357,0.13817442953586578,0.1904950886964798,0.15406884253025055,0.14240926504135132,0.14529889822006226
received,0.20717638731002808,0.5685970783233643,0.22444266080856323,0.14894762635231018,0.20627222955226898,0.17342817783355713,0.10829392820596695,0.19112883508205414,0.28511229157447815,0.20701977610588074,0.30396392941474915,0.22444266080856323,0.1570235788822174,0.1822792887687683,0.23787540197372437,0.3125181496143341,0.18749265372753143,0.11905962228775024
brad,0.262821763753891,0.21440157294273376,0.18648700416088104,0.29455047845840454,0.08076124638319016,0.145207017660141,0.22856193780899048,0.12285179644823074,0.2500934898853302,0.10133735835552216,0.24995790421962738,0.18648700416088104,0.1228971779346466,0.2061966508626938,0.11809547990560532,0.11875710636377335,0.13546933233737946,0.12968935072422028
nortman,0.28198349475860596,0.1884208619594574,0.29196542501449585,0.2848781943321228,0.18008951842784882,0.2411596029996872,0.2158566564321518,0.13567472994327545,0.29173538088798523,0.19551832973957062,0.22955100238323212,0.29196542501449585,0.1639569103717804,0.2813865542411804,0.18644022941589355,0.1443064957857132,0.21740218997001648,0.18721170723438263
