,who,knocked,the,ball,out,of,manning,'s,hands,on,the,next,play,?
on,0.2340552806854248,0.20865215361118317,0.5107308030128479,0.1605052351951599,0.39060163497924805,0.3966929316520691,0.25339728593826294,0.0026888418942689896,0.24878622591495514,0.9999999403953552,0.5107308030128479,0.33060458302497864,0.22181138396263123,0.2714994251728058
the,0.3733934462070465,0.25226226449012756,1.0,0.18895584344863892,0.39404502511024475,0.733189046382904,0.27058160305023193,-0.01540423184633255,0.27627843618392944,0.5107308030128479,1.0,0.35833123326301575,0.24793598055839539,0.22068053483963013
next,0.19192104041576385,0.2630823254585266,0.35833123326301575,0.10990821570158005,0.2512721121311188,0.2935165464878082,0.2187599092721939,-0.056625429540872574,0.20570015907287598,0.33060458302497864,0.35833123326301575,1.0,0.19772091507911682,0.167460098862648
play,0.2742305099964142,0.23744577169418335,0.24793598055839539,0.31826484203338623,0.19337211549282074,0.15350224077701569,0.2523941099643707,0.08983290195465088,0.23246797919273376,0.22181138396263123,0.24793598055839539,0.19772091507911682,1.0,0.11059518158435822
",",0.3365725874900818,0.19776447117328644,0.4933079481124878,0.2170172780752182,0.3161109685897827,0.4946078956127167,0.30921146273612976,-0.0016132977325469255,0.2761915624141693,0.49057599902153015,0.4933079481124878,0.2665692865848541,0.2231253683567047,0.31091248989105225
ealy,0.2409643977880478,0.11942046135663986,0.20656827092170715,0.2552103102207184,0.17049480974674225,0.16616909205913544,0.37721550464630127,-0.04359821230173111,0.12260018289089203,0.2500463128089905,0.20656827092170715,0.12988080084323883,0.25299614667892456,0.24052083492279053
knocked,0.19835633039474487,1.0,0.25226226449012756,0.29728958010673523,0.3289489448070526,0.17511889338493347,0.2306843400001526,0.022694678977131844,0.25237974524497986,0.20865215361118317,0.25226226449012756,0.2630823254585266,0.23744577169418335,0.1071818619966507
the,0.3733934462070465,0.25226226449012756,1.0,0.18895584344863892,0.39404502511024475,0.733189046382904,0.27058160305023193,-0.01540423184633255,0.27627843618392944,0.5107308030128479,1.0,0.35833123326301575,0.24793598055839539,0.22068053483963013
ball,0.18419332802295685,0.29728958010673523,0.18895584344863892,1.0,0.25823330879211426,0.15122076869010925,0.3111599087715149,-0.028031641617417336,0.25547537207603455,0.1605052351951599,0.18895584344863892,0.10990821570158005,0.31826484203338623,0.1766241192817688
out,0.3129808306694031,0.3289489448070526,0.39404502511024475,0.25823330879211426,1.0,0.34176841378211975,0.2759818434715271,0.0021837172098457813,0.289755642414093,0.39060163497924805,0.39404502511024475,0.2512721121311188,0.19337211549282074,0.22020699083805084
of,0.2827862501144409,0.17511889338493347,0.733189046382904,0.15122076869010925,0.34176841378211975,1.0,0.20024974644184113,-0.03817026689648628,0.24988210201263428,0.3966929316520691,0.733189046382904,0.2935165464878082,0.15350224077701569,0.1826142966747284
manning,0.33436715602874756,0.2306843400001526,0.27058160305023193,0.3111599087715149,0.2759818434715271,0.20024974644184113,0.9999998807907104,0.021839646622538567,0.2693091332912445,0.25339728593826294,0.27058160305023193,0.2187599092721939,0.2523941099643707,0.15856626629829407
's,0.05599616840481758,0.022694678977131844,-0.01540423184633255,-0.028031641617417336,0.0021837172098457813,-0.03817026689648628,0.021839646622538567,0.9999999403953552,0.04390130192041397,0.0026888418942689896,-0.01540423184633255,-0.056625429540872574,0.08983290195465088,-0.023395681753754616
hand,0.32102879881858826,0.23949521780014038,0.253619521856308,0.30502307415008545,0.29475322365760803,0.18184109032154083,0.21510741114616394,0.1219150647521019,0.5793125033378601,0.27365610003471375,0.253619521856308,0.2070249319076538,0.18526522815227509,0.20656698942184448
