,for,many,years,",",what,was,the,brotherhood,described,as,?
for,0.9999999403953552,0.40972793102264404,0.2878222167491913,0.4464869201183319,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.21096177399158478,0.20229990780353546,0.44774648547172546,0.264628142118454
many,0.40972793102264404,0.9999999403953552,0.2731519937515259,0.40610817074775696,0.36131182312965393,0.260356068611145,0.4335206151008606,0.1939658224582672,0.2943393588066101,0.4070141911506653,0.2124512493610382
years,0.2878222167491913,0.2731519937515259,1.0,0.2589467465877533,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.139590784907341,0.2102503627538681,0.234328031539917,0.1914375126361847
it,0.32171204686164856,0.39615920186042786,0.21688692271709442,0.48329564929008484,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.11445514112710953,0.17895051836967468,0.4461488723754883,0.25732165575027466
was,0.3863949179649353,0.260356068611145,0.35855233669281006,0.45456063747406006,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2586901783943176,0.2883506715297699,0.3677520453929901,0.18412111699581146
described,0.20229990780353546,0.2943393588066101,0.2102503627538681,0.25326472520828247,0.22590412199497223,0.2883506715297699,0.2878154516220093,0.17173413932323456,0.9999999403953552,0.3644653260707855,0.1374269425868988
as,0.44774648547172546,0.4070141911506653,0.234328031539917,0.48816442489624023,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.22813482582569122,0.3644653260707855,1.0,0.27043893933296204
``,0.01270448137074709,0.012824942357838154,0.023748915642499924,0.09681109338998795,0.008517155423760414,-0.012679691426455975,0.029072100296616554,-0.030100610107183456,-0.0018293076427653432,0.03910288214683533,0.0685480609536171
semi-legal,0.3221505284309387,0.35451722145080566,0.24995258450508118,0.32760828733444214,0.3640534281730652,0.24719834327697754,0.33931395411491394,0.3478664755821228,0.23431801795959473,0.3133977949619293,0.2984592914581299
'',-0.04479556903243065,-0.016843097284436226,0.03180740773677826,-0.037358131259679794,0.08143015950918198,0.04456103965640068,0.041273195296525955,-0.033341601490974426,0.059149324893951416,0.006628023460507393,0.018684765323996544
and,0.5064792633056641,0.5296266674995422,0.300204873085022,0.6633074283599854,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.26239755749702454,0.2681671977043152,0.49487000703811646,0.20544172823429108
was,0.3863949179649353,0.260356068611145,0.35855233669281006,0.45456063747406006,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2586901783943176,0.2883506715297699,0.3677520453929901,0.18412111699581146
the,0.4739971458911896,0.4335206151008606,0.2912273406982422,0.4933079481124878,0.42745697498321533,0.48711544275283813,1.0,0.2368839830160141,0.2878154516220093,0.48381632566452026,0.22068053483963013
only,0.49157920479774475,0.4670507609844208,0.3296830952167511,0.4220978021621704,0.41415658593177795,0.36249664425849915,0.5497692227363586,0.1908508986234665,0.22390316426753998,0.41781148314476013,0.2767370045185089
opposition,0.2402389794588089,0.2189795970916748,0.1943155974149704,0.23061631619930267,0.2798226773738861,0.27720752358436584,0.26783087849617004,0.3289175033569336,0.17330297827720642,0.25817179679870605,0.15647298097610474
group,0.24519909918308258,0.2776661217212677,0.16637369990348816,0.2809832692146301,0.2114069163799286,0.1789962202310562,0.30795547366142273,0.29118356108665466,0.16434286534786224,0.2519444227218628,0.13827809691429138
in,0.4322226941585541,0.41474202275276184,0.33554986119270325,0.5201468467712402,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.15295812487602234,0.28813880681991577,0.3887844979763031,0.20430970191955566
egypt,0.17121455073356628,0.22281014919281006,0.2055041790008545,0.2490617334842682,0.1976596713066101,0.20915520191192627,0.2536296546459198,0.29069802165031433,0.18029870092868805,0.23453333973884583,0.17769601941108704
able,0.2947812080383301,0.29809945821762085,0.2089659720659256,0.28725793957710266,0.3404487371444702,0.19031302630901337,0.3435857892036438,0.12710796296596527,0.20807720720767975,0.24929028749465942,0.260649710893631
to,0.4451248347759247,0.40243685245513916,0.23891852796077728,0.44245919585227966,0.455847829580307,0.3636345863342285,0.535392165184021,0.21977385878562927,0.16602091491222382,0.42092081904411316,0.29463258385658264
field,0.24342265725135803,0.1401631236076355,0.18949729204177856,0.27645614743232727,0.1825202852487564,0.15975919365882874,0.2105809599161148,0.1579519659280777,0.11772216111421585,0.21304655075073242,0.11279727518558502
candidates,0.32226037979125977,0.22745227813720703,0.18784353137016296,0.2343255579471588,0.21254537999629974,0.1505247950553894,0.2590187191963196,0.27257877588272095,0.1854357123374939,0.24434705078601837,0.2568073272705078
during,0.3448435664176941,0.3661181330680847,0.39110565185546875,0.3225448727607727,0.24137552082538605,0.4470829963684082,0.4838213622570038,0.20261836051940918,0.25197264552116394,0.29671990871429443,0.1325719803571701
elections,0.24397696554660797,0.21431829035282135,0.2703917622566223,0.2606843113899231,0.2432289719581604,0.26122042536735535,0.23646192252635956,0.28053900599479675,0.1503545194864273,0.22077864408493042,0.2319818139076233
.,0.4726039469242096,0.3974229395389557,0.31919315457344055,0.6812511086463928,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.15035925805568695,0.21733810007572174,0.515582263469696,0.4130953550338745
