,why,did,the,university,see,a,drop,in,applicants,?
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.2973747253417969,0.539380669593811,0.18230557441711426,1.0,0.23373262584209442,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,1.0,0.263973206281662,0.3770301640033722,0.5829201340675354,0.2759656608104706,0.6662389636039734,0.26014283299446106,0.22068053483963013
early,0.21547465026378632,0.32047218084335327,0.34442198276519775,0.15928985178470612,0.13548029959201813,0.2710886299610138,0.16775698959827423,0.34672921895980835,0.1806354522705078,0.15272949635982513
1950s,0.27640798687934875,0.3492051362991333,0.3424292504787445,0.21646328270435333,0.23886296153068542,0.34951528906822205,0.262892484664917,0.26312577724456787,0.24936529994010925,0.16557677090168
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.35306161642074585,0.427140474319458,0.21217185258865356,0.5201468467712402,0.23209139704704285,0.31091248989105225
student,0.12719498574733734,0.17656166851520538,0.21259291470050812,0.46536099910736084,0.17812630534172058,0.3207114636898041,0.15276938676834106,0.254856139421463,0.27664902806282043,0.13282090425491333
applications,0.1982988864183426,0.1447269320487976,0.23664557933807373,0.18592429161071777,0.2612578272819519,0.2877165377140045,0.2816402316093445,0.2334391176700592,0.737959623336792,0.19125857949256897
declined,0.2536573112010956,0.3516852855682373,0.2764727771282196,0.11593565344810486,0.2535605728626251,0.18412065505981445,0.19345587491989136,0.25098711252212524,0.22318333387374878,0.17974776029586792
as,0.3103298544883728,0.3596470057964325,0.48381632566452026,0.21858684718608856,0.3243166506290436,0.39550232887268066,0.2204866260290146,0.3887844979763031,0.20371797680854797,0.27043893933296204
a,0.2667238116264343,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.3039536476135254,1.0,0.26995548605918884,0.539380669593811,0.27540820837020874,0.23916715383529663
result,0.27512499690055847,0.2026577889919281,0.27778977155685425,0.08028028160333633,0.2939661741256714,0.2767398953437805,0.27736979722976685,0.25670310854911804,0.1544772982597351,0.17218433320522308
of,0.28464117646217346,0.2513895630836487,0.733189046382904,0.30646374821662903,0.33962661027908325,0.5052502155303955,0.1734435260295868,0.5696388483047485,0.2532283663749695,0.1826142966747284
increasing,0.18791961669921875,0.16384060680866241,0.34958165884017944,0.15622280538082123,0.2293105125427246,0.2511899173259735,0.2987852990627289,0.2580164670944214,0.22923536598682404,0.0681626945734024
crime,0.18043945729732513,0.18921169638633728,0.2052120864391327,0.11104946583509445,0.17552940547466278,0.22928372025489807,0.21743926405906677,0.22510747611522675,0.196073979139328,0.2067868858575821
and,0.27806392312049866,0.34479495882987976,0.5171257257461548,0.2665814459323883,0.367068350315094,0.3739250600337982,0.2385902851819992,0.4954058527946472,0.24178606271743774,0.20544172823429108
poverty,0.15763527154922485,0.146656334400177,0.20494918525218964,0.1611134111881256,0.19980014860630035,0.19118662178516388,0.13517186045646667,0.26252827048301697,0.24578580260276794,0.16537553071975708
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.3201795518398285,0.2973747253417969,0.539380669593811,0.18230557441711426,1.0,0.23373262584209442,0.20430970191955566
the,0.30742117762565613,0.34736719727516174,1.0,0.263973206281662,0.3770301640033722,0.5829201340675354,0.2759656608104706,0.6662389636039734,0.26014283299446106,0.22068053483963013
hyde,0.124177485704422,0.21468432247638702,0.2556402087211609,0.17534923553466797,0.1036147028207779,0.2406734824180603,0.14644761383533478,0.23714761435985565,0.1768685132265091,0.14295879006385803
park,0.13652443885803223,0.12431816756725311,0.24748283624649048,0.2525845468044281,0.09371837228536606,0.2207280695438385,0.06691338121891022,0.22758090496063232,0.20856717228889465,0.13508929312229156
neighborhood,0.06997285783290863,0.09432718902826309,0.20152483880519867,0.19067342579364777,0.09909742325544357,0.22184410691261292,0.04842817783355713,0.20924240350723267,0.22684462368488312,0.048473283648490906
.,0.32909876108169556,0.35288307070732117,0.5934505462646484,0.290679007768631,0.3851161599159241,0.50484299659729,0.2864284813404083,0.5591574311256409,0.2528756260871887,0.4130953550338745
