,which,mvp,honoree,died,in,2001,?
no,0.32479003071784973,0.17514057457447052,0.127764031291008,0.15582436323165894,0.24372287094593048,-0.030316298827528954,0.32165053486824036
plans,0.2583700120449066,0.09065570682287216,0.15820518136024475,0.14379693567752838,0.24845264852046967,-0.07998121529817581,0.13513131439685822
were,0.2807837128639221,0.1283484399318695,0.18809275329113007,0.29009872674942017,0.3815755248069763,-0.18997378647327423,0.17890112102031708
announced,0.14883647859096527,0.2070367932319641,0.23433281481266022,0.2642759382724762,0.2528248429298401,-0.026171278208494186,0.17416009306907654
regarding,0.30791863799095154,0.09861349314451218,0.17046977579593658,0.045925386250019073,0.2634240984916687,-0.1447073519229889,0.36967232823371887
the,0.6521818041801453,0.19830666482448578,0.2473457008600235,0.18710990250110626,0.6662389636039734,-0.07246288657188416,0.22068053483963013
recognition,0.3267291784286499,0.19955208897590637,0.34102195501327515,0.09723635017871857,0.29843124747276306,0.021652912721037865,0.20074869692325592
of,0.5011631846427917,0.16760475933551788,0.3112306594848633,0.25637882947921753,0.5696388483047485,-0.08535187691450119,0.1826142966747284
harvey,0.20013897120952606,0.14246167242527008,0.29176056385040283,0.20748914778232574,0.22148630023002625,-0.1083173006772995,0.22152839601039886
martin,0.16745753586292267,0.11075480282306671,0.23869261145591736,0.17690125107765198,0.22752496600151062,-0.03912251442670822,0.060103293508291245
",",0.3658004403114319,0.2245774120092392,0.2807638943195343,0.36026471853256226,0.5201468467712402,-0.19191312789916992,0.31091248989105225
co-mvp,0.28954648971557617,0.7901333570480347,0.3851419985294342,0.18268704414367676,0.2859489619731903,-0.018434276804327965,0.25740912556648254
of,0.5011631846427917,0.16760475933551788,0.3112306594848633,0.25637882947921753,0.5696388483047485,-0.08535187691450119,0.1826142966747284
super,0.25759580731391907,0.3814384639263153,0.10774340480566025,0.067267507314682,0.18576006591320038,-0.05886141210794449,0.166326642036438
bowl,0.23468568921089172,0.5169888734817505,0.2204252928495407,0.15602460503578186,0.17236235737800598,-0.029589436948299408,0.21118052303791046
xii,0.18173982203006744,0.2811504304409027,0.1703701615333557,0.16710466146469116,0.2384188175201416,0.05950417369604111,0.1940627098083496
",",0.3658004403114319,0.2245774120092392,0.2807638943195343,0.36026471853256226,0.5201468467712402,-0.19191312789916992,0.31091248989105225
who,0.3688730001449585,0.15547040104866028,0.3036941885948181,0.2688716650009155,0.2792111933231354,-0.1539066731929779,0.26220351457595825
died,0.047798484563827515,0.17067795991897583,0.2962985336780548,0.9999998807907104,0.25881269574165344,-0.08277161419391632,0.15254227817058563
in,0.4840516746044159,0.15104249119758606,0.24813340604305267,0.25881269574165344,1.0,-0.10387769341468811,0.20430970191955566
2001,-0.08616556972265244,0.03581777960062027,-0.10801026970148087,-0.08277161419391632,-0.10387769341468811,1.0,-0.08740651607513428
.,0.45942068099975586,0.19778521358966827,0.26178473234176636,0.24093139171600342,0.5591574311256409,-0.17065654695034027,0.4130953550338745
