,in,what,geographical,portion,of,wales,is,abercynon,located,?
the,0.6662389636039734,0.42745697498321533,0.3164447844028473,0.42017096281051636,0.733189046382904,0.23852568864822388,0.5823672413825989,0.31709733605384827,0.407527357339859,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.16441944241523743,0.17015127837657928,0.3536086082458496,0.19307951629161835,0.30889374017715454,0.24485181272029877,0.17927506566047668,0.18701928853988647
full-scale,0.25651243329048157,0.26528653502464294,0.2993285059928894,0.24860860407352448,0.2680472731590271,0.18274113535881042,0.23325079679489136,0.2818678915500641,0.2009226381778717,0.24412725865840912
working,0.3062970042228699,0.2846863269805908,0.1165304034948349,0.13820020854473114,0.19986772537231445,0.14914123713970184,0.20290212333202362,0.10797035694122314,0.1860000044107437,0.17154020071029663
railway,0.2326211929321289,0.16704553365707397,0.24879060685634613,0.2694772183895111,0.21322962641716003,0.24153657257556915,0.20497626066207886,0.36786460876464844,0.29704922437667847,0.07994066178798676
steam,0.19852672517299652,0.15672586858272552,0.12601879239082336,0.11590062081813812,0.20239725708961487,0.19992054998874664,0.13029660284519196,0.2030356079339981,0.14150716364383698,0.113324373960495
locomotive,0.19649046659469604,0.13605007529258728,0.24032652378082275,0.14142808318138123,0.21016043424606323,0.1442752629518509,0.1682487428188324,0.22516798973083496,0.17611004412174225,0.10199091583490372
was,0.45514053106307983,0.22111038863658905,0.11450415849685669,0.20989027619361877,0.4069072902202606,0.18637675046920776,0.5810302495956421,0.31684720516204834,0.20133289694786072,0.18412111699581146
built,0.25829681754112244,0.1554843783378601,0.09552983194589615,0.09435292333364487,0.23442776501178741,0.17013490200042725,0.17778918147087097,0.2226177155971527,0.4264238178730011,0.09449632465839386
by,0.370934396982193,0.2455483376979828,0.23332582414150238,0.2383880317211151,0.3646814823150635,0.19172261655330658,0.3899846076965332,0.1297655701637268,0.18208515644073486,0.17966607213020325
richard,0.23321768641471863,0.19329693913459778,0.1573616862297058,0.09375054389238358,0.2227524220943451,0.17974025011062622,0.13580143451690674,0.26953214406967163,0.07019112259149551,0.15003317594528198
trevithick,0.3304753005504608,0.19898971915245056,0.17671212553977966,0.14531290531158447,0.2999076247215271,0.29067930579185486,0.24793951213359833,0.4686479866504669,0.2584092319011688,0.2125524878501892
in,1.0,0.30808621644973755,0.25889667868614197,0.2811550498008728,0.5696388483047485,0.18714384734630585,0.5394441485404968,0.31569069623947144,0.35149815678596497,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3164447844028473,0.42017096281051636,0.733189046382904,0.23852568864822388,0.5823672413825989,0.31709733605384827,0.407527357339859,0.22068053483963013
united,0.3938477039337158,0.20036718249320984,0.17638735473155975,0.22606424987316132,0.3187655806541443,0.24403534829616547,0.22408509254455566,0.30374565720558167,0.21170265972614288,0.17266890406608582
kingdom,0.28265801072120667,0.17826133966445923,0.16769663989543915,0.16780585050582886,0.3218171298503876,0.26776227355003357,0.1914215236902237,0.2888971269130707,0.1407838761806488,0.12927088141441345
and,0.4954058527946472,0.31309178471565247,0.2914482355117798,0.28324267268180847,0.5116966962814331,0.2818523943424225,0.3859752118587494,0.25296750664711,0.24183952808380127,0.20544172823429108
",",0.5201468467712402,0.3087472915649414,0.2952534854412079,0.23716022074222565,0.4946078956127167,0.19783782958984375,0.4691906273365021,0.3272998631000519,0.2678719460964203,0.31091248989105225
on,0.46853652596473694,0.34226128458976746,0.23389595746994019,0.245950385928154,0.3966929316520691,0.1974547952413559,0.3635730445384979,0.1772107034921646,0.22447186708450317,0.2714994251728058
21,0.09147433191537857,-0.09070611000061035,0.10026691108942032,-0.03914950415492058,-0.0006609548581764102,-0.019008822739124298,0.014479056932032108,0.1937267929315567,0.15670792758464813,-0.01186173316091299
february,0.2990526556968689,0.1913013905286789,0.12839847803115845,0.07880698889493942,0.20366249978542328,0.19436629116535187,0.26240548491477966,0.23072828352451324,0.12214403599500656,0.29594847559928894
