,for,each,of,the,28,member,states,",",how,many,commissioner,'s,are,represented,for,each,one,?
[,0.10575617104768753,0.06496385484933853,0.010817250236868858,0.07130392640829086,-0.15877972543239594,-0.036629386246204376,0.16663382947444916,0.08049847930669785,0.03530287742614746,0.1508627086877823,0.09831889718770981,0.01083834283053875,0.021565506234765053,-0.0378505140542984,0.10575617104768753,0.06496385484933853,0.11624499410390854,0.011015460826456547
citation,0.2762897312641144,0.19741305708885193,0.22959956526756287,0.2536581754684448,-0.06897988170385361,0.11974024027585983,0.18940255045890808,0.23433831334114075,0.1860959678888321,0.13911859691143036,0.13351155817508698,-0.10153055191040039,0.19570352137088776,0.10501206666231155,0.2762897312641144,0.19741305708885193,0.18768486380577087,0.3382055461406708
needed,0.38127243518829346,0.3202694058418274,0.27215874195098877,0.3064746856689453,-0.17053534090518951,0.1506146937608719,0.1881115585565567,0.29017356038093567,0.4245111644268036,0.3006705045700073,0.14078345894813538,0.00025875959545373917,0.3141024708747864,0.18285544216632843,0.38127243518829346,0.3202694058418274,0.33461472392082214,0.2863257825374603
],-0.023346275091171265,0.04096387326717377,-0.035044461488723755,-0.04779602214694023,0.09861232340335846,-0.04577697068452835,-0.03917205333709717,-0.10209845006465912,0.06738625466823578,-0.016180947422981262,-0.08790477365255356,-0.10493394732475281,-0.02216748520731926,0.015247163362801075,-0.023346275091171265,0.04096387326717377,0.004268568940460682,-0.0022520492784678936
since,0.36751601099967957,0.23850536346435547,0.35513219237327576,0.4054957628250122,-0.18461225926876068,0.26726052165031433,0.28380730748176575,0.3991432189941406,0.2347431182861328,0.34386345744132996,0.23504924774169922,-0.04899144917726517,0.30560651421546936,0.2741992175579071,0.36751601099967957,0.23850536346435547,0.3766527771949768,0.2876587212085724
ireland,0.20986653864383698,0.18514366447925568,0.2551186680793762,0.2573983073234558,-0.2195877879858017,0.18381929397583008,0.311528742313385,0.24259544909000397,0.17181240022182465,0.19280791282653809,0.2599111795425415,-0.008679965510964394,0.15786117315292358,0.21985770761966705,0.20986653864383698,0.18514366447925568,0.2348645180463791,0.10685748606920242
refused,0.23069624602794647,0.19478221237659454,0.21729640662670135,0.2606237530708313,-0.24294418096542358,0.2150418907403946,0.22061903774738312,0.2687305510044098,0.17698359489440918,0.24307283759117126,0.3433360159397125,0.033583253622055054,0.09049269556999207,0.16725559532642365,0.23069624602794647,0.19478221237659454,0.1835830956697464,0.14580921828746796
to,0.4451248347759247,0.3941934108734131,0.41548454761505127,0.535392165184021,-0.2938705086708069,0.19456195831298828,0.2828785181045532,0.44245919585227966,0.44169697165489197,0.40243685245513916,0.21615050733089447,0.03782717138528824,0.3504326641559601,0.18846964836120605,0.4451248347759247,0.3941934108734131,0.4025384783744812,0.29463258385658264
consent,0.2607952356338501,0.22906886041164398,0.24433499574661255,0.22271060943603516,-0.21762998402118683,0.20736074447631836,0.23562054336071014,0.22251027822494507,0.25286784768104553,0.10992318391799927,0.2569313645362854,0.011421607807278633,0.19101719558238983,0.18199177086353302,0.2607952356338501,0.22906886041164398,0.24671751260757446,0.2684990465641022
to,0.4451248347759247,0.3941934108734131,0.41548454761505127,0.535392165184021,-0.2938705086708069,0.19456195831298828,0.2828785181045532,0.44245919585227966,0.44169697165489197,0.40243685245513916,0.21615050733089447,0.03782717138528824,0.3504326641559601,0.18846964836120605,0.4451248347759247,0.3941934108734131,0.4025384783744812,0.29463258385658264
changes,0.25747987627983093,0.25893476605415344,0.25827232003211975,0.3427845537662506,-0.0925569161772728,0.141362726688385,0.14066943526268005,0.23045918345451355,0.3518966734409332,0.257354199886322,0.1024622991681099,0.006762445904314518,0.22349703311920166,0.09892778843641281,0.25747987627983093,0.25893476605415344,0.29069164395332336,0.21264225244522095
in,0.4322226941585541,0.30816060304641724,0.5696388483047485,0.6662389636039734,-0.27002766728401184,0.20856694877147675,0.3977442979812622,0.5201468467712402,0.2601168751716614,0.41474202275276184,0.25561144948005676,-0.037580832839012146,0.3841303884983063,0.33309870958328247,0.4322226941585541,0.30816060304641724,0.4129433035850525,0.20430970191955566
the,0.4739971458911896,0.470844566822052,0.733189046382904,1.0,-0.31177106499671936,0.2806392312049866,0.3463578522205353,0.4933079481124878,0.33890387415885925,0.4335206151008606,0.25271227955818176,-0.01540423184633255,0.40399202704429626,0.3256146013736725,0.4739971458911896,0.470844566822052,0.5514441132545471,0.22068053483963013
treaty,0.1456756442785263,0.068587526679039,0.2602092921733856,0.2690109610557556,-0.16979974508285522,0.19731877744197845,0.25450411438941956,0.21270246803760529,0.15433618426322937,0.139576718211174,0.25387313961982727,0.007822228595614433,0.11571057140827179,0.13892768323421478,0.1456756442785263,0.068587526679039,0.1728263795375824,0.1174844279885292
of,0.4185989499092102,0.38460010290145874,1.0,0.733189046382904,-0.2696417272090912,0.2701796889305115,0.30884552001953125,0.4946078956127167,0.2480744868516922,0.37253960967063904,0.233353391289711,-0.03817026689648628,0.39081433415412903,0.3891753554344177,0.4185989499092102,0.38460010290145874,0.4999135136604309,0.1826142966747284
