,what,is,the,historic,heart,of,newcastle,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2829611599445343,0.23747070133686066,0.733189046382904,0.2253497689962387,0.22068053483963013
historic,0.18988226354122162,0.19778819382190704,0.2829611599445343,0.9999999403953552,0.1349957287311554,0.2833002209663391,0.19684532284736633,0.09992891550064087
heart,0.18515849113464355,0.21632468700408936,0.23747070133686066,0.1349957287311554,1.0000001192092896,0.21639685332775116,0.16893646121025085,0.11825142055749893
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2833002209663391,0.21639685332775116,1.0,0.18781472742557526,0.1826142966747284
newcastle,0.16276082396507263,0.1841045320034027,0.2253497689962387,0.19684532284736633,0.16893646121025085,0.18781472742557526,1.0000001192092896,0.0902252271771431
is,0.28837618231773376,1.0,0.5823672413825989,0.19778819382190704,0.21632468700408936,0.4854315221309662,0.1841045320034027,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.2829611599445343,0.23747070133686066,0.733189046382904,0.2253497689962387,0.22068053483963013
grainger,0.19038473069667816,0.1666562706232071,0.19754326343536377,0.08803083747625351,0.15388667583465576,0.19878338277339935,0.25379544496536255,0.14470532536506653
town,0.19713185727596283,0.30097827315330505,0.2974243760108948,0.3300805985927582,0.14996404945850372,0.26585668325424194,0.3030468225479126,0.09902279824018478
area,0.21965408325195312,0.29283958673477173,0.37834644317626953,0.3148997128009796,0.0864032506942749,0.3409860134124756,0.18503880500793457,0.12640461325645447
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.2134850174188614,0.2621944844722748,0.5352458953857422,0.2714749276638031,0.4130953550338745
