,what,was,the,name,of,the,legislation,passed,in,1850,?
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.15635080635547638,0.3576679527759552,0.39779382944107056,0.19092372059822083,0.19958539307117462,0.355264812707901,0.15656782686710358,0.1555173695087433
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2839483618736267,0.3173406720161438,0.6662389636039734,0.15979310870170593,0.22068053483963013
acquisition,0.21367503702640533,0.2277023047208786,0.2637207508087158,0.16761523485183716,0.24669308960437775,0.2637207508087158,0.3066212832927704,0.23780035972595215,0.20645123720169067,0.09598744660615921,0.11946909129619598
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.3114430606365204,0.2703755795955658,0.5696388483047485,0.11029938608407974,0.1826142966747284
california,0.1811584085226059,0.262346476316452,0.2750805914402008,0.11570362001657486,0.24929828941822052,0.2750805914402008,0.16432181000709534,0.1573445200920105,0.2772824168205261,0.04398835822939873,0.1409905105829239
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.25480157136917114,0.3646814823150635,0.4408751428127289,0.17084915935993195,0.27371692657470703,0.370934396982193,0.0986858382821083,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2839483618736267,0.3173406720161438,0.6662389636039734,0.15979310870170593,0.22068053483963013
united,0.20036718249320984,0.31727492809295654,0.34367692470550537,0.1602238416671753,0.3187655806541443,0.34367692470550537,0.28146809339523315,0.16739462316036224,0.3938477039337158,0.03517600893974304,0.17266890406608582
states,0.21526020765304565,0.2847922146320343,0.3463578522205353,0.17846445739269257,0.30884552001953125,0.3463578522205353,0.335861474275589,0.20133015513420105,0.3977442979812622,0.08670514822006226,0.16272737085819244
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.221862331032753,0.23382075130939484,0.5201468467712402,0.1710849553346634,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2839483618736267,0.3173406720161438,0.6662389636039734,0.15979310870170593,0.22068053483963013
