,what,do,some,community,pharmacies,do,?
some,0.4491020441055298,0.4725562036037445,0.9999999403953552,0.24749743938446045,0.3485310673713684,0.4725562036037445,0.2562315762042999
community,0.29032719135284424,0.24250327050685883,0.24749743938446045,0.9999998807907104,0.2255919873714447,0.24250327050685883,0.2380419820547104
pharmacies,0.21324466168880463,0.26694825291633606,0.3485310673713684,0.2255919873714447,1.0000001192092896,0.26694825291633606,0.13542459905147552
employ,0.1849662810564041,0.2734920382499695,0.32109665870666504,0.19478318095207214,0.2879468500614166,0.2734920382499695,0.16813796758651733
consultant,0.18970462679862976,0.1596454530954361,0.19477994740009308,0.25020959973335266,0.2361263930797577,0.1596454530954361,0.1217312291264534
pharmacists,0.28274545073509216,0.328380823135376,0.38679438829421997,0.22003675997257233,0.8526601195335388,0.328380823135376,0.1797308325767517
and/or,0.26439139246940613,0.31971779465675354,0.39449381828308105,0.20888014137744904,0.22069256007671356,0.31971779465675354,0.24081800878047943
provide,0.27049049735069275,0.36434707045555115,0.38448861241340637,0.2327994704246521,0.2698832154273987,0.36434707045555115,0.22704634070396423
consulting,0.2508627772331238,0.23613134026527405,0.243979811668396,0.27324092388153076,0.22926118969917297,0.23613134026527405,0.2243955135345459
services,0.16048473119735718,0.18574553728103638,0.26200196146965027,0.23701828718185425,0.32299938797950745,0.18574553728103638,0.1328447163105011
.,0.3567904531955719,0.3613996207714081,0.40663889050483704,0.2594514787197113,0.2382737696170807,0.3613996207714081,0.4130953550338745
