,what,island,does,the,cold,water,flow,of,the,rhine,and,lake,constance,flow,to,?
the,0.42745697498321533,0.2837921977043152,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.314039409160614,0.733189046382904,1.0,0.30735138058662415,0.5171257257461548,0.24325428903102875,0.23177717626094818,0.314039409160614,0.535392165184021,0.22068053483963013
flow,0.1798735409975052,0.0772620216012001,0.21734505891799927,0.314039409160614,0.23146981000900269,0.4377398192882538,0.9999999403953552,0.2407451719045639,0.314039409160614,0.20253489911556244,0.2773895561695099,0.283983439207077,0.2329467087984085,0.9999999403953552,0.27439337968826294,0.10458291321992874
reappears,0.2690603733062744,0.17948710918426514,0.33694708347320557,0.3564320206642151,0.14110167324543,0.1428152322769165,0.13911086320877075,0.21980880200862885,0.3564320206642151,0.12473164498806,0.2535599172115326,0.18487268686294556,0.09884649515151978,0.13911086320877075,0.30057457089424133,0.2307024896144867
on,0.34226128458976746,0.2772442400455475,0.2568802833557129,0.5107308030128479,0.2226557582616806,0.18117135763168335,0.1995432823896408,0.3966929316520691,0.5107308030128479,0.20067645609378815,0.4077630043029785,0.18818998336791992,0.18245993554592133,0.1995432823896408,0.41031414270401,0.2714994251728058
the,0.42745697498321533,0.2837921977043152,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.314039409160614,0.733189046382904,1.0,0.30735138058662415,0.5171257257461548,0.24325428903102875,0.23177717626094818,0.314039409160614,0.535392165184021,0.22068053483963013
surface,0.23580394685268402,0.15259234607219696,0.22910720109939575,0.2555135488510132,0.27472445368766785,0.5213322043418884,0.3501174747943878,0.24204103648662567,0.2555135488510132,0.18005478382110596,0.2626544237136841,0.21778219938278198,0.16513364017009735,0.3501174747943878,0.23727688193321228,0.14613434672355652
at,0.2838611304759979,0.19854524731636047,0.17465277016162872,0.457212895154953,0.19373497366905212,0.14569826424121857,0.11778592318296432,0.42558613419532776,0.457212895154953,0.19469857215881348,0.3571503460407257,0.1760270893573761,0.16891811788082123,0.11778592318296432,0.36524343490600586,0.21978627145290375
the,0.42745697498321533,0.2837921977043152,0.35928019881248474,1.0,0.2897129952907562,0.297396719455719,0.314039409160614,0.733189046382904,1.0,0.30735138058662415,0.5171257257461548,0.24325428903102875,0.23177717626094818,0.314039409160614,0.535392165184021,0.22068053483963013
northern,0.19332477450370789,0.2975797653198242,0.11593209207057953,0.3422943353652954,0.20256802439689636,0.19481278955936432,0.14698199927806854,0.32586339116096497,0.3422943353652954,0.22761300206184387,0.2852024435997009,0.2145843207836151,0.1846529096364975,0.14698199927806854,0.1886475831270218,0.13149388134479523
(,0.2411840260028839,0.1752566248178482,0.2728188931941986,0.33289089798927307,0.1784229427576065,0.16755586862564087,0.16461063921451569,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.4862271547317505,0.14248812198638916,0.26763612031936646,0.16461063921451569,0.30882009863853455,0.40561532974243164
german,0.1960553526878357,0.11194471269845963,0.1575017124414444,0.256483793258667,0.13967694342136383,0.09318304061889648,0.14232219755649567,0.2122138887643814,0.256483793258667,0.49305370450019836,0.25850871205329895,0.12599600851535797,0.32786792516708374,0.14232219755649567,0.15143753588199615,0.13978645205497742
),0.26259949803352356,0.16802865266799927,0.2575884759426117,0.3456730246543884,0.18041756749153137,0.18243473768234253,0.1727922409772873,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.4961937665939331,0.16115246713161469,0.2760099470615387,0.1727922409772873,0.31236231327056885,0.42300865054130554
