,near,chur,",",which,direction,does,the,rhine,turn,?
the,0.2879819869995117,0.2933478355407715,0.4933079481124878,0.6521818041801453,0.28851455450057983,0.35928019881248474,1.0,0.30735138058662415,0.3359498679637909,0.22068053483963013
river,0.40109947323799133,0.29042452573776245,0.26637205481529236,0.25416892766952515,0.15936163067817688,0.14026834070682526,0.2894456386566162,0.3672541379928589,0.1675623506307602,0.15390869975090027
makes,0.17480631172657013,0.08726108819246292,0.2926395535469055,0.3663211762905121,0.14440064132213593,0.5149580240249634,0.3029823303222656,0.0952049121260643,0.32135719060897827,0.22145044803619385
a,0.25033900141716003,0.20532819628715515,0.427140474319458,0.56894451379776,0.22025705873966217,0.38201746344566345,0.5829201340675354,0.1823403388261795,0.3154307007789612,0.23916715383529663
distinctive,0.0934932753443718,0.10036338120698929,0.24679994583129883,0.39326193928718567,0.2020110934972763,0.19526974856853485,0.2618619501590729,0.08180461078882217,0.17533601820468903,0.07970129698514938
turn,0.14778853952884674,0.12699630856513977,0.23215743899345398,0.39216771721839905,0.3452710509300232,0.28909701108932495,0.3359498679637909,0.1900423914194107,0.9999999403953552,0.2072952687740326
to,0.2456841915845871,0.20567215979099274,0.44245919585227966,0.5345056653022766,0.32930055260658264,0.4391997456550598,0.535392165184021,0.1736302673816681,0.3696671724319458,0.29463258385658264
the,0.2879819869995117,0.2933478355407715,0.4933079481124878,0.6521818041801453,0.28851455450057983,0.35928019881248474,1.0,0.30735138058662415,0.3359498679637909,0.22068053483963013
north,0.39731860160827637,0.19699539244174957,0.31834840774536133,0.2384447455406189,0.23959305882453918,0.11500263214111328,0.36298373341560364,0.3832572400569916,0.1600038856267929,0.11829731613397598
near,1.0000001192092896,0.18405452370643616,0.3141826391220093,0.2737005650997162,0.19770266115665436,0.11424306035041809,0.2879819869995117,0.2615382969379425,0.14778853952884674,0.10734958201646805
chur,0.18405452370643616,0.9999998807907104,0.26662328839302063,0.20236742496490479,0.0687827616930008,0.116458959877491,0.2933478355407715,0.26268666982650757,0.12699630856513977,0.18571597337722778
.,0.2532462477684021,0.30415210127830505,0.6812511086463928,0.45942068099975586,0.23911777138710022,0.3022993505001068,0.5934505462646484,0.2089352011680603,0.30823618173599243,0.4130953550338745
