,enthusiastic,teachers,may,cause,students,to,become,more,____,about,their,learning,process,?
enthusiastic,0.9999999403953552,0.32480570673942566,0.1678847074508667,0.18881016969680786,0.25144505500793457,0.22432135045528412,0.22280991077423096,0.25583258271217346,0.25487300753593445,0.17996633052825928,0.29557761549949646,0.31716224551200867,0.16286900639533997,0.18814921379089355
teachers,0.32480570673942566,1.0,0.21395352482795715,0.11293970793485641,0.7183375358581543,0.2668606638908386,0.228617861866951,0.22816872596740723,0.27860721945762634,0.2277327924966812,0.2814970314502716,0.4589121639728546,0.11126606911420822,0.19522249698638916
may,0.1678847074508667,0.21395352482795715,0.9999998807907104,0.3391842246055603,0.2131241261959076,0.391582727432251,0.20094400644302368,0.3057594895362854,0.21753926575183868,0.2019033581018448,0.2552892565727234,0.25806093215942383,0.16361874341964722,0.2768254578113556
also,0.28001901507377625,0.27114254236221313,0.3555105924606323,0.3166497051715851,0.23872198164463043,0.5348826050758362,0.3522845208644867,0.40204599499702454,0.2414015531539917,0.32894372940063477,0.4181114733219147,0.2659218907356262,0.23756733536720276,0.21848613023757935
lead,0.10585176199674606,0.13424018025398254,0.22900992631912231,0.3286212682723999,0.12315411120653152,0.23490607738494873,0.19896914064884186,0.2169930785894394,0.10486730933189392,0.19637209177017212,0.2087358832359314,0.14652082324028015,0.15016266703605652,0.14552436769008636
to,0.22432135045528412,0.2668606638908386,0.391582727432251,0.3172815442085266,0.2905822694301605,1.0,0.36996012926101685,0.47084665298461914,0.3258899450302124,0.391953706741333,0.44619059562683105,0.2609867453575134,0.35462963581085205,0.29463258385658264
students,0.25144505500793457,0.7183375358581543,0.2131241261959076,0.12793689966201782,1.0,0.2905822694301605,0.2151532769203186,0.27059733867645264,0.28890544176101685,0.2952730655670166,0.26472482085227966,0.4564066231250763,0.19181106984615326,0.18017297983169556
becoming,0.26542437076568604,0.15719856321811676,0.2343912124633789,0.1264859437942505,0.1653415709733963,0.3192594647407532,0.7322891354560852,0.3272758722305298,0.25617676973342896,0.17656905949115753,0.2240733802318573,0.23043565452098846,0.2969265282154083,0.17354105412960052
more,0.25583258271217346,0.22816872596740723,0.3057594895362854,0.30782660841941833,0.27059733867645264,0.47084665298461914,0.3661198318004608,1.0,0.29235097765922546,0.4194578528404236,0.36147117614746094,0.29460737109184265,0.288388192653656,0.27894994616508484
self-determined,0.23591287434101105,0.20763544738292694,0.24741274118423462,0.3164251446723938,0.23799429833889008,0.3568940758705139,0.2525303363800049,0.2637515962123871,0.3390171229839325,0.24068106710910797,0.3727148771286011,0.26200443506240845,0.33925119042396545,0.21886615455150604
in,0.2173013985157013,0.2128150761127472,0.3424151837825775,0.24822883307933807,0.2676171064376831,0.45010748505592346,0.23238378763198853,0.32563260197639465,0.15047453343868256,0.39797019958496094,0.34976133704185486,0.2443799525499344,0.19851736724376678,0.20430970191955566
their,0.29557761549949646,0.2814970314502716,0.2552892565727234,0.2818659543991089,0.26472482085227966,0.44619059562683105,0.28348976373672485,0.36147117614746094,0.20004940032958984,0.25792208313941956,1.0,0.247757226228714,0.25450456142425537,0.1898253709077835
own,0.3628798723220825,0.2547643482685089,0.18810231983661652,0.17568472027778625,0.20672191679477692,0.35879063606262207,0.2245805561542511,0.25653573870658875,0.25700804591178894,0.2886277437210083,0.5763392448425293,0.25640738010406494,0.21645180881023407,0.1937696635723114
learning,0.31716224551200867,0.4589121639728546,0.25806093215942383,0.19253002107143402,0.4564066231250763,0.2609867453575134,0.1703670471906662,0.29460737109184265,0.3193405270576477,0.22502891719341278,0.247757226228714,0.9999998807907104,0.2510216236114502,0.25810256600379944
process,0.16286900639533997,0.11126606911420822,0.16361874341964722,0.2667955756187439,0.19181106984615326,0.35462963581085205,0.23548181354999542,0.288388192653656,0.29475077986717224,0.21026670932769775,0.25450456142425537,0.2510216236114502,0.9999998807907104,0.2460896074771881
.,0.2363789677619934,0.24628326296806335,0.35826805233955383,0.267557293176651,0.2607303857803345,0.4645031690597534,0.32859939336776733,0.4070230722427368,0.31971508264541626,0.42038556933403015,0.34427863359451294,0.24872951209545135,0.23766504228115082,0.4130953550338745
