,what,is,a,quarter,of,warsaw,filled,with,?
warsaw,0.10373849421739578,0.09741193056106567,0.19591784477233887,0.14464960992336273,0.19253842532634735,1.0,0.14626862108707428,0.15415489673614502,0.09769917279481888
provides,0.16175243258476257,0.3195696473121643,0.3295193016529083,0.12623533606529236,0.3119201064109802,0.10264725238084793,0.2568124532699585,0.3041352331638336,0.1500944346189499
many,0.36131182312965393,0.2649032473564148,0.2872205972671509,0.17006465792655945,0.37253960967063904,0.1653265357017517,0.27531886100769043,0.35744401812553406,0.2124512493610382
examples,0.26665759086608887,0.29282552003860474,0.2633219361305237,0.09216760098934174,0.3054686188697815,0.07410813122987747,0.26666098833084106,0.2860853374004364,0.19976599514484406
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.30494412779808044,1.0,0.19253842532634735,0.24504315853118896,0.41827285289764404,0.1826142966747284
architecture,0.23286667466163635,0.19717231392860413,0.2194099873304367,0.13696672022342682,0.2756515443325043,0.1518496423959732,0.06493372470140457,0.1400839239358902,0.14343059062957764
from,0.2737620174884796,0.27355384826660156,0.322764128446579,0.24002057313919067,0.4249346852302551,0.2396499514579773,0.15158241987228394,0.26272761821746826,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.3659466803073883,0.733189046382904,0.23137180507183075,0.2674119770526886,0.4223487675189972,0.22068053483963013
gothic,0.19246235489845276,0.23672030866146088,0.20486967265605927,0.09056763350963593,0.24052086472511292,0.19797174632549286,0.15095119178295135,0.15333181619644165,0.16695094108581543
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2742914855480194,0.4946078956127167,0.25300899147987366,0.2098689079284668,0.4120737314224243,0.31091248989105225
renaissance,0.22905825078487396,0.15399330854415894,0.1908426582813263,0.13581806421279907,0.21895526349544525,0.21741148829460144,0.11874711513519287,0.1633003205060959,0.12260647863149643
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2742914855480194,0.4946078956127167,0.25300899147987366,0.2098689079284668,0.4120737314224243,0.31091248989105225
baroque,0.24580983817577362,0.19997024536132812,0.2429855316877365,0.18305271863937378,0.2631792426109314,0.2657623887062073,0.14325857162475586,0.18710941076278687,0.1706247627735138
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.24505728483200073,0.5116966962814331,0.2083624005317688,0.28747713565826416,0.5477725267410278,0.20544172823429108
neoclassical,0.23971682786941528,0.19961686432361603,0.19260278344154358,0.11583524197340012,0.2511714696884155,0.26360973715782166,0.11084573715925217,0.1300320327281952,0.19664928317070007
periods,0.21756020188331604,0.16641093790531158,0.19556547701358795,0.23605306446552277,0.256827712059021,0.14529107511043549,0.2745239734649658,0.22977197170257568,0.167264923453331
",",0.3087472915649414,0.4691906273365021,0.427140474319458,0.2742914855480194,0.4946078956127167,0.25300899147987366,0.2098689079284668,0.4120737314224243,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.24505728483200073,0.5116966962814331,0.2083624005317688,0.28747713565826416,0.5477725267410278,0.20544172823429108
around,0.27475327253341675,0.286477267742157,0.3187784254550934,0.2932097315788269,0.3296394646167755,0.1713886260986328,0.28434130549430847,0.3207509517669678,0.14729668200016022
a,0.3320399522781372,0.658733606338501,1.0,0.26766106486320496,0.5052502155303955,0.19591784477233887,0.26714956760406494,0.3783375024795532,0.23916715383529663
quarter,0.15786661207675934,0.2525121569633484,0.26766106486320496,1.0,0.30494412779808044,0.14464960992336273,0.14068076014518738,0.2626938819885254,0.1356993168592453
of,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.30494412779808044,1.0,0.19253842532634735,0.24504315853118896,0.41827285289764404,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.3659466803073883,0.733189046382904,0.23137180507183075,0.2674119770526886,0.4223487675189972,0.22068053483963013
city,0.17493832111358643,0.3186660706996918,0.2349124401807785,0.24963690340518951,0.32503411173820496,0.25006377696990967,0.144709050655365,0.19554263353347778,0.13423943519592285
is,0.28837618231773376,1.0,0.658733606338501,0.2525121569633484,0.4854315221309662,0.09741193056106567,0.17559823393821716,0.3250955045223236,0.22961433231830597
filled,0.17941854894161224,0.17559823393821716,0.26714956760406494,0.14068076014518738,0.24504315853118896,0.14626862108707428,1.0,0.3928419351577759,0.1782117635011673
with,0.2464839518070221,0.3250955045223236,0.3783375024795532,0.2626938819885254,0.41827285289764404,0.15415489673614502,0.3928419351577759,0.9999999403953552,0.2433311939239502
luxurious,0.16740335524082184,0.14746174216270447,0.23626825213432312,0.21137641370296478,0.21507161855697632,0.05848294124007225,0.22308915853500366,0.16309493780136108,0.13753379881381989
parks,0.1465490311384201,0.21400870382785797,0.18967588245868683,0.06168993562459946,0.27195167541503906,0.1253313571214676,0.2067050188779831,0.1786482185125351,0.18846100568771362
and,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.24505728483200073,0.5116966962814331,0.2083624005317688,0.28747713565826416,0.5477725267410278,0.20544172823429108
royal,0.16189028322696686,0.15478424727916718,0.19676944613456726,0.18159960210323334,0.3112924098968506,0.1593901515007019,0.16035833954811096,0.16878072917461395,0.11453001946210861
gardens,0.14185643196105957,0.1537254899740219,0.15346403419971466,0.1414097100496292,0.26243776082992554,0.16762316226959229,0.1289699822664261,0.10340859740972519,0.1399904191493988
.,0.3567904531955719,0.4569662809371948,0.50484299659729,0.29042351245880127,0.5352458953857422,0.26825499534606934,0.2040669023990631,0.4446153938770294,0.4130953550338745
