,who,did,kubiak,take,the,place,of,after,super,bowl,xxiv,?
with,0.3282766342163086,0.25472134351730347,0.2046213150024414,0.21222369372844696,0.4223487675189972,0.18794342875480652,0.41827285289764404,0.33843478560447693,0.1518537551164627,0.18353787064552307,0.20835939049720764,0.2433311939239502
rivera,0.23454982042312622,0.16576150059700012,0.4018152058124542,0.11638613790273666,0.21485848724842072,0.14315693080425262,0.19537796080112457,0.16006870567798615,0.16309233009815216,0.13566109538078308,0.21393346786499023,0.17391206324100494
having,0.4130314290523529,0.3157401978969574,0.11431670188903809,0.2650688588619232,0.3821379244327545,0.23065972328186035,0.38889452815055847,0.33866575360298157,0.1636309027671814,0.1432962417602539,0.1961168348789215,0.22418256103992462
been,0.3295723795890808,0.2835664749145508,0.11786756664514542,0.22784483432769775,0.3563927710056305,0.24417364597320557,0.31685134768486023,0.2954521179199219,0.16475224494934082,0.17613008618354797,0.19334842264652252,0.24354910850524902
a,0.36608949303627014,0.2552328109741211,0.18171140551567078,0.2789212465286255,0.5829201340675354,0.3079278767108917,0.5052502155303955,0.3831600844860077,0.26005712151527405,0.19533146917819977,0.2187938392162323,0.23916715383529663
linebacker,0.18917565047740936,0.13520534336566925,0.4376261234283447,0.11011612415313721,0.19719967246055603,0.12677550315856934,0.19011981785297394,0.15671633183956146,0.28596732020378113,0.4219481945037842,0.2614330053329468,0.15540370345115662
with,0.3282766342163086,0.25472134351730347,0.2046213150024414,0.21222369372844696,0.4223487675189972,0.18794342875480652,0.41827285289764404,0.33843478560447693,0.1518537551164627,0.18353787064552307,0.20835939049720764,0.2433311939239502
the,0.3733934462070465,0.34736719727516174,0.1740415245294571,0.31620436906814575,1.0,0.4179787337779999,0.733189046382904,0.4565047025680542,0.21959073841571808,0.21576224267482758,0.31586477160453796,0.22068053483963013
chicago,0.2047077715396881,0.1900576800107956,0.2211872935295105,0.09029626846313477,0.27360326051712036,0.15375077724456787,0.18391016125679016,0.1510622501373291,0.11570389568805695,0.18324002623558044,0.24116340279579163,0.16446958482265472
bears,0.2247142642736435,0.18967753648757935,0.24615508317947388,0.21704019606113434,0.2872300446033478,0.2032613903284073,0.24048352241516113,0.16117992997169495,0.22805571556091309,0.3094787001609802,0.17644473910331726,0.13283714652061462
in,0.2792111933231354,0.2593238651752472,0.1927659809589386,0.21975718438625336,0.6662389636039734,0.38128477334976196,0.5696388483047485,0.44050168991088867,0.18576006591320038,0.17236235737800598,0.24070294201374054,0.20430970191955566
super,0.1819351613521576,0.16038043797016144,0.2177102267742157,0.1732010841369629,0.21959073841571808,0.06724333763122559,0.14718765020370483,0.1987018883228302,1.0000001192092896,0.4848237931728363,0.3896741271018982,0.166326642036438
bowl,0.09189514070749283,0.18569406867027283,0.21843846142292023,0.1148882582783699,0.21576224267482758,0.15577438473701477,0.2243070751428604,0.21850556135177612,0.4848237931728363,1.0,0.4162754714488983,0.21118052303791046
xx,0.04185507446527481,0.06287450343370438,0.16796144843101501,0.12052899599075317,0.2355078011751175,0.13140784204006195,0.13862080872058868,0.15397445857524872,0.31983134150505066,0.29072365164756775,0.5791261792182922,0.11678656935691833
",",0.3365725874900818,0.3015086054801941,0.33168280124664307,0.2881867289543152,0.4933079481124878,0.34068408608436584,0.4946078956127167,0.38860568404197693,0.22322475910186768,0.1810409277677536,0.2835990786552429,0.31091248989105225
and,0.41279885172843933,0.34479495882987976,0.23029199242591858,0.296702116727829,0.5171257257461548,0.2813849449157715,0.5116966962814331,0.3765919506549835,0.18368244171142578,0.1698254644870758,0.1967254877090454,0.20544172823429108
kubiak,0.1886254996061325,0.1598021686077118,0.9999999403953552,0.09030230343341827,0.1740415245294571,0.12399262934923172,0.15710368752479553,0.2296905666589737,0.2177102267742157,0.21843846142292023,0.25217097997665405,0.15975911915302277
replacing,0.15232381224632263,0.11901331692934036,0.227826789021492,0.2060699164867401,0.29703330993652344,0.14723698794841766,0.22912712395191193,0.26888570189476013,0.14328931272029877,0.1583619862794876,0.16821835935115814,0.16467362642288208
elway,0.30533918738365173,0.19734835624694824,0.3307536840438843,0.18939697742462158,0.2985321283340454,0.15250927209854126,0.2248365581035614,0.18551450967788696,0.2389257848262787,0.3023669123649597,0.2828051745891571,0.2248448133468628
