,what,test,is,especially,useful,for,numbers,of,the,form,2p,-,1,?
other,0.341873437166214,0.190856471657753,0.25895947217941284,0.47340822219848633,0.34880998730659485,0.3273986279964447,0.32691287994384766,0.38583824038505554,0.44152235984802246,0.2616437077522278,0.1140778586268425,0.19718457758426666,-0.25242504477500916,0.24682199954986572
primes,0.2505246102809906,0.19756951928138733,0.2382466346025467,0.1753794550895691,0.25481510162353516,0.23085950314998627,0.47689586877822876,0.22199293971061707,0.22359657287597656,0.2012440413236618,0.029229501262307167,0.16713015735149384,-0.25417813658714294,0.18851876258850098
where,0.4457937180995941,0.20391574501991272,0.3586711287498474,0.40942129492759705,0.3074474334716797,0.38599511981010437,0.23721979558467865,0.38066378235816956,0.5003893971443176,0.25177764892578125,0.18941596150398254,0.14369744062423706,-0.12200809270143509,0.24793872237205505
either,0.3851809501647949,0.23213711380958557,0.3086068034172058,0.3139472007751465,0.3732452392578125,0.3058042526245117,0.3112894296646118,0.24225673079490662,0.3795609474182129,0.3135751783847809,0.11547042429447174,0.17342011630535126,-0.2703090310096741,0.31498292088508606
p,0.18586504459381104,0.09953117370605469,0.11757151037454605,0.08257559686899185,0.12311325967311859,0.13376198709011078,0.2005690187215805,0.18174134194850922,0.16481639444828033,0.05228098854422569,0.09534163028001785,0.1825701743364334,-0.08734627813100815,0.20840544998645782
+,0.1158081665635109,0.20125523209571838,0.12961794435977936,0.11925795674324036,0.2078946828842163,0.22752368450164795,0.28473323583602905,0.14862146973609924,0.12941905856132507,0.1295623481273651,0.09110704064369202,0.2638072371482849,-0.13459764420986176,0.2903686463832855
1,-0.21266892552375793,-0.16706395149230957,-0.12491171807050705,-0.2062229961156845,-0.2857520878314972,-0.31088897585868835,-0.23353983461856842,-0.09473495930433273,-0.1554475575685501,-0.12375190854072571,-0.08526936173439026,-0.1143333688378334,1.0,-0.249979168176651
or,0.33867141604423523,0.20949269831180573,0.41870999336242676,0.4209681451320648,0.3841138482093811,0.4111599624156952,0.28782588243484497,0.3792596757411957,0.4174870550632477,0.3818044364452362,0.14875280857086182,0.24945028126239777,-0.21893133223056793,0.32389625906944275
p,0.18586504459381104,0.09953117370605469,0.11757151037454605,0.08257559686899185,0.12311325967311859,0.13376198709011078,0.2005690187215805,0.18174134194850922,0.16481639444828033,0.05228098854422569,0.09534163028001785,0.1825701743364334,-0.08734627813100815,0.20840544998645782
−,0.14940914511680603,0.13846145570278168,0.16782180964946747,0.06260176748037338,0.19310054183006287,0.15744571387767792,0.27815258502960205,0.12494775652885437,0.15648725628852844,0.10286037623882294,0.04651492461562157,0.27265843749046326,-0.10430116206407547,0.22067660093307495
