,what,complexity,class,is,characterized,by,a,computational,tasks,and,efficient,algorithms,?
the,0.42745697498321533,0.21171598136425018,0.18034407496452332,0.5823672413825989,0.30089181661605835,0.4408751428127289,0.5829201340675354,0.18477948009967804,0.232274129986763,0.5171257257461548,0.22032952308654785,0.167828768491745,0.22068053483963013
complexity,0.33747240900993347,1.0,0.22154183685779572,0.2541271150112152,0.3055938482284546,0.17643122375011444,0.27206721901893616,0.6165810823440552,0.3746551275253296,0.2520415782928467,0.44493651390075684,0.5325000286102295,0.23062916100025177
class,0.16880196332931519,0.22154183685779572,1.0,0.1275252103805542,0.14909538626670837,0.12142201513051987,0.23462694883346558,0.14079654216766357,0.13515906035900116,0.20710228383541107,0.19982673227787018,0.1425400823354721,0.12778934836387634
p,0.18586504459381104,0.2279624342918396,0.1395781934261322,0.11757151037454605,0.08801049739122391,0.06021369248628616,0.15866722166538239,0.20585231482982635,0.10165037214756012,0.198231041431427,0.20557300746440887,0.18412981927394867,0.20840544998645782
is,0.28837618231773376,0.2541271150112152,0.1275252103805542,1.0,0.26732131838798523,0.3899846076965332,0.658733606338501,0.2470806986093521,0.20374782383441925,0.3859752118587494,0.19970080256462097,0.24730736017227173,0.22961433231830597
often,0.3849453330039978,0.2958013415336609,0.1089857965707779,0.3856629431247711,0.43681788444519043,0.32333052158355713,0.3930865228176117,0.29937222599983215,0.31049999594688416,0.42465832829475403,0.30895909667015076,0.26996198296546936,0.23748154938220978
seen,0.3087027072906494,0.17667311429977417,0.15381596982479095,0.2670730948448181,0.3471407890319824,0.22616511583328247,0.26090866327285767,0.15985503792762756,0.23398078978061676,0.2522655725479126,0.20699770748615265,0.14240247011184692,0.2567344307899475
as,0.31749409437179565,0.22960948944091797,0.22566811740398407,0.43216490745544434,0.2511933445930481,0.3815547823905945,0.39550232887268066,0.22144010663032532,0.29028284549713135,0.49487000703811646,0.2651938199996948,0.19219911098480225,0.27043893933296204
a,0.3320399522781372,0.27206721901893616,0.23462694883346558,0.658733606338501,0.3205097019672394,0.32094135880470276,1.0,0.29858994483947754,0.22551681101322174,0.3739250600337982,0.19768685102462769,0.21237695217132568,0.23916715383529663
mathematical,0.2707732021808624,0.4806884825229645,0.09442731738090515,0.18057724833488464,0.2105933278799057,0.17634403705596924,0.24343366920948029,0.6238549947738647,0.24664901196956635,0.22746597230434418,0.32888031005859375,0.5105657577514648,0.1630573719739914
abstraction,0.2907012701034546,0.5566515326499939,0.18708327412605286,0.2595391869544983,0.39609259366989136,0.18783043324947357,0.283945769071579,0.5562615990638733,0.285347580909729,0.17768731713294983,0.35869431495666504,0.45394355058670044,0.17030994594097137
modeling,0.2633504271507263,0.3197299838066101,0.22198347747325897,0.1285356730222702,0.24790681898593903,0.15563595294952393,0.2617202699184418,0.4917435944080353,0.28699788451194763,0.23096223175525665,0.3064271807670593,0.33478111028671265,0.16352395713329315
those,0.44466671347618103,0.3527650833129883,0.18292978405952454,0.2352088838815689,0.3241170346736908,0.32841911911964417,0.24251152575016022,0.29045677185058594,0.3215694725513458,0.43169310688972473,0.2800123691558838,0.23181036114692688,0.3328189253807068
computational,0.29464593529701233,0.6165810823440552,0.14079654216766357,0.2470806986093521,0.314226359128952,0.2209896296262741,0.29858994483947754,1.0,0.4006735384464264,0.28914058208465576,0.42837056517601013,0.6361116766929626,0.21617397665977478
tasks,0.3378678560256958,0.3746551275253296,0.13515906035900116,0.20374782383441925,0.1711597591638565,0.1853010058403015,0.22551681101322174,0.4006735384464264,1.0,0.27594971656799316,0.3522224724292755,0.4024868905544281,0.2558839023113251
that,0.6297725439071655,0.3234518766403198,0.23035554587841034,0.3995479643344879,0.295734703540802,0.37496164441108704,0.47537946701049805,0.3084385395050049,0.32250455021858215,0.4731321930885315,0.3503778278827667,0.2668388783931732,0.32716336846351624
admit,0.4176025092601776,0.2416214644908905,0.18441885709762573,0.1644590198993683,0.1446080207824707,0.21263054013252258,0.2463129758834839,0.17964546382427216,0.26007553935050964,0.22755292057991028,0.1618041694164276,0.16060222685337067,0.3069921135902405
an,0.2821882665157318,0.2376130372285843,0.16298675537109375,0.4654068350791931,0.197162926197052,0.2719563841819763,0.44552403688430786,0.19987577199935913,0.0892745777964592,0.2838519215583801,0.2286422997713089,0.15792889893054962,0.19793890416622162
efficient,0.22662539780139923,0.44493651390075684,0.19982673227787018,0.19970080256462097,0.27697691321372986,0.1805124431848526,0.19768685102462769,0.42837056517601013,0.3522224724292755,0.2733532190322876,1.0000001192092896,0.4100019931793213,0.18034493923187256
algorithm,0.2700590193271637,0.4874947965145111,0.11908161640167236,0.24848374724388123,0.15567825734615326,0.14533276855945587,0.20294487476348877,0.580475389957428,0.36072850227355957,0.06731905043125153,0.3949858546257019,0.9430480003356934,0.21180397272109985
.,0.3567904531955719,0.21340465545654297,0.24688394367694855,0.4569662809371948,0.20198658108711243,0.3936232924461365,0.50484299659729,0.24047870934009552,0.23887550830841064,0.588965117931366,0.2178027182817459,0.1675408035516739,0.4130953550338745
