,what,molecule,does,the,sun,have,in,higher,proportion,than,earth,?
analysis,0.2842639982700348,0.3376427888870239,0.1962430626153946,0.24241644144058228,0.10968854278326035,0.2486189603805542,0.19403725862503052,0.21387416124343872,0.32888829708099365,0.21363689005374908,0.1537160724401474,0.15352053940296173
of,0.33290785551071167,0.24491971731185913,0.3119818866252899,0.733189046382904,0.22858914732933044,0.3802283704280853,0.5696388483047485,0.3096220791339874,0.326309472322464,0.33036211133003235,0.2329314798116684,0.1826142966747284
a,0.3320399522781372,0.25077784061431885,0.38201746344566345,0.5829201340675354,0.18251942098140717,0.338716596364975,0.539380669593811,0.2608921229839325,0.2806292176246643,0.3126874566078186,0.21121151745319366,0.23916715383529663
silicon,0.18574021756649017,0.38837486505508423,0.14146928489208221,0.23840630054473877,0.2207091599702835,0.22611501812934875,0.21423573791980743,0.2550574839115143,0.22283793985843658,0.20196287333965302,0.2520771324634552,0.0868363156914711
wafer,0.20795804262161255,0.38472259044647217,0.24355106055736542,0.2579030692577362,0.2558610141277313,0.3044460713863373,0.23565886914730072,0.30330583453178406,0.21859164535999298,0.306079626083374,0.20064978301525116,0.16694091260433197
exposed,0.21776136755943298,0.2809760868549347,0.26838919520378113,0.23872122168540955,0.20942151546478271,0.2760770618915558,0.23804402351379395,0.28140541911125183,0.251086950302124,0.27291372418403625,0.28046751022338867,0.12477970123291016
to,0.455847829580307,0.2560041546821594,0.4391997456550598,0.535392165184021,0.17790719866752625,0.4544740617275238,0.45010748505592346,0.3279348313808441,0.27622002363204956,0.3192550539970398,0.2486501932144165,0.29463258385658264
the,0.42745697498321533,0.24164284765720367,0.35928019881248474,1.0,0.258540540933609,0.40389683842658997,0.6662389636039734,0.3292480409145355,0.2945463955402374,0.3227543234825134,0.2801888585090637,0.22068053483963013
solar,0.19109857082366943,0.22066953778266907,0.17871475219726562,0.2513602674007416,0.47874757647514343,0.22977100312709808,0.2295871526002884,0.2361672818660736,0.16882480680942535,0.215702086687088,0.42192184925079346,0.18617206811904907
wind,0.2056615948677063,0.1203603744506836,0.1671968549489975,0.2338196188211441,0.2932126522064209,0.17218385636806488,0.2197054922580719,0.20461757481098175,0.17491038143634796,0.15801599621772766,0.30726155638694763,0.17669273912906647
in,0.30808621644973755,0.22239558398723602,0.214483380317688,0.6662389636039734,0.16873624920845032,0.36843645572662354,1.0,0.23285751044750214,0.2268213927745819,0.3270052373409271,0.18566735088825226,0.20430970191955566
space,0.20525942742824554,0.24912483990192413,0.1845475137233734,0.24495907127857208,0.13837723433971405,0.22874028980731964,0.17648501694202423,0.14495278894901276,0.17692290246486664,0.20923641324043274,0.3202928602695465,0.1885536164045334
and,0.31309178471565247,0.19106711447238922,0.3461615741252899,0.5171257257461548,0.22661687433719635,0.4711785912513733,0.4954058527946472,0.3147866129875183,0.2984730005264282,0.39361441135406494,0.27524080872535706,0.20544172823429108
returned,0.15085899829864502,0.08615704625844955,0.12911356985569,0.32857778668403625,0.03743068128824234,0.19268153607845306,0.341925710439682,0.0899323970079422,0.11971491575241089,0.14091983437538147,0.10824918746948242,0.07695316523313522
by,0.2455483376979828,0.20093344151973724,0.143477201461792,0.4408751428127289,0.18461088836193085,0.3359639644622803,0.370934396982193,0.23272763192653656,0.2305578887462616,0.2015816867351532,0.1861492097377777,0.17966607213020325
the,0.42745697498321533,0.24164284765720367,0.35928019881248474,1.0,0.258540540933609,0.40389683842658997,0.6662389636039734,0.3292480409145355,0.2945463955402374,0.3227543234825134,0.2801888585090637,0.22068053483963013
crashed,0.1518300175666809,0.0970107764005661,0.12881946563720703,0.24208064377307892,0.1379900425672531,0.17937098443508148,0.22143851220607758,0.11982257664203644,0.11450161784887314,0.10651399940252304,0.2117132842540741,0.04458551108837128
genesis,0.27655747532844543,0.17811910808086395,0.1959473043680191,0.2291790246963501,0.2385510504245758,0.16261431574821472,0.10960285365581512,0.11944332718849182,0.047918129712343216,0.18137133121490479,0.35389259457588196,0.2113482803106308
spacecraft,0.19567668437957764,0.2673037648200989,0.1343306452035904,0.21476294100284576,0.22437657415866852,0.21024629473686218,0.19417698681354523,0.1588415950536728,0.11595051735639572,0.20426249504089355,0.4782452881336212,0.17708687484264374
has,0.20338068902492523,0.18824930489063263,0.42885294556617737,0.4177538752555847,0.18989816308021545,0.6353569626808167,0.4173259735107422,0.2676869332790375,0.2190943956375122,0.32792407274246216,0.16817981004714966,0.15994466841220856
shown,0.2601207196712494,0.21821188926696777,0.24773938953876495,0.3387985825538635,0.14167220890522003,0.28475403785705566,0.2988935708999634,0.1611640453338623,0.2258128970861435,0.26416149735450745,0.17987121641635895,0.2433658242225647
that,0.6297725439071655,0.2929195165634155,0.4764937460422516,0.5473989248275757,0.2795715630054474,0.6182622313499451,0.435920387506485,0.31370723247528076,0.2982373833656311,0.4891277849674225,0.33014219999313354,0.32716336846351624
the,0.42745697498321533,0.24164284765720367,0.35928019881248474,1.0,0.258540540933609,0.40389683842658997,0.6662389636039734,0.3292480409145355,0.2945463955402374,0.3227543234825134,0.2801888585090637,0.22068053483963013
sun,0.207769975066185,0.17871937155723572,0.18103665113449097,0.258540540933609,1.0000001192092896,0.22000132501125336,0.16873624920845032,0.2234966903924942,0.13776858150959015,0.2240198254585266,0.45118439197540283,0.1497713327407837
has,0.20338068902492523,0.18824930489063263,0.42885294556617737,0.4177538752555847,0.18989816308021545,0.6353569626808167,0.4173259735107422,0.2676869332790375,0.2190943956375122,0.32792407274246216,0.16817981004714966,0.15994466841220856
a,0.3320399522781372,0.25077784061431885,0.38201746344566345,0.5829201340675354,0.18251942098140717,0.338716596364975,0.539380669593811,0.2608921229839325,0.2806292176246643,0.3126874566078186,0.21121151745319366,0.23916715383529663
higher,0.2538340389728546,0.2458980232477188,0.32568827271461487,0.3292480409145355,0.2234966903924942,0.3573189079761505,0.23285751044750214,1.0,0.3484688699245453,0.4844343364238739,0.20036448538303375,0.15679465234279633
proportion,0.21334725618362427,0.2958564758300781,0.2511845529079437,0.2945463955402374,0.13776858150959015,0.36424127221107483,0.2268213927745819,0.3484688699245453,1.0,0.3676738440990448,0.22840334475040436,0.16980072855949402
