,what,rank,for,most,populous,city,in,the,european,union,does,warsaw,hold,?
its,0.30393704771995544,0.12665368616580963,0.2992613911628723,0.32324016094207764,0.39262327551841736,0.3465842306613922,0.3793783485889435,0.559237003326416,0.1742284595966339,0.22658714652061462,0.33437713980674744,0.19152112305164337,0.24689245223999023,0.15103481709957123
population,0.2000674307346344,0.2345428466796875,0.13321557641029358,0.21684317290782928,0.6115639805793762,0.4607829749584198,0.3268454372882843,0.32044094800949097,0.17372848093509674,0.23277738690376282,0.14702445268630981,0.1863958090543747,0.10674268752336502,0.14449454843997955
is,0.28837618231773376,0.15803313255310059,0.43268078565597534,0.41165053844451904,0.3188974857330322,0.3186660706996918,0.5394441485404968,0.5823672413825989,0.16083641350269318,0.16997112333774567,0.4403602182865143,0.09741193056106567,0.22212235629558563,0.22961433231830597
estimated,0.19670580327510834,0.20360372960567474,0.13000595569610596,0.2743355333805084,0.4316065311431885,0.24695147573947906,0.2508986294269562,0.29184040427207947,0.13938923180103302,0.16096369922161102,0.12240004539489746,0.11282374709844589,0.15087826550006866,0.18149758875370026
at,0.2838611304759979,0.1545201987028122,0.34237727522850037,0.22451047599315643,0.17525675892829895,0.2310783565044403,0.4374977946281433,0.457212895154953,0.2249954491853714,0.16550375521183014,0.17465277016162872,0.20140162110328674,0.260353684425354,0.21978627145290375
1.740,0.11186227202415466,0.08764325827360153,0.17038126289844513,0.05143987014889717,0.02639324590563774,0.12789180874824524,0.19738692045211792,0.13006961345672607,-0.03647323325276375,0.1180242970585823,0.05869097262620926,0.07432372123003006,0.07498011738061905,0.17895950376987457
million,0.22197039425373077,0.11613500863313675,0.18660776317119598,0.2996847331523895,0.3290826082229614,0.1873769909143448,0.2596224844455719,0.277012437582016,0.12909206748008728,0.13852275907993317,0.10680846869945526,0.07597553730010986,0.13936775922775269,0.23092924058437347
residents,0.21107541024684906,0.12266427278518677,0.27884864807128906,0.28502365946769714,0.41731172800064087,0.41451045870780945,0.27393898367881775,0.28274044394493103,0.1761591136455536,0.21079520881175995,0.1642918884754181,0.13838742673397064,0.15226012468338013,0.09602975845336914
within,0.2498195916414261,0.15099406242370605,0.3087334632873535,0.2788230776786804,0.2446192055940628,0.1794440597295761,0.40576374530792236,0.39827480912208557,0.1440362185239792,0.25009649991989136,0.29514265060424805,0.14228931069374084,0.2997158467769623,0.1870293766260147
a,0.3320399522781372,0.19437101483345032,0.44038116931915283,0.3508910834789276,0.20130963623523712,0.2349124401807785,0.539380669593811,0.5829201340675354,0.2254103124141693,0.18140026926994324,0.38201746344566345,0.19591784477233887,0.2822398841381073,0.23916715383529663
