,what,was,the,idealized,value,of,imperialism,?
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.2350342869758606,0.271339476108551,0.4185989499092102,0.15846435725688934,0.264628142118454
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.26376962661743164,0.20725393295288086,0.4300730526447296,0.19825322926044464,0.2562315762042999
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.15875336527824402,0.23697449266910553,0.4946078956127167,0.2420617640018463,0.31091248989105225
imperialism,0.24614648520946503,0.2349989414215088,0.2716025412082672,0.3359540104866028,0.20645540952682495,0.29240643978118896,1.0,0.14998586475849152
designated,0.06610333919525146,0.20730479061603546,0.23178240656852722,0.10744564235210419,0.24993854761123657,0.22357919812202454,0.12414813041687012,0.1318070888519287
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2978770434856415,0.2328912615776062,0.5052502155303955,0.17335295677185059,0.23916715383529663
policy,0.3869883120059967,0.1882478892803192,0.2358427494764328,0.2165432721376419,0.24746951460838318,0.24393197894096375,0.37139713764190674,0.30462446808815
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.29747533798217773,0.14933855831623077,1.0,0.29240643978118896,0.1826142966747284
idealism,0.30376121401786804,0.18415243923664093,0.20065376162528992,0.5478690266609192,0.24639452993869781,0.26264113187789917,0.6575680375099182,0.11659428477287292
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2604519724845886,0.24539050459861755,0.5116966962814331,0.19073538482189178,0.20544172823429108
philanthropy,0.26135408878326416,0.24382123351097107,0.20849841833114624,0.20888906717300415,0.24417631328105927,0.22510775923728943,0.28299060463905334,0.21905182301998138
;,0.10986888408660889,0.0754367932677269,0.09152708947658539,0.07181365042924881,0.028275461867451668,0.054534342139959335,0.07434786111116409,0.10349778085947037
others,0.3888046145439148,0.21874937415122986,0.34376874566078186,0.23303033411502838,0.13815312087535858,0.2793974280357361,0.15555933117866516,0.26705288887023926
alleged,0.19019317626953125,0.2909727990627289,0.2058245837688446,0.3232361376285553,0.07817267626523972,0.24758745729923248,0.1888953149318695,0.12596184015274048
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.37095609307289124,0.2545641362667084,0.41498205065727234,0.23209288716316223,0.32716336846351624
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.17061156034469604,0.21908211708068848,0.38761502504348755,0.1997520625591278,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2955186069011688,0.13631008565425873,0.4069072902202606,0.2349989414215088,0.18412111699581146
characterized,0.20582014322280884,0.2070060819387436,0.30089181661605835,0.4517665207386017,0.16295309364795685,0.30984818935394287,0.2720700800418854,0.03949757292866707
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.3116427958011627,0.09974394738674164,0.3646814823150635,0.21250218152999878,0.17966607213020325
political,0.21846716105937958,0.24282537400722504,0.20477235317230225,0.25891822576522827,0.12329787015914917,0.27319738268852234,0.4096531569957733,0.17130474746227264
self-interest,0.30644944310188293,0.23073318600654602,0.21719126403331757,0.3001463711261749,0.2774033844470978,0.21212652325630188,0.28361329436302185,0.2922072410583496
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.15875336527824402,0.23697449266910553,0.4946078956127167,0.2420617640018463,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2604519724845886,0.24539050459861755,0.5116966962814331,0.19073538482189178,0.20544172823429108
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2978770434856415,0.2328912615776062,0.5052502155303955,0.17335295677185059,0.23916715383529663
growing,0.20045997202396393,0.22300779819488525,0.33280637860298157,0.24229542911052704,0.15077105164527893,0.3095463812351227,0.20775724947452545,0.10178618133068085
number,0.23046229779720306,0.1855042725801468,0.35145696997642517,0.1701817512512207,0.3341948091983795,0.2778518795967102,0.1528342217206955,0.19256845116615295
associated,0.15836219489574432,0.16673633456230164,0.2742886245250702,0.3477398157119751,0.15442593395709991,0.3077163100242615,0.15645097196102142,0.1453326791524887
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.17061156034469604,0.21908211708068848,0.38761502504348755,0.1997520625591278,0.25732165575027466
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.28964367508888245,0.1380540281534195,0.41827285289764404,0.16891896724700928,0.2433311939239502
capitalist,0.21623632311820984,0.22515879571437836,0.19365057349205017,0.22174210846424103,0.28720077872276306,0.1508098989725113,0.5124448537826538,0.13302330672740936
greed,0.246432363986969,0.22096972167491913,0.2345215082168579,0.3288837671279907,0.2139252871274948,0.24555383622646332,0.3434227705001831,0.1290576010942459
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.15738146007061005,0.21357886493206024,0.5352458953857422,0.22279119491577148,0.4130953550338745
