,what,did,temüjin,offer,the,people,he,conquered,in,order,earn,their,loyalty,?
instead,0.4104403555393219,0.34208473563194275,0.28853273391723633,0.2806014120578766,0.3940567970275879,0.26729342341423035,0.2544998526573181,0.12379780411720276,0.28091272711753845,0.22947189211845398,0.28192827105522156,0.3511526882648468,0.20659999549388885,0.2942638397216797
",",0.3087472915649414,0.3015086054801941,0.3484273850917816,0.2830800712108612,0.4933079481124878,0.36644625663757324,0.40251094102859497,0.2528323531150818,0.5201468467712402,0.22478096187114716,0.2286224514245987,0.3045167922973633,0.16162197291851044,0.31091248989105225
he,0.3114890456199646,0.3292143940925598,0.44463157653808594,0.1982349306344986,0.4571082592010498,0.324719101190567,1.0000001192092896,0.2761358916759491,0.41690486669540405,0.18230944871902466,0.3204812705516815,0.3267501890659332,0.2659348249435425,0.2089974731206894
took,0.1316593885421753,0.42470768094062805,0.36550742387771606,0.26942405104637146,0.31657639145851135,0.19886894524097443,0.3519804775714874,0.35813602805137634,0.2818296551704407,0.1642705798149109,0.2465965449810028,0.2808641493320465,0.20738962292671204,0.14109265804290771
the,0.42745697498321533,0.34736719727516174,0.43713900446891785,0.21118608117103577,1.0,0.36838498711586,0.4571082592010498,0.3127642273902893,0.6662389636039734,0.3284194767475128,0.21796688437461853,0.516537070274353,0.23463010787963867,0.22068053483963013
conquered,0.2095409482717514,0.23394589126110077,0.48280221223831177,0.17026154696941376,0.3127642273902893,0.26572248339653015,0.2761358916759491,1.0,0.287716805934906,0.12878665328025818,0.17354020476341248,0.19513317942619324,0.36960190534591675,0.12499574571847916
tribe,0.2215883582830429,0.13854432106018066,0.40159136056900024,0.0652468129992485,0.280248761177063,0.25797438621520996,0.16535893082618713,0.33341774344444275,0.17848652601242065,0.16422605514526367,0.1699123978614807,0.24688933789730072,0.23645932972431183,0.11037874221801758
under,0.20154598355293274,0.20815621316432953,0.32322803139686584,0.12306375801563263,0.3348022699356079,0.13689811527729034,0.23761922121047974,0.28540125489234924,0.2535393238067627,0.1946636438369751,0.13833245635032654,0.24656233191490173,0.23664626479148865,0.18233340978622437
his,0.26976513862609863,0.3546801507472992,0.4682264029979706,0.22764578461647034,0.4394008219242096,0.17825907468795776,0.7171558737754822,0.27907538414001465,0.3598145842552185,0.18186849355697632,0.3196015954017639,0.5725893378257751,0.3550528287887573,0.18075084686279297
protection,0.24867326021194458,0.21425142884254456,0.2274792343378067,0.27709123492240906,0.26689648628234863,0.14095009863376617,0.1581118255853653,0.165001779794693,0.15337345004081726,0.17915795743465424,0.12048406898975372,0.2241237312555313,0.2725030183792114,0.21348094940185547
