,what,flows,between,bingen,and,bonn,?
between,0.2462156116962433,0.22547540068626404,0.9999999403953552,0.09992358088493347,0.40645647048950195,0.16128163039684296,0.12887074053287506
bingen,0.14803148806095123,0.17421045899391174,0.09992358088493347,1.0000001192092896,0.1754288375377655,0.5241225361824036,0.1580134928226471
and,0.31309178471565247,0.2396772801876068,0.40645647048950195,0.1754288375377655,1.0,0.25489795207977295,0.20544172823429108
bonn,0.16150450706481934,0.15079687535762787,0.16128163039684296,0.5241225361824036,0.25489795207977295,1.0000001192092896,0.16948336362838745
",",0.3087472915649414,0.2638954818248749,0.27714940905570984,0.22938573360443115,0.6633074283599854,0.28043362498283386,0.31091248989105225
the,0.42745697498321533,0.32405155897140503,0.39067012071609497,0.17240707576274872,0.5171257257461548,0.25680050253868103,0.22068053483963013
middle,0.18312302231788635,0.1470673829317093,0.31100550293922424,0.1915007382631302,0.2514324486255646,0.142375648021698,0.13139553368091583
rhine,0.16475653648376465,0.2871347963809967,0.17755062878131866,0.5156323313713074,0.22029656171798706,0.5227794647216797,0.13754533231258392
flows,0.14294633269309998,1.0,0.22547540068626404,0.17421045899391174,0.2396772801876068,0.15079687535762787,0.11636040359735489
through,0.23167094588279724,0.4745402932167053,0.3930896520614624,0.13426922261714935,0.3666759729385376,0.11035824567079544,0.16913433372974396
the,0.42745697498321533,0.32405155897140503,0.39067012071609497,0.17240707576274872,0.5171257257461548,0.25680050253868103,0.22068053483963013
rhine,0.16475653648376465,0.2871347963809967,0.17755062878131866,0.5156323313713074,0.22029656171798706,0.5227794647216797,0.13754533231258392
gorge,0.1718710958957672,0.4161994457244873,0.22134362161159515,0.19664783775806427,0.2490140050649643,0.19019845128059387,0.1263076812028885
",",0.3087472915649414,0.2638954818248749,0.27714940905570984,0.22938573360443115,0.6633074283599854,0.28043362498283386,0.31091248989105225
a,0.3320399522781372,0.1886882185935974,0.29385313391685486,0.18480850756168365,0.3739250600337982,0.20975470542907715,0.23916715383529663
formation,0.16291823983192444,0.24891282618045807,0.2709658443927765,0.12112226337194443,0.22940734028816223,0.18094775080680847,0.09831923991441727
which,0.5261979103088379,0.24550573527812958,0.395174115896225,0.13103275001049042,0.506277859210968,0.21701106429100037,0.25814583897590637
was,0.22111038863658905,0.16089467704296112,0.24048170447349548,0.14842990040779114,0.3740963041782379,0.2483256757259369,0.18412111699581146
created,0.20714101195335388,0.20481543242931366,0.2066173255443573,0.11046681553125381,0.2873832881450653,0.07657398283481598,0.21177415549755096
by,0.2455483376979828,0.12639357149600983,0.28115302324295044,0.06663106381893158,0.4289871156215668,0.11693922430276871,0.17966607213020325
erosion,0.24651223421096802,0.3406839072704315,0.2459857016801834,0.12976700067520142,0.2638475000858307,0.08420616388320923,0.14646314084529877
.,0.3567904531955719,0.19567762315273285,0.30295518040657043,0.20918020606040955,0.588965117931366,0.2734124958515167,0.4130953550338745
