,which,is,the,largest,city,not,connected,to,an,interstate,highway,?
fresno,0.14756552875041962,0.2127077877521515,0.22571885585784912,0.18572454154491425,0.2780216634273529,0.16631358861923218,0.14370311796665192,0.22500741481781006,0.15491461753845215,0.3506109416484833,0.2258324772119522,0.13224096596240997
is,0.4457404911518097,1.0,0.5823672413825989,0.3413417339324951,0.3186660706996918,0.3776007890701294,0.2791581451892853,0.42745086550712585,0.4654068350791931,0.16842438280582428,0.1804402470588684,0.22961433231830597
the,0.6521818041801453,0.5823672413825989,1.0,0.3757036626338959,0.35769423842430115,0.4310511648654938,0.31369513273239136,0.535392165184021,0.4207492768764496,0.21078766882419586,0.20523275434970856,0.22068053483963013
largest,0.29749369621276855,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.3647192716598511,0.14868555963039398,0.23624421656131744,0.18687231838703156,0.18550355732440948,0.16203194856643677,0.14644774794578552,0.12401245534420013
u.s.,0.014487938955426216,-0.05269147455692291,0.06592652946710587,-0.0824132114648819,0.13282833993434906,0.07010660320520401,-0.10347096621990204,0.09732837975025177,-0.004288777709007263,0.09805531799793243,0.019543752074241638,0.07886100560426712
city,0.22264601290225983,0.3186660706996918,0.35769423842430115,0.3647192716598511,1.0,0.1545342206954956,0.21580369770526886,0.20300441980361938,0.17270074784755707,0.3498707115650177,0.2831103801727295,0.13423943519592285
not,0.46766895055770874,0.3776007890701294,0.4310511648654938,0.14868555963039398,0.1545342206954956,0.9999999403953552,0.22811828553676605,0.5149973034858704,0.3722182512283325,0.27899879217147827,0.14310693740844727,0.41942933201789856
directly,0.5192315578460693,0.2819631099700928,0.4502958655357361,0.205486461520195,0.17010793089866638,0.3935721516609192,0.3525316119194031,0.46690139174461365,0.21385347843170166,0.2371440976858139,0.19207242131233215,0.2187996357679367
linked,0.35208654403686523,0.2245381623506546,0.2907569110393524,0.19350789487361908,0.1582876741886139,0.3072676956653595,0.43209072947502136,0.25303661823272705,0.2170298844575882,0.18632937967777252,0.17132745683193207,0.22991526126861572
to,0.5345056653022766,0.42745086550712585,0.535392165184021,0.18687231838703156,0.20300441980361938,0.5149973034858704,0.2315610647201538,1.0,0.3138085603713989,0.2701593041419983,0.20274639129638672,0.29463258385658264
an,0.3611921966075897,0.4654068350791931,0.4207492768764496,0.18550355732440948,0.17270074784755707,0.3722182512283325,0.14289559423923492,0.3138085603713989,1.0,0.16664250195026398,0.1502588391304016,0.19793890416622162
interstate,0.22075149416923523,0.16842438280582428,0.21078766882419586,0.16203194856643677,0.3498707115650177,0.27899879217147827,0.2872374951839447,0.2701593041419983,0.16664250195026398,0.9999999403953552,0.6463026404380798,0.1831059604883194
highway,0.17357602715492249,0.1804402470588684,0.20523275434970856,0.14644774794578552,0.2831103801727295,0.14310693740844727,0.2991469204425812,0.20274639129638672,0.1502588391304016,0.6463026404380798,0.9999998807907104,0.15589815378189087
.,0.45942068099975586,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.29856356978416443,0.4824007451534271,0.2379520833492279,0.4645031690597534,0.3581749200820923,0.22625520825386047,0.27196285128593445,0.4130953550338745
