,who,helped,discover,the,turkana,boy,?
during,0.30551859736442566,0.3647162616252899,0.14584283530712128,0.4838213622570038,0.149322971701622,0.17835769057273865,0.1325719803571701
excavations,0.17985452711582184,0.18361864984035492,0.3358030319213867,0.25225457549095154,0.3544541597366333,0.09122447669506073,0.12720316648483276
at,0.22096660733222961,0.15598946809768677,0.1501750349998474,0.457212895154953,0.17824730277061462,0.15315860509872437,0.21978627145290375
lake,0.1010095402598381,0.14109188318252563,0.1408318132162094,0.24325428903102875,0.412352591753006,0.15111252665519714,0.07226386666297913
turkana,0.21433880925178528,0.19320707023143768,0.22548869252204895,0.2747046947479248,1.0,0.2370142638683319,0.12596961855888367
in,0.2792111933231354,0.304380863904953,0.24369259178638458,0.6662389636039734,0.24214357137680054,0.1783042699098587,0.20430970191955566
1984,-0.04009602591395378,0.02631312608718872,0.061838969588279724,-0.007670710328966379,0.2838011682033539,0.07402355968952179,0.07765956968069077
",",0.3365725874900818,0.2661169171333313,0.22755950689315796,0.4933079481124878,0.2768156826496124,0.1868639439344406,0.31091248989105225
paleoanthropologist,0.3259265720844269,0.235741525888443,0.33155572414398193,0.17170029878616333,0.4144853353500366,0.18220548331737518,0.18234194815158844
richard,0.27835920453071594,0.218583881855011,0.13700850307941437,0.2087954580783844,0.1361672580242157,0.19458070397377014,0.15003317594528198
leakey,0.24641656875610352,0.18559138476848602,0.3350118100643158,0.21973571181297302,0.4263008236885071,0.24585990607738495,0.13373079895973206
assisted,0.34165269136428833,0.33860817551612854,0.1129981130361557,0.22827282547950745,0.17605550587177277,0.1559053510427475,0.08560974150896072
by,0.39727845788002014,0.24260085821151733,0.18237189948558807,0.4408751428127289,0.16327732801437378,0.21962207555770874,0.17966607213020325
kamoya,0.297068327665329,0.18493030965328217,0.2542645037174225,0.23354172706604004,0.48730188608169556,0.2025499790906906,0.12070517241954803
kimeu,0.3208055794239044,0.23706595599651337,0.3453483581542969,0.18430207669734955,0.44506263732910156,0.2069920003414154,0.24818336963653564
discovered,0.2225436121225357,0.22633714973926544,0.8177363872528076,0.27493247389793396,0.2976233661174774,0.16977263987064362,0.08452875912189484
the,0.3733934462070465,0.3108886480331421,0.28971150517463684,1.0,0.2747046947479248,0.21782036125659943,0.22068053483963013
turkana,0.21433880925178528,0.19320707023143768,0.22548869252204895,0.2747046947479248,1.0,0.2370142638683319,0.12596961855888367
boy,0.34218665957450867,0.1334652155637741,0.23218491673469543,0.21782036125659943,0.2370142638683319,0.9999999403953552,0.1530727595090866
",",0.3365725874900818,0.2661169171333313,0.22755950689315796,0.4933079481124878,0.2768156826496124,0.1868639439344406,0.31091248989105225
a,0.36608949303627014,0.24550430476665497,0.18859046697616577,0.5829201340675354,0.23787623643875122,0.2612770199775696,0.23916715383529663
1.6-million-year-old,0.31207379698753357,0.29737937450408936,0.25815069675445557,0.31193482875823975,0.20850417017936707,0.2913859784603119,0.40614745020866394
fossil,0.113397017121315,0.11621681600809097,0.3138321340084076,0.21818694472312927,0.3882557451725006,0.1735905110836029,0.15712964534759521
belonging,0.29239821434020996,0.182285338640213,0.2188289761543274,0.30778494477272034,0.2431260049343109,0.10655184090137482,0.0745176300406456
to,0.42656609416007996,0.42226478457450867,0.27829253673553467,0.535392165184021,0.2150954008102417,0.1953747272491455,0.29463258385658264
homo,0.2192014455795288,0.12455815076828003,0.2852128744125366,0.1959427446126938,0.4150640368461609,0.2082013338804245,0.15592239797115326
erectus,0.2590451240539551,0.1772163361310959,0.25036710500717163,0.2231927365064621,0.42000454664230347,0.222195565700531,0.21784496307373047
.,0.3541337847709656,0.25779226422309875,0.22028395533561707,0.5934505462646484,0.24297364056110382,0.1813209354877472,0.4130953550338745
