,what,was,the,name,of,the,story,from,the,third,torchwood,series,?
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.26679712533950806,0.322764128446579,0.5829201340675354,0.35260438919067383,0.252493292093277,0.23966510593891144,0.23916715383529663
third,0.2033906877040863,0.3460187017917633,0.4229298532009125,0.19535920023918152,0.30602210760116577,0.4229298532009125,0.1818019300699234,0.19577939808368683,0.4229298532009125,1.0,0.18214181065559387,0.22608651220798492,0.15394791960716248
series,0.17328087985515594,0.2261398285627365,0.31376904249191284,0.1536245048046112,0.22268271446228027,0.31376904249191284,0.33172938227653503,0.20279763638973236,0.31376904249191284,0.22608651220798492,0.49095726013183594,1.0000001192092896,0.1709602326154709
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2646567225456238,0.4069072902202606,0.48711544275283813,0.2837624251842499,0.31171464920043945,0.48711544275283813,0.3460187017917633,0.24895407259464264,0.2261398285627365,0.18412111699581146
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.14766965806484222,0.20155203342437744,0.2713715434074402,0.22920775413513184,0.1824430525302887,0.2713715434074402,0.10768557339906693,0.3043527901172638,0.4289170503616333,0.15760008990764618
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.40150508284568787,0.17972806096076965,1.0,0.40150508284568787,0.19577939808368683,0.20820190012454987,0.20279763638973236,0.19969791173934937
6,0.05088282376527786,0.021614471450448036,0.041227471083402634,0.06741565465927124,0.055943556129932404,0.041227471083402634,0.04951397329568863,0.06266670674085617,0.041227471083402634,-0.04955250024795532,0.08718851208686829,-0.05727657675743103,0.045001473277807236
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.2319863736629486,0.4069952368736267,0.535392165184021,0.2795414924621582,0.32762137055397034,0.19879554212093353,0.29463258385658264
10,0.11840458959341049,0.16597506403923035,0.2880653440952301,0.12717975676059723,0.2777891755104065,0.2880653440952301,0.03781241178512573,0.16251149773597717,0.2880653440952301,0.11170868575572968,0.04993290454149246,0.030539199709892273,0.022911956533789635
july,0.22688010334968567,0.40724116563796997,0.2371699959039688,0.15059614181518555,0.19723743200302124,0.2371699959039688,0.2028685212135315,0.18728196620941162,0.2371699959039688,0.1766790747642517,0.1826242059469223,0.14323323965072632,0.2897891402244568
2009,-0.2519478499889374,-0.17510849237442017,-0.23935742676258087,-0.14741137623786926,-0.2637706398963928,-0.23935742676258087,-0.032820381224155426,-0.19722937047481537,-0.23935742676258087,-0.007432954385876656,-0.09081090986728668,-0.025968510657548904,-0.2287932187318802
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.20667347311973572,0.39760664105415344,0.4933079481124878,0.283071368932724,0.2555104196071625,0.24060699343681335,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.22456516325473785,0.3601827025413513,0.5171257257461548,0.26207348704338074,0.2776868939399719,0.26972857117652893,0.20544172823429108
consisted,0.10791123658418655,0.3243633210659027,0.2888994514942169,0.09713028371334076,0.3690205514431,0.2888994514942169,0.15046320855617523,0.2173052281141281,0.2888994514942169,0.20047961175441742,0.20083391666412354,0.22199581563472748,0.01278369128704071
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2687002420425415,0.4249346852302551,0.733189046382904,0.30602210760116577,0.2499234825372696,0.22268271446228027,0.1826142966747284
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.26679712533950806,0.322764128446579,0.5829201340675354,0.35260438919067383,0.252493292093277,0.23966510593891144,0.23916715383529663
single,0.24458327889442444,0.22785933315753937,0.29338565468788147,0.14425750076770782,0.22455744445323944,0.29338565468788147,0.14224392175674438,0.1793682873249054,0.29338565468788147,0.25557559728622437,0.17529450356960297,0.19347548484802246,0.2151121199131012
five-part,0.2802560329437256,0.26694154739379883,0.4316645562648773,0.2760036587715149,0.3546755909919739,0.4316645562648773,0.22891965508460999,0.304833322763443,0.4316645562648773,0.3244761526584625,0.2990795075893402,0.32060548663139343,0.17600546777248383
story,0.3410749137401581,0.2837624251842499,0.2915393114089966,0.19596503674983978,0.2687002420425415,0.2915393114089966,1.0,0.17972806096076965,0.2915393114089966,0.1818019300699234,0.3316742777824402,0.33172938227653503,0.2304346114397049
