,what,is,the,status,of,most,chloroplast,genes,in,the,mitochondrion,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.28739041090011597,0.5052502155303955,0.3508910834789276,0.237538680434227,0.17779681086540222,0.539380669593811,0.5829201340675354,0.2891676723957062,0.23916715383529663
few,0.2780759632587433,0.22223958373069763,0.34660017490386963,0.17639189958572388,0.2682102620601654,0.42354097962379456,0.18731895089149475,0.12868796288967133,0.3588411808013916,0.34660017490386963,0.2236224114894867,0.2334265559911728
chloroplast,0.23505516350269318,0.20798198878765106,0.21317854523658752,0.11869359016418457,0.2069506198167801,0.23533090949058533,1.0000001192092896,0.5101798176765442,0.19207799434661865,0.21317854523658752,0.6996091604232788,0.12532055377960205
genes,0.2555708885192871,0.1789029836654663,0.20576688647270203,0.11733784526586533,0.20000982284545898,0.17597433924674988,0.5101798176765442,0.9999999403953552,0.1368900090456009,0.20576688647270203,0.5854417681694031,0.19798170030117035
found,0.1796332150697708,0.3526395261287689,0.3452354073524475,0.11858249455690384,0.2982911467552185,0.2697452902793884,0.22485198080539703,0.18699969351291656,0.39141854643821716,0.3452354073524475,0.25833970308303833,0.16790300607681274
new,0.2130378633737564,0.2208656519651413,0.3845241069793701,0.22667604684829712,0.343457967042923,0.23625826835632324,0.11881885677576065,0.14416109025478363,0.3758552670478821,0.3845241069793701,0.1646287888288498,0.14782847464084625
homes,0.1709814965724945,0.1548708975315094,0.22941356897354126,0.18937452137470245,0.2122298777103424,0.21475368738174438,0.2608310878276825,0.20098909735679626,0.2459857165813446,0.22941356897354126,0.2366703748703003,0.12707971036434174
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.20590373873710632,0.5696388483047485,0.41416558623313904,0.19207799434661865,0.1368900090456009,1.0,0.6662389636039734,0.23531587421894073,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.23601171374320984,0.733189046382904,0.47635307908058167,0.21317854523658752,0.20576688647270203,0.6662389636039734,1.0,0.25182175636291504,0.22068053483963013
mitochondrial,0.2592276632785797,0.23226375877857208,0.23669825494289398,0.16843387484550476,0.24460065364837646,0.21396474540233612,0.6524159908294678,0.5823807120323181,0.22855514287948608,0.23669825494289398,0.9557964205741882,0.19248080253601074
genome—most,0.2892034351825714,0.2807103097438812,0.2864420413970947,0.21841177344322205,0.29018938541412354,0.3553684651851654,0.5508811473846436,0.6309671401977539,0.2579065263271332,0.2864420413970947,0.6429948806762695,0.24607793986797333
became,0.1434093862771988,0.34253424406051636,0.36325156688690186,0.19073863327503204,0.3638904094696045,0.3429205119609833,0.0949145257472992,0.15638096630573273,0.31047213077545166,0.36325156688690186,0.09964805096387863,0.11374033987522125
nonfunctional,0.29642796516418457,0.270020991563797,0.2852310538291931,0.27499866485595703,0.3037489652633667,0.2400430291891098,0.3450603187084198,0.32624518871307373,0.262657105922699,0.2852310538291931,0.3535972833633423,0.2372438609600067
pseudogenes,0.26780787110328674,0.20572571456432343,0.22588305175304413,0.18810710310935974,0.25199881196022034,0.21693812310695648,0.5412495136260986,0.6716462969779968,0.15198451280593872,0.22588305175304413,0.5709152817726135,0.1975851207971573
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2404196411371231,0.4946078956127167,0.3636029064655304,0.20078974962234497,0.1833837628364563,0.5201468467712402,0.4933079481124878,0.2537323832511902,0.31091248989105225
