,what,artist,provided,the,woodcuts,for,luther,'s,bible,?
furnished,0.23920512199401855,0.18121793866157532,0.29277387261390686,0.2785380482673645,0.46427565813064575,0.27758359909057617,0.14886142313480377,0.05406561866402626,0.26951003074645996,0.16109678149223328
with,0.2464839518070221,0.21100246906280518,0.26677820086479187,0.4223487675189972,0.21422116458415985,0.39140474796295166,0.14705438911914825,-0.04624466598033905,0.1389898657798767,0.2433311939239502
notes,0.19507816433906555,0.1588117629289627,0.27057522535324097,0.20623527467250824,0.24445794522762299,0.2160114049911499,0.19572050869464874,0.03824416920542717,0.2734817564487457,0.23920853435993195
and,0.31309178471565247,0.20686885714530945,0.35591721534729004,0.5171257257461548,0.2388738989830017,0.5064792633056641,0.20796556770801544,0.06895173341035843,0.1976928561925888,0.20544172823429108
prefaces,0.2110203504562378,0.25024476647377014,0.24401071667671204,0.24340888857841492,0.43637534976005554,0.24853311479091644,0.19038328528404236,-0.04704274609684944,0.35655340552330017,0.26882222294807434
by,0.2455483376979828,0.24115848541259766,0.2935292720794678,0.4408751428127289,0.3020477592945099,0.3248702883720398,0.15382802486419678,-0.010884488001465797,0.19745492935180664,0.17966607213020325
luther,0.2134782373905182,0.128509983420372,0.11748263239860535,0.1759674996137619,0.15732508897781372,0.12958186864852905,1.0,-0.009990512393414974,0.3825412392616272,0.1732746809720993
",",0.3087472915649414,0.2583858072757721,0.27036961913108826,0.4933079481124878,0.24252036213874817,0.4464869201183319,0.23255878686904907,-0.0016132977325469255,0.18640878796577454,0.31091248989105225
and,0.31309178471565247,0.20686885714530945,0.35591721534729004,0.5171257257461548,0.2388738989830017,0.5064792633056641,0.20796556770801544,0.06895173341035843,0.1976928561925888,0.20544172823429108
with,0.2464839518070221,0.21100246906280518,0.26677820086479187,0.4223487675189972,0.21422116458415985,0.39140474796295166,0.14705438911914825,-0.04624466598033905,0.1389898657798767,0.2433311939239502
woodcuts,0.19772879779338837,0.3890078365802765,0.20423124730587006,0.2534756362438202,1.0000001192092896,0.21863193809986115,0.15732508897781372,0.04095853865146637,0.29862749576568604,0.1312113255262375
by,0.2455483376979828,0.24115848541259766,0.2935292720794678,0.4408751428127289,0.3020477592945099,0.3248702883720398,0.15382802486419678,-0.010884488001465797,0.19745492935180664,0.17966607213020325
lucas,0.0458514429628849,0.2440362572669983,0.08663354814052582,0.22933711111545563,0.2603921890258789,0.14523707330226898,0.2675076723098755,0.08627693355083466,0.1742481142282486,0.10544870048761368
cranach,0.14326804876327515,0.29445624351501465,0.14019949734210968,0.24646776914596558,0.5344480276107788,0.17548561096191406,0.3252730071544647,0.11307277530431747,0.3160038888454437,0.18026715517044067
