,what,do,the,owners,of,more,capital,end,up,having,?
as,0.31749409437179565,0.38329678773880005,0.48381632566452026,0.16912123560905457,0.3886612355709076,0.42839905619621277,0.19028405845165253,0.23417671024799347,0.22736889123916626,0.36958321928977966,0.27043893933296204
a,0.3320399522781372,0.26237669587135315,0.5829201340675354,0.2256283015012741,0.5052502155303955,0.3452818691730499,0.16007359325885773,0.28924596309661865,0.32523053884506226,0.3929923176765442,0.23916715383529663
country,0.22705033421516418,0.20290088653564453,0.30432501435279846,0.1744883954524994,0.28866857290267944,0.16735000908374786,0.35798877477645874,0.1749248057603836,0.18844415247440338,0.22370775043964386,0.12647280097007751
develops,0.18238042294979095,0.22269825637340546,0.2922736406326294,0.1247517392039299,0.24325720965862274,0.2428659200668335,0.0941072627902031,0.19132177531719208,0.21524059772491455,0.29420381784439087,0.10828211903572083
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.17131532728672028,0.4946078956127167,0.3696524500846863,0.28033894300460815,0.25448864698410034,0.34193792939186096,0.3154076039791107,0.31091248989105225
it,0.45803478360176086,0.337066113948822,0.6251175999641418,0.19512957334518433,0.38761502504348755,0.42550966143608093,0.27145886421203613,0.277616024017334,0.36426842212677,0.2960234582424164,0.25732165575027466
acquires,0.18138141930103302,0.09711691737174988,0.23884797096252441,0.327899694442749,0.24923557043075562,0.14723430573940277,0.11625637859106064,0.06843163818120956,0.0951196625828743,0.2631877362728119,0.12082119286060333
more,0.3484537899494171,0.3514035940170288,0.39758381247520447,0.2108221799135208,0.30478984117507935,1.0,0.137709379196167,0.23106764256954193,0.2851726710796356,0.38524073362350464,0.27894994616508484
capital,0.17967931926250458,0.11351176351308823,0.3049491047859192,0.14279308915138245,0.30823585391044617,0.137709379196167,0.9999999403953552,0.13041497766971588,0.07358088344335556,0.09238404035568237,0.0907452180981636
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.17131532728672028,0.4946078956127167,0.3696524500846863,0.28033894300460815,0.25448864698410034,0.34193792939186096,0.3154076039791107,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.6521818041801453,0.2430601865053177,0.5011631846427917,0.4639437198638916,0.20400890707969666,0.31110426783561707,0.36388060450553894,0.4051061272621155,0.25814583897590637
leads,0.17333360016345978,0.21559923887252808,0.3400644361972809,0.12251295149326324,0.3671194314956665,0.21788163483142853,0.081808902323246,0.28771668672561646,0.21230435371398926,0.25757691264152527,0.11554955691099167
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.3001708984375,0.41548454761505127,0.47084665298461914,0.1844596415758133,0.3229445815086365,0.40375280380249023,0.3992697596549988,0.29463258385658264
the,0.42745697498321533,0.30239659547805786,1.0,0.23230907320976257,0.733189046382904,0.39758381247520447,0.3049491047859192,0.39658910036087036,0.38423117995262146,0.3821379244327545,0.22068053483963013
owners,0.20311963558197021,0.22486472129821777,0.23230907320976257,0.9999999403953552,0.18325543403625488,0.2108221799135208,0.14279308915138245,0.16353443264961243,0.2595643997192383,0.23719422519207,0.15586642920970917
of,0.33290785551071167,0.26150479912757874,0.733189046382904,0.18325543403625488,1.0,0.30478984117507935,0.30823585391044617,0.2215006798505783,0.32945773005485535,0.38889452815055847,0.1826142966747284
this,0.5489566326141357,0.34963881969451904,0.6274310946464539,0.22700674831867218,0.45148900151252747,0.5430014133453369,0.16647860407829285,0.33479824662208557,0.37110671401023865,0.4056638777256012,0.3155723512172699
capital,0.17967931926250458,0.11351176351308823,0.3049491047859192,0.14279308915138245,0.30823585391044617,0.137709379196167,0.9999999403953552,0.13041497766971588,0.07358088344335556,0.09238404035568237,0.0907452180981636
having,0.34064167737960815,0.3518594801425934,0.3821379244327545,0.23719422519207,0.38889452815055847,0.38524073362350464,0.09238404035568237,0.2326798141002655,0.3133435845375061,1.0,0.22418256103992462
more,0.3484537899494171,0.3514035940170288,0.39758381247520447,0.2108221799135208,0.30478984117507935,1.0,0.137709379196167,0.23106764256954193,0.2851726710796356,0.38524073362350464,0.27894994616508484
wealth,0.2415573000907898,0.07294061034917831,0.24999672174453735,0.2635119557380676,0.27235376834869385,0.24429993331432343,0.2671343684196472,0.17708180844783783,0.132918119430542,0.2845037579536438,0.1624586433172226
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.22761087119579315,0.5116966962814331,0.39880692958831787,0.218168243765831,0.24708716571331024,0.4032393991947174,0.36825746297836304,0.20544172823429108
income,0.21837803721427917,0.1701079159975052,0.23699946701526642,0.2440623790025711,0.2581324577331543,0.2241504192352295,0.2837882339954376,0.08266497403383255,0.20870710909366608,0.17563875019550323,0.14935168623924255
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.22761087119579315,0.5116966962814331,0.39880692958831787,0.218168243765831,0.24708716571331024,0.4032393991947174,0.36825746297836304,0.20544172823429108
introducing,0.22814175486564636,0.19562233984470367,0.2765180766582489,0.1384490728378296,0.23519274592399597,0.28467047214508057,0.04712993651628494,0.14725415408611298,0.20408760011196136,0.34298717975616455,0.20713724195957184
inequality,0.30072227120399475,0.2117324322462082,0.23508106172084808,0.20019932091236115,0.27910974621772766,0.2623436152935028,0.24214337766170502,0.20224228501319885,0.1477230042219162,0.23457962274551392,0.23619021475315094
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.1972280740737915,0.5352458953857422,0.4070230722427368,0.23657599091529846,0.26526886224746704,0.351434588432312,0.3542446792125702,0.4130953550338745
