,what,are,the,agents,detected,by,the,immune,system,called,?
to,0.455847829580307,0.3504326641559601,0.535392165184021,0.26926299929618835,0.25308090448379517,0.33534231781959534,0.535392165184021,0.2541976273059845,0.26662686467170715,0.2987143397331238,0.29463258385658264
function,0.22155974805355072,0.22522267699241638,0.2037137746810913,0.18432430922985077,0.261861652135849,0.09740752726793289,0.2037137746810913,0.33145061135292053,0.30217769742012024,0.20161595940589905,0.20672395825386047
properly,0.37598976492881775,0.33496958017349243,0.28738877177238464,0.16063275933265686,0.2934187948703766,0.30480116605758667,0.28738877177238464,0.2336363047361374,0.2825813889503479,0.18577829003334045,0.3050191104412079
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24454401433467865,0.2027575522661209,0.3680937886238098,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.26549121737480164,0.31091248989105225
an,0.2821882665157318,0.1556541919708252,0.4207492768764496,0.1482069194316864,0.1993335783481598,0.2719563841819763,0.4207492768764496,0.20370379090309143,0.17536801099777222,0.2858632802963257,0.19793890416622162
immune,0.2410416603088379,0.23878547549247742,0.21364226937294006,0.29071706533432007,0.3157164752483368,0.17260463535785675,0.21364226937294006,1.0,0.3962631821632385,0.2022581249475479,0.16080476343631744
system,0.23557309806346893,0.21917270123958588,0.3233085572719574,0.18596021831035614,0.2912335693836212,0.23017624020576477,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.23914183676242828,0.15556083619594574
must,0.30362528562545776,0.3923934996128082,0.2713140547275543,0.23634709417819977,0.18666885793209076,0.2841154634952545,0.2713140547275543,0.2441614270210266,0.23213762044906616,0.19891224801540375,0.23707495629787445
detect,0.2313081920146942,0.32542672753334045,0.242866650223732,0.2920929491519928,0.8057518005371094,0.23050419986248016,0.242866650223732,0.35782623291015625,0.30013588070869446,0.228541299700737,0.20705679059028625
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.1912626028060913,0.24190019071102142,0.32094135880470276,0.5829201340675354,0.20466765761375427,0.2589043080806732,0.4868806302547455,0.23916715383529663
wide,0.22181174159049988,0.2392052859067917,0.28078147768974304,0.12694431841373444,0.1654343158006668,0.17939458787441254,0.28078147768974304,0.09945198148488998,0.1658249795436859,0.17547595500946045,0.12719376385211945
variety,0.20492127537727356,0.36509984731674194,0.22543764114379883,0.19055885076522827,0.16842453181743622,0.17827251553535461,0.22543764114379883,0.2318156510591507,0.14920534193515778,0.19895179569721222,0.13376861810684204
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.15931576490402222,0.2278669774532318,0.3646814823150635,0.733189046382904,0.16620753705501556,0.25597915053367615,0.4222904443740845,0.1826142966747284
agents,0.15588855743408203,0.3356715440750122,0.1752651333808899,1.0,0.29122689366340637,0.35109665989875793,0.1752651333808899,0.29071706533432007,0.18596021831035614,0.18045736849308014,0.1518401801586151
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.24454401433467865,0.2027575522661209,0.3680937886238098,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.26549121737480164,0.31091248989105225
known,0.20381177961826324,0.26720109581947327,0.3624623417854309,0.22525687515735626,0.20098163187503815,0.24461808800697327,0.3624623417854309,0.14558014273643494,0.15005269646644592,0.4469456970691681,0.18314571678638458
as,0.31749409437179565,0.3826591968536377,0.48381632566452026,0.2686043381690979,0.23385700583457947,0.3815547823905945,0.48381632566452026,0.17487213015556335,0.1973835676908493,0.2827680706977844,0.27043893933296204
