,who,can,question,statements,the,first,minister,or,members,of,the,cabinet,make,?
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
first,0.39065709710121155,0.24635975062847137,0.25265398621559143,0.220655158162117,0.49448907375335693,1.0,0.20848903059959412,0.23187343776226044,0.1530320644378662,0.3536086082458496,0.49448907375335693,0.22581371665000916,0.24807552993297577,0.18701928853988647
minister,0.18775032460689545,0.09680568426847458,0.1578506976366043,0.17640520632266998,0.19297581911087036,0.20848903059959412,0.9999998807907104,0.15449458360671997,0.23313948512077332,0.23343199491500854,0.19297581911087036,0.5746684074401855,0.10476630181074142,0.10825661569833755
or,0.31144875288009644,0.5614996552467346,0.2952239215373993,0.27577176690101624,0.4174870550632477,0.23187343776226044,0.15449458360671997,1.0000001192092896,0.2080104947090149,0.3792596757411957,0.4174870550632477,0.19813703000545502,0.41506800055503845,0.32389625906944275
members,0.3290669620037079,0.14267030358314514,0.15677165985107422,0.19844913482666016,0.3321719169616699,0.1530320644378662,0.23313948512077332,0.2080104947090149,0.9999998807907104,0.28120753169059753,0.3321719169616699,0.33047765493392944,0.1829683482646942,0.10212311148643494
of,0.2827862501144409,0.2603091299533844,0.2222393900156021,0.19305990636348724,0.733189046382904,0.3536086082458496,0.23343199491500854,0.3792596757411957,0.28120753169059753,1.0,0.733189046382904,0.27811557054519653,0.2912110388278961,0.1826142966747284
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
cabinet,0.22148902714252472,0.14627705514431,0.262702077627182,0.18927204608917236,0.24264733493328094,0.22581371665000916,0.5746684074401855,0.19813703000545502,0.33047765493392944,0.27811557054519653,0.24264733493328094,1.0,0.16838660836219788,0.16409438848495483
can,0.2602734863758087,1.0,0.3161180913448334,0.29823175072669983,0.312528520822525,0.24635975062847137,0.09680568426847458,0.5614996552467346,0.14267030358314514,0.2603091299533844,0.312528520822525,0.14627705514431,0.4845520555973053,0.3226337134838104
deliver,0.23193542659282684,0.22684919834136963,0.21089299023151398,0.23884131014347076,0.25501659512519836,0.2444530427455902,0.1505514532327652,0.2580641210079193,0.1439633071422577,0.18715758621692657,0.25501659512519836,0.17148460447788239,0.3250383138656616,0.2061522901058197
statements,0.20177923142910004,0.29823175072669983,0.48166629672050476,1.0,0.20045673847198486,0.220655158162117,0.17640520632266998,0.27577176690101624,0.19844913482666016,0.19305990636348724,0.20045673847198486,0.18927204608917236,0.2596651613712311,0.28064221143722534
to,0.42656609416007996,0.4979398250579834,0.33945542573928833,0.2911079525947571,0.535392165184021,0.3792489171028137,0.17637476325035095,0.38921234011650085,0.26617446541786194,0.41548454761505127,0.535392165184021,0.21436810493469238,0.497876912355423,0.29463258385658264
parliament,0.237068772315979,0.1599172055721283,0.22886262834072113,0.17912766337394714,0.26521381735801697,0.19317375123500824,0.46939271688461304,0.209258034825325,0.3503897786140442,0.2885259687900543,0.26521381735801697,0.5042983889579773,0.16739606857299805,0.1586504578590393
upon,0.19846883416175842,0.2501034736633301,0.16160809993743896,0.2143961787223816,0.28184252977371216,0.2280571311712265,0.10004628449678421,0.24800778925418854,0.19812370836734772,0.3224298357963562,0.28184252977371216,0.11289199441671371,0.12644438445568085,0.13780277967453003
which,0.3688730001449585,0.41132649779319763,0.3204053044319153,0.3373260200023651,0.6521818041801453,0.3828166127204895,0.14017538726329803,0.5105096101760864,0.295350044965744,0.5011631846427917,0.6521818041801453,0.12211818248033524,0.4280063211917877,0.25814583897590637
msps,0.2761230170726776,0.29166239500045776,0.23325802385807037,0.2792404890060425,0.3199247419834137,0.223291277885437,0.32801443338394165,0.3220682442188263,0.48753979802131653,0.32335641980171204,0.3199247419834137,0.37099263072013855,0.21481828391551971,0.14526908099651337
are,0.27294138073921204,0.5408529043197632,0.2366771250963211,0.291352242231369,0.40399202704429626,0.20306691527366638,0.11621653288602829,0.5374364256858826,0.31528955698013306,0.39081433415412903,0.40399202704429626,0.13894490897655487,0.4522273540496826,0.24591213464736938
invited,0.3740473985671997,0.08852257579565048,0.27739304304122925,0.18300800025463104,0.2247852087020874,0.2601419687271118,0.18120646476745605,0.12707416713237762,0.3194229304790497,0.18827776610851288,0.2247852087020874,0.20088933408260345,0.22600847482681274,0.15199494361877441
to,0.42656609416007996,0.4979398250579834,0.33945542573928833,0.2911079525947571,0.535392165184021,0.3792489171028137,0.17637476325035095,0.38921234011650085,0.26617446541786194,0.41548454761505127,0.535392165184021,0.21436810493469238,0.497876912355423,0.29463258385658264
question,0.3076270818710327,0.3161180913448334,1.0,0.48166629672050476,0.28031662106513977,0.25265398621559143,0.1578506976366043,0.2952239215373993,0.15677165985107422,0.2222393900156021,0.28031662106513977,0.262702077627182,0.27513644099235535,0.48000848293304443
.,0.3541337847709656,0.35783761739730835,0.2639329135417938,0.21154142916202545,0.5934505462646484,0.4345304071903229,0.16012521088123322,0.36683785915374756,0.21119362115859985,0.5352458953857422,0.5934505462646484,0.24969246983528137,0.3547073304653168,0.4130953550338745
,who,can,question,statements,the,first,minister,or,members,of,the,cabinet,make,?
after,0.32549580931663513,0.21645446121692657,0.19035755097866058,0.15410898625850677,0.4565047025680542,0.42302387952804565,0.21305006742477417,0.2693394720554352,0.2411569207906723,0.3867455720901489,0.4565047025680542,0.19706903398036957,0.24345865845680237,0.16608688235282898
the,0.3733934462070465,0.312528520822525,0.28031662106513977,0.20045673847198486,1.0,0.49448907375335693,0.19297581911087036,0.4174870550632477,0.3321719169616699,0.733189046382904,1.0,0.24264733493328094,0.3146495521068573,0.22068053483963013
statement,0.1789797991514206,0.24573096632957458,0.5307198762893677,0.8866040706634521,0.20954233407974243,0.24768909811973572,0.15787053108215332,0.2780212163925171,0.14652974903583527,0.1980573982000351,0.20954233407974243,0.16182975471019745,0.22757869958877563,0.28978636860847473
has,0.2558172643184662,0.4103628396987915,0.23505258560180664,0.19045600295066833,0.4177538752555847,0.28288596868515015,0.1543704718351364,0.316264808177948,0.19174115359783173,0.3909035325050354,0.4177538752555847,0.11169014126062393,0.29162469506263733,0.15994466841220856
