,how,many,horsepower,was,watt,'s,engine,?
watt,0.16926205158233643,0.13481085002422333,0.44405481219291687,0.20568017661571503,1.0,-0.022533712908625603,0.31998884677886963,0.16354146599769592
's,-0.026164190843701363,0.01698932610452175,0.049543026834726334,0.008974763564765453,-0.022533712908625603,0.9999999403953552,0.044662050902843475,-0.023395681753754616
ten-horsepower,0.28702518343925476,0.23796819150447845,0.9692323207855225,0.2616148293018341,0.4683673083782196,0.053679320961236954,0.5835027694702148,0.23502758145332336
engines,0.1776673048734665,0.23802568018436432,0.5893862843513489,0.18948708474636078,0.30462056398391724,0.070243701338768,0.8767010569572449,0.18940703570842743
enabled,0.2830977141857147,0.214308500289917,0.27206605672836304,0.21011066436767578,0.11489606648683548,0.03810681402683258,0.27688294649124146,0.25340956449508667
a,0.29312583804130554,0.2872205972671509,0.2778087854385376,0.4508470594882965,0.21096299588680267,0.04866964742541313,0.24768835306167603,0.23916715383529663
wide,0.2094327211380005,0.32105809450149536,0.26946473121643066,0.15524455904960632,0.12147797644138336,0.005688682664185762,0.2089991569519043,0.12719376385211945
range,0.15032252669334412,0.3094656765460968,0.2749132513999939,0.1336074322462082,0.0616915337741375,-0.008888337761163712,0.18382811546325684,0.1204894632101059
of,0.2480744868516922,0.37253960967063904,0.19857420027256012,0.4069072902202606,0.21599632501602173,-0.03817026689648628,0.17095594108104706,0.1826142966747284
manufacturing,0.17770209908485413,0.2662954032421112,0.41972342133522034,0.22300750017166138,0.3175303041934967,-0.030407974496483803,0.3528224229812622,0.11596895009279251
machinery,0.2805647552013397,0.33771249651908875,0.47581660747528076,0.2056419402360916,0.2532120943069458,0.011163666844367981,0.39065733551979065,0.13786892592906952
to,0.44169697165489197,0.40243685245513916,0.22667735815048218,0.3636345863342285,0.18281418085098267,0.03782717138528824,0.20794793963432312,0.29463258385658264
be,0.4158933162689209,0.3961109519004822,0.26252204179763794,0.42228707671165466,0.16578221321105957,0.025217169895768166,0.19078890979290009,0.3324260413646698
powered,0.2231164425611496,0.2096138447523117,0.607735812664032,0.2140408158302307,0.37823039293289185,-0.01444245781749487,0.5170822739601135,0.16842906177043915
.,0.3287222981452942,0.3974229395389557,0.26840877532958984,0.40146201848983765,0.25756895542144775,-0.003708066651597619,0.21814921498298645,0.4130953550338745
