,what,apollo,mission,was,this,lor,method,used,and,needed,?
ironically,0.3360108733177185,0.1280192881822586,0.0837792456150055,0.27374088764190674,0.366300106048584,0.1240786612033844,0.1334923654794693,0.2860599458217621,0.26277491450309753,0.2535526752471924,0.20446088910102844
",",0.3087472915649414,0.19808128476142883,0.21226151287555695,0.45456063747406006,0.4316047728061676,0.23221434652805328,0.22978182137012482,0.3120402991771698,0.6633074283599854,0.29017356038093567,0.31091248989105225
just,0.5854880809783936,0.17319904267787933,0.17422038316726685,0.29934245347976685,0.5023320913314819,0.17296041548252106,0.20811475813388824,0.28185296058654785,0.3842737674713135,0.41701406240463257,0.4144178032875061
such,0.23989605903625488,0.1435854732990265,0.10748116672039032,0.12487147748470306,0.4230159521102905,0.09240326285362244,0.2532500624656677,0.4262988865375519,0.44540345668792725,0.3388327658176422,0.17851735651493073
a,0.3320399522781372,0.19996169209480286,0.2477724254131317,0.4508470594882965,0.5422310829162598,0.225738063454628,0.2613512873649597,0.3864384889602661,0.3739250600337982,0.2915569543838501,0.23916715383529663
failure,0.19130942225456238,0.20596705377101898,0.18686321377754211,0.29373642802238464,0.2033400535583496,0.1176435798406601,0.11349231749773026,0.13600972294807434,0.20724323391914368,0.19648870825767517,0.12142058461904526
happened,0.47802624106407166,0.1382158100605011,0.16824756562709808,0.36671528220176697,0.3963470757007599,0.08039688318967819,0.14917391538619995,0.22930894792079926,0.22602374851703644,0.22455766797065735,0.3097429871559143
on,0.34226128458976746,0.16069947183132172,0.21317659318447113,0.3909217119216919,0.4193967580795288,0.17637763917446136,0.17949727177619934,0.24785758554935455,0.4077630043029785,0.24698017537593842,0.2714994251728058
apollo,0.13561789691448212,0.9999999403953552,0.4094500243663788,0.2306441366672516,0.1840856671333313,0.1277577131986618,0.1720852255821228,0.1717020720243454,0.15251155197620392,0.1978490650653839,0.191528782248497
13,-0.0796622633934021,0.07126487791538239,0.1373993456363678,0.020193999633193016,0.03298703953623772,0.027835752815008163,-0.018831336870789528,-0.09240610152482986,0.05119633674621582,-0.10571140050888062,-0.11384815722703934
when,0.4700249433517456,0.20691178739070892,0.16602827608585358,0.37326499819755554,0.4959332048892975,0.14141833782196045,0.23057077825069427,0.3272556662559509,0.4716290831565857,0.3670521080493927,0.22841128706932068
an,0.2821882665157318,0.1602039784193039,0.1624951809644699,0.3694365322589874,0.41881775856018066,0.17628353834152222,0.22589744627475739,0.25728896260261536,0.2838519215583801,0.27356213331222534,0.19793890416622162
oxygen,0.16781960427761078,0.21209172904491425,0.12214278429746628,0.16070082783699036,0.31131085753440857,0.06586747616529465,0.2175072282552719,0.21276918053627014,0.22261030972003937,0.3129199147224426,0.16786395013332367
tank,0.125138059258461,0.188320130109787,0.2801695764064789,0.19856096804141998,0.2225206196308136,0.0424821674823761,0.148254856467247,0.2018992006778717,0.253970205783844,0.17310205101966858,0.09334904700517654
explosion,0.1955919712781906,0.21421481668949127,0.2879573702812195,0.23117026686668396,0.2644013464450836,0.029576607048511505,0.14355450868606567,0.1836664080619812,0.1627763956785202,0.13576748967170715,0.14159642159938812
left,0.2442072629928589,0.13033144176006317,0.1522214710712433,0.21956826746463776,0.23000937700271606,0.12153574079275131,0.05106998234987259,0.14505635201931,0.2571277916431427,0.2592819333076477,0.13251960277557373
the,0.42745697498321533,0.2169172167778015,0.22673439979553223,0.48711544275283813,0.6274310946464539,0.19965508580207825,0.21624743938446045,0.3718377649784088,0.5171257257461548,0.3064746856689453,0.22068053483963013
command,0.22732043266296387,0.2812953591346741,0.3409545123577118,0.22477014362812042,0.24075260758399963,0.229699969291687,0.0711221769452095,0.13688606023788452,0.2525673806667328,0.1984165459871292,0.13402260839939117
ship,0.15709257125854492,0.24474874138832092,0.268887460231781,0.20396772027015686,0.19572530686855316,0.034326232969760895,0.09590935707092285,0.19548210501670837,0.22449490427970886,0.1654757857322693,0.14488010108470917
without,0.3181614279747009,0.17108973860740662,0.10751890391111374,0.18635936081409454,0.35550612211227417,0.08123020827770233,0.2928197383880615,0.282850980758667,0.35511502623558044,0.4072335362434387,0.2928665280342102
electrical,0.19961315393447876,0.14523950219154358,0.12660518288612366,0.2032313495874405,0.2809205949306488,0.11067325621843338,0.26551881432533264,0.2747363746166229,0.24563585221767426,0.2858058512210846,0.10923371464014053
power,0.22216427326202393,0.1079995334148407,0.12699072062969208,0.1794997751712799,0.24943022429943085,0.0706244632601738,0.13806195557117462,0.21249571442604065,0.27496716380119324,0.22242172062397003,0.15304024517536163
.,0.3567904531955719,0.22384987771511078,0.2227463275194168,0.40146201848983765,0.500583827495575,0.23552289605140686,0.18224337697029114,0.33111312985420227,0.588965117931366,0.31272366642951965,0.4130953550338745
