,in,a,platoon,style,teaching,",",what,gives,the,children,security,?
students,0.2676171064376831,0.2676560878753662,0.21276399493217468,0.20403580367565155,0.5526385307312012,0.26501646637916565,0.2380729615688324,0.16951975226402283,0.25268980860710144,0.351570725440979,0.1944432556629181,0.18017297983169556
still,0.3424699008464813,0.3478926122188568,0.14965404570102692,0.24249640107154846,0.25488850474357605,0.35217106342315674,0.4548931419849396,0.18235398828983307,0.40142056345939636,0.1880999356508255,0.2059124857187271,0.3039587736129761
derive,0.17943882942199707,0.2341507077217102,0.09003544598817825,0.17992611229419708,0.16033194959163666,0.17900356650352478,0.24581676721572876,0.2883012294769287,0.28650766611099243,-0.015884071588516235,0.05220332741737366,0.138357475399971
a,0.539380669593811,1.0,0.2055046409368515,0.23984776437282562,0.21643459796905518,0.427140474319458,0.3320399522781372,0.3123532235622406,0.5829201340675354,0.12013130635023117,0.19867505133152008,0.23916715383529663
strong,0.21198557317256927,0.3321513831615448,0.1712339222431183,0.1480148881673813,0.15965959429740906,0.3008308410644531,0.19839218258857727,0.1755107045173645,0.22482411563396454,0.13270412385463715,0.12835749983787537,0.11990999430418015
sense,0.19032785296440125,0.27587276697158813,0.17263765633106232,0.17702649533748627,0.19040581583976746,0.27551719546318054,0.3673125207424164,0.2549697458744049,0.23180550336837769,0.15591706335544586,0.1719079464673996,0.25268280506134033
of,0.5696388483047485,0.5052502155303955,0.18691344559192657,0.23203764855861664,0.2911611497402191,0.4946078956127167,0.33290785551071167,0.36641067266464233,0.733189046382904,0.1978350728750229,0.26905277371406555,0.1826142966747284
security,0.18173593282699585,0.19867505133152008,0.2535143196582794,0.12615083158016205,0.18377810716629028,0.21305516362190247,0.18331359326839447,0.1872691959142685,0.2683938145637512,0.08884967863559723,1.0000001192092896,0.13810279965400696
by,0.370934396982193,0.32094135880470276,0.21084384620189667,0.20164106786251068,0.16832254827022552,0.3680937886238098,0.2455483376979828,0.18773327767848969,0.4408751428127289,0.20646940171718597,0.17032115161418915,0.17966607213020325
staying,0.30570822954177856,0.2583463788032532,0.22815997898578644,0.10554999858140945,0.286289781332016,0.29362764954566956,0.3306172490119934,0.15982398390769958,0.3198312520980835,0.23779000341892242,0.1871926188468933,0.20980606973171234
with,0.4080928862094879,0.3783375024795532,0.2177693098783493,0.19696997106075287,0.17801906168460846,0.4120737314224243,0.2464839518070221,0.33403581380844116,0.4223487675189972,0.1656617969274521,0.199873149394989,0.2433311939239502
the,0.6662389636039734,0.5829201340675354,0.24481749534606934,0.2331719547510147,0.2182690054178238,0.4933079481124878,0.42745697498321533,0.3072636127471924,1.0,0.15654058754444122,0.2683938145637512,0.22068053483963013
same,0.3692481815814972,0.4048157036304474,0.10437549650669098,0.16945809125900269,0.17751914262771606,0.3207721710205078,0.3764382302761078,0.2591767907142639,0.4583131968975067,0.15339162945747375,0.14305530488491058,0.22649677097797394
group,0.2304753065109253,0.2594761848449707,0.2656291425228119,0.15588746964931488,0.1482943445444107,0.2809832692146301,0.2114069163799286,0.18340767920017242,0.30795547366142273,0.1309969425201416,0.15934032201766968,0.13827809691429138
of,0.5696388483047485,0.5052502155303955,0.18691344559192657,0.23203764855861664,0.2911611497402191,0.4946078956127167,0.33290785551071167,0.36641067266464233,0.733189046382904,0.1978350728750229,0.26905277371406555,0.1826142966747284
peers,0.16323797404766083,0.16315710544586182,0.21647870540618896,0.1273583173751831,0.2753377854824066,0.17970019578933716,0.24831759929656982,0.16607165336608887,0.26013073325157166,0.2857227623462677,0.22574500739574432,0.1813327670097351
for,0.4322226941585541,0.44038116931915283,0.1730710119009018,0.24460577964782715,0.31977686285972595,0.4464869201183319,0.3017193675041199,0.3249906599521637,0.4739971458911896,0.19934585690498352,0.2820751667022705,0.264628142118454
all,0.3335905969142914,0.2696802616119385,0.18162906169891357,0.2339547723531723,0.2787666916847229,0.425624817609787,0.41981086134910583,0.24685394763946533,0.4860881567001343,0.16303220391273499,0.19793054461479187,0.29575422406196594
classes,0.20728561282157898,0.25567445158958435,0.20235633850097656,0.2422240525484085,0.3602603077888489,0.26848307251930237,0.20746955275535583,0.13635246455669403,0.21469499170780182,0.2111714631319046,0.12279153615236282,0.14397528767585754
.,0.5591574311256409,0.50484299659729,0.21867839992046356,0.30291756987571716,0.26479530334472656,0.6812511086463928,0.3567904531955719,0.2730366885662079,0.5934505462646484,0.26089367270469666,0.2259770631790161,0.4130953550338745
