,what,was,the,focus,of,season,20,of,doctor,who,?
occasionally,0.24931581318378448,0.1983512043952942,0.2797514796257019,0.14529311656951904,0.1766550987958908,0.2557269334793091,-0.03549812361598015,0.1766550987958908,0.13155129551887512,0.3339993357658386,0.13541953265666962
serials,0.18016576766967773,0.2294309437274933,0.23020225763320923,0.10052493214607239,0.17553187906742096,0.2467183917760849,0.06469527631998062,0.17553187906742096,0.2940441071987152,0.22176605463027954,0.14029279351234436
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.2094455510377884,0.34038281440734863,0.20231115818023682,0.01462146732956171,0.34038281440734863,0.11412792652845383,0.3188014328479767,0.17890112102031708
loosely,0.2501777112483978,0.19386371970176697,0.2676507532596588,0.2847388684749603,0.16577690839767456,0.1808914691209793,-0.03718704357743263,0.16577690839767456,0.11776209622621536,0.15037435293197632,0.10644032806158066
connected,0.21880124509334564,0.17375674843788147,0.31369513273239136,0.20020611584186554,0.2951911687850952,0.0701107457280159,0.06939560174942017,0.2951911687850952,0.16814197599887848,0.16466940939426422,0.11086785048246384
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.16751927137374878,0.3646814823150635,0.10566911846399307,-0.023094383999705315,0.3646814823150635,0.13681447505950928,0.39727845788002014,0.17966607213020325
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.2499895542860031,0.5052502155303955,0.1855505406856537,-0.014937898144125938,0.5052502155303955,0.22883038222789764,0.36608949303627014,0.23916715383529663
storyline,0.24177175760269165,0.2026793360710144,0.24359028041362762,0.2757052779197693,0.1990533322095871,0.30953943729400635,-0.04935436323285103,0.1990533322095871,0.17171546816825867,0.20605318248271942,0.13838547468185425
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23845507204532623,0.4946078956127167,0.2232367992401123,0.02128993533551693,0.4946078956127167,0.20407600700855255,0.3365725874900818,0.31091248989105225
such,0.23989605903625488,0.12487147748470306,0.3575236201286316,0.2881679832935333,0.3209529519081116,0.10644631087779999,0.044805265963077545,0.3209529519081116,0.1368570774793625,0.2594927251338959,0.17851735651493073
