,what,purpose,would,luther,have,in,not,wanting,to,ban,the,qur'an,?
he,0.3114890456199646,0.17171922326087952,0.27278512716293335,0.2454872578382492,0.3020331561565399,0.41690486669540405,0.29440581798553467,0.33317193388938904,0.385390967130661,0.21455511450767517,0.4571082592010498,0.20480568706989288,0.2089974731206894
opposed,0.35573211312294006,0.2808758020401001,0.3832801580429077,0.1539851725101471,0.32263192534446716,0.21999825537204742,0.3817540109157562,0.37513288855552673,0.2678636610507965,0.40123748779296875,0.24302934110164642,0.30629977583885193,0.23428945243358612
banning,0.356286883354187,0.2928835153579712,0.35148191452026367,0.23522810637950897,0.31401732563972473,0.2244691103696823,0.3733544945716858,0.4176881015300751,0.27799931168556213,0.6233907341957092,0.29577088356018066,0.2684424817562103,0.31657904386520386
the,0.42745697498321533,0.3061215281486511,0.4133751392364502,0.1759674996137619,0.40389683842658997,0.6662389636039734,0.4310511648654938,0.3089021146297455,0.535392165184021,0.1830999106168747,1.0,0.24992629885673523,0.22068053483963013
publication,0.2533935606479645,0.22099879384040833,0.16891178488731384,0.15357229113578796,0.16850325465202332,0.2110367715358734,0.2612031400203705,0.17397499084472656,0.1878795325756073,0.1362670660018921,0.24080322682857513,0.26282691955566406,0.2191428393125534
of,0.33290785551071167,0.23855330049991608,0.3353942930698395,0.1719115972518921,0.3802283704280853,0.5696388483047485,0.3307090103626251,0.25761446356773376,0.41548454761505127,0.15118597447872162,0.733189046382904,0.19401024281978607,0.1826142966747284
the,0.42745697498321533,0.3061215281486511,0.4133751392364502,0.1759674996137619,0.40389683842658997,0.6662389636039734,0.4310511648654938,0.3089021146297455,0.535392165184021,0.1830999106168747,1.0,0.24992629885673523,0.22068053483963013
qur'an,0.2516917884349823,0.19928690791130066,0.21929053962230682,0.19643789529800415,0.2531298100948334,0.13421973586082458,0.24168816208839417,0.24555771052837372,0.2178901880979538,0.25804007053375244,0.24992629885673523,1.0,0.16824866831302643
",",0.3087472915649414,0.21281862258911133,0.32586824893951416,0.23255878686904907,0.3541618287563324,0.5201468467712402,0.3769696354866028,0.31917861104011536,0.44245919585227966,0.2151244729757309,0.4933079481124878,0.12573015689849854,0.31091248989105225
wanting,0.36352014541625977,0.3113931715488434,0.5112401247024536,0.23687000572681427,0.40665316581726074,0.18305066227912903,0.4685037136077881,1.0,0.49196070432662964,0.32077547907829285,0.3089021146297455,0.24555771052837372,0.34244680404663086
it,0.45803478360176086,0.30494722723960876,0.36398744583129883,0.15365919470787048,0.40974161028862,0.5130809545516968,0.4651523232460022,0.28085386753082275,0.513711154460907,0.24239091575145721,0.6251175999641418,0.12242930382490158,0.25732165575027466
exposed,0.21776136755943298,0.20100191235542297,0.24187611043453217,0.1077919527888298,0.2760770618915558,0.23804402351379395,0.291024774312973,0.2237185835838318,0.26349055767059326,0.14073538780212402,0.23872122168540955,0.15744276344776154,0.12477970123291016
to,0.455847829580307,0.38124558329582214,0.5965728163719177,0.18029534816741943,0.4544740617275238,0.45010748505592346,0.5149973034858704,0.49196070432662964,1.0,0.26575782895088196,0.535392165184021,0.2178901880979538,0.29463258385658264
scrutiny,0.4017239212989807,0.32641974091529846,0.41391751170158386,0.15757229924201965,0.3436886668205261,0.19106696546077728,0.4136349558830261,0.3826228678226471,0.3689929246902466,0.4226260483264923,0.30078384280204773,0.29623210430145264,0.3489108085632324
.,0.3567904531955719,0.22145536541938782,0.35067233443260193,0.24907569587230682,0.41614407300949097,0.5591574311256409,0.4824007451534271,0.30261144042015076,0.4645031690597534,0.20274263620376587,0.5934505462646484,0.15876752138137817,0.4130953550338745
