,any,even,number,larger,than,what,can,not,be,considered,prime,?
no,0.5400865077972412,0.3647457957267761,0.28227460384368896,0.2062315046787262,0.322791188955307,0.339326947927475,0.2225070297718048,0.4487079083919525,0.4173688292503357,0.22748105227947235,0.13853290677070618,0.32165053486824036
even,0.5437874794006348,0.9999999403953552,0.3470761179924011,0.3559529483318329,0.4934680163860321,0.40872135758399963,0.4626958966255188,0.6105154752731323,0.4886775612831116,0.3958091139793396,0.1619197428226471,0.30082517862319946
number,0.350625604391098,0.3470761179924011,1.0,0.2661738395690918,0.2816639244556427,0.23046229779720306,0.33886176347732544,0.30033785104751587,0.28840136528015137,0.2176661193370819,0.2556258738040924,0.19256845116615295
greater,0.3009572923183441,0.28894227743148804,0.2183322310447693,0.4403572082519531,0.4072994291782379,0.1946859508752823,0.17744551599025726,0.2004067748785019,0.2287398725748062,0.20454905927181244,0.1424732804298401,0.09723397344350815
than,0.4801669418811798,0.4934680163860321,0.2816639244556427,0.5064740180969238,1.0,0.29388150572776794,0.3532506823539734,0.3858577013015747,0.46516597270965576,0.3166120946407318,0.1307777762413025,0.24917294085025787
2,-0.07780590653419495,-0.03395697474479675,0.04057243838906288,-0.04031788185238838,-0.04757285863161087,-0.049862053245306015,0.01035431306809187,-0.06483332812786102,0.02104739472270012,0.002934281015768647,0.058812014758586884,0.001977203879505396
is,0.35691767930984497,0.28202980756759644,0.22390379011631012,0.24218857288360596,0.2839990258216858,0.28837618231773376,0.44256699085235596,0.3776007890701294,0.4819129705429077,0.4096149802207947,0.16680827736854553,0.22961433231830597
prime,0.11211950331926346,0.1619197428226471,0.2556258738040924,0.1134101077914238,0.1307777762413025,0.15586113929748535,0.1305878609418869,0.12917746603488922,0.14576895534992218,0.1126614436507225,1.0,0.11276303976774216
because,0.4684717059135437,0.6551824808120728,0.26167333126068115,0.2670814096927643,0.4122711718082428,0.46729007363319397,0.4189445674419403,0.6040527820587158,0.5052481293678284,0.4391190707683563,0.13602489233016968,0.2528740465641022
by,0.2681882679462433,0.2642922103404999,0.2551532983779907,0.25135114789009094,0.2015816867351532,0.2455483376979828,0.29642900824546814,0.291808545589447,0.43158695101737976,0.23957760632038116,0.1702890843153,0.17966607213020325
