,what,is,the,name,of,the,region,that,is,not,defined,by,the,eight,or,10,county,definitions,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.35020557045936584,0.5473989248275757,0.5823672413825989,0.4310511648654938,0.2634572982788086,0.4408751428127289,1.0,0.34254369139671326,0.4174870550632477,0.2880653440952301,0.21715226769447327,0.24870915710926056,0.22068053483963013
8-,-0.21461312472820282,0.0433569997549057,-0.023963289335370064,0.07800790667533875,-0.056115955114364624,-0.023963289335370064,0.057457126677036285,-0.18641208112239838,0.0433569997549057,-0.2242884486913681,-0.04765265807509422,-0.11334163695573807,-0.023963289335370064,0.020281929522752762,-0.05522878095507622,-0.15214267373085022,-0.047627877444028854,-0.1306929737329483,-0.06513553857803345
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.2372262328863144,0.4731321930885315,0.3859752118587494,0.39099299907684326,0.2678177058696747,0.4289871156215668,0.5171257257461548,0.33608970046043396,0.4713204801082611,0.2397010177373886,0.2045455276966095,0.25120699405670166,0.20544172823429108
10-county,0.17616474628448486,0.2020440250635147,0.21691842377185822,0.1680092215538025,0.23624342679977417,0.21691842377185822,0.2893401086330414,0.16248241066932678,0.2020440250635147,0.17217017710208893,0.15030086040496826,0.12659579515457153,0.21691842377185822,0.1268356740474701,0.1326204389333725,0.161090686917305,0.9338986277580261,0.12104446440935135,0.11292342841625214
definitions,0.3369276225566864,0.2684614956378937,0.24870915710926056,0.19714544713497162,0.2772957384586334,0.24870915710926056,0.1914127916097641,0.38541096448898315,0.2684614956378937,0.3890976011753082,0.576927125453949,0.13624446094036102,0.24870915710926056,0.1791810393333435,0.3367774188518524,0.08786974847316742,0.12093288451433182,0.9999999403953552,0.3035217523574829
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.17349179089069366,0.39081433415412903,0.40399202704429626,0.20011243224143982,0.45265161991119385,0.5330929756164551,0.46186959743499756,0.2598877251148224,0.37842893600463867,0.40399202704429626,0.28273332118988037,0.5374364256858826,0.25480788946151733,0.16119374334812164,0.3480089008808136,0.24591213464736938
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.2188112437725067,0.3307090103626251,0.4310511648654938,0.16557571291923523,0.6600887179374695,0.3776007890701294,0.9999999403953552,0.35070300102233887,0.291808545589447,0.4310511648654938,0.22229841351509094,0.5119067430496216,0.18224510550498962,0.16588479280471802,0.3890976011753082,0.41942933201789856
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.275164932012558,0.3075267970561981,0.3718377649784088,0.20852907001972198,0.37621384859085083,0.3288823366165161,0.358921617269516,0.30729812383651733,0.27705541253089905,0.3718377649784088,0.18932531774044037,0.4951852560043335,0.11355438828468323,0.12519079446792603,0.34227150678634644,0.22430120408535004
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.4739971458911896,0.17531010508537292,0.4137635827064514,0.43268078565597534,0.39280617237091064,0.2583482265472412,0.3248702883720398,0.4739971458911896,0.33149853348731995,0.4111599624156952,0.07862305641174316,0.13605335354804993,0.3091430366039276,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.35020557045936584,0.5473989248275757,0.5823672413825989,0.4310511648654938,0.2634572982788086,0.4408751428127289,1.0,0.34254369139671326,0.4174870550632477,0.2880653440952301,0.21715226769447327,0.24870915710926056,0.22068053483963013
