,in,private,schools,",",what,language,are,classes,taught,in,?
a,0.539380669593811,0.20346391201019287,0.2118925303220749,0.427140474319458,0.3320399522781372,0.21064592897891998,0.265255331993103,0.25567445158958435,0.17421811819076538,0.539380669593811,0.23916715383529663
key,0.21450091898441315,0.2720795273780823,0.14449994266033173,0.20467913150787354,0.2270265817642212,0.17707599699497223,0.18694549798965454,0.11133851855993271,0.16044625639915466,0.21450091898441315,0.18782930076122284
difference,0.2025471031665802,0.07541972398757935,0.11974675208330154,0.28046315908432007,0.4114832878112793,0.22104641795158386,0.3477291762828827,0.2440844029188156,0.15252235531806946,0.2025471031665802,0.2842230200767517
between,0.41100412607192993,0.12549267709255219,0.08330926299095154,0.27714940905570984,0.2462156116962433,0.15645992755889893,0.2766000032424927,0.24480338394641876,0.10561639070510864,0.41100412607192993,0.12887074053287506
the,0.6662389636039734,0.18291357159614563,0.22905772924423218,0.4933079481124878,0.42745697498321533,0.30198320746421814,0.40399202704429626,0.21469499170780182,0.17271466553211212,0.6662389636039734,0.22068053483963013
government,0.3066793978214264,0.3261575996875763,0.3405122756958008,0.27344048023223877,0.28074538707733154,0.27621060609817505,0.20126859843730927,0.19374607503414154,0.1861218959093094,0.3066793978214264,0.18851417303085327
and,0.4954058527946472,0.2557651102542877,0.29319998621940613,0.6633074283599854,0.31309178471565247,0.24699117243289948,0.48576638102531433,0.2892279624938965,0.2735629677772522,0.4954058527946472,0.20544172823429108
private,0.21135757863521576,1.0,0.4158569872379303,0.1899166703224182,0.16778090596199036,0.12982140481472015,0.1694057136774063,0.26402461528778076,0.2601635158061981,0.21135757863521576,0.14389030635356903
schools,0.2632134258747101,0.4158569872379303,1.0,0.2760516405105591,0.1820785105228424,0.2158348709344864,0.30816179513931274,0.40551111102104187,0.47146323323249817,0.2632134258747101,0.18349280953407288
is,0.5394441485404968,0.1420905888080597,0.2022145688533783,0.4691906273365021,0.28837618231773376,0.270936518907547,0.5330929756164551,0.13611210882663727,0.15364351868629456,0.5394441485404968,0.22961433231830597
that,0.435920387506485,0.20570282638072968,0.2649109661579132,0.4137537479400635,0.6297725439071655,0.2545708417892456,0.45265161991119385,0.281128466129303,0.22723259031772614,0.435920387506485,0.32716336846351624
