,what,spot,does,doctor,who,hold,in,the,100,greatest,british,tv,programs,of,the,20th,century,?
in,0.30808621644973755,0.18070589005947113,0.214483380317688,0.25567495822906494,0.2792111933231354,0.2667064666748047,1.0,0.6662389636039734,0.10141821950674057,0.22416065633296967,0.23084034025669098,0.17989183962345123,0.2276356965303421,0.5696388483047485,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.20430970191955566
2000,-0.10562582314014435,-0.05348851904273033,-0.014839278534054756,0.10425864905118942,0.074765644967556,-0.11984903365373611,-0.0435720756649971,-0.015081177465617657,0.013377484865486622,0.01778683252632618,0.044024597853422165,0.14984636008739471,0.02619864046573639,0.010344067588448524,-0.015081177465617657,-0.016148986294865608,0.023897726088762283,-0.0824366956949234
",",0.3087472915649414,0.16709648072719574,0.28617382049560547,0.20407600700855255,0.3365725874900818,0.2803111970424652,0.5201468467712402,0.4933079481124878,0.10963409394025803,0.21757464110851288,0.25734075903892517,0.2778550088405609,0.21514803171157837,0.4946078956127167,0.4933079481124878,0.22451449930667877,0.24487493932247162,0.31091248989105225
doctor,0.20870667695999146,0.14705044031143188,0.17192082107067108,0.9999999403953552,0.3504868149757385,0.10124234110116959,0.25567495822906494,0.2820442318916321,-0.012338702566921711,0.16524848341941833,0.19140693545341492,0.23672568798065186,0.1782054901123047,0.16895952820777893,0.2820442318916321,0.26512598991394043,0.17628343403339386,0.1462511420249939
who,0.40942975878715515,0.23492486774921417,0.25013914704322815,0.3504868149757385,0.9999998807907104,0.22237171232700348,0.2792111933231354,0.3733934462070465,0.17703752219676971,0.28345996141433716,0.2666113078594208,0.20096197724342346,0.2319195568561554,0.2827862501144409,0.3733934462070465,0.12597180902957916,0.2990973889827728,0.26220351457595825
was,0.22111038863658905,0.1791197657585144,0.19302551448345184,0.19672659039497375,0.3318818509578705,0.19631803035736084,0.45514053106307983,0.48711544275283813,0.11945781856775284,0.26430225372314453,0.31934812664985657,0.1889979988336563,0.16294841468334198,0.4069072902202606,0.48711544275283813,0.258506178855896,0.3521432876586914,0.18412111699581146
ranked,0.15636610984802246,0.16859161853790283,0.12128464877605438,0.13702459633350372,0.17860917747020721,0.21141983568668365,0.2005387395620346,0.2711145281791687,0.07672930508852005,0.4969479739665985,0.17536170780658722,0.18253087997436523,0.20797550678253174,0.276383638381958,0.2711145281791687,0.20781369507312775,0.22612665593624115,0.12953443825244904
third,0.2033906877040863,0.16101554036140442,0.16555646061897278,0.19177944958209991,0.20739443600177765,0.132199227809906,0.3309578001499176,0.4229298532009125,0.044446416199207306,0.24847790598869324,0.18339496850967407,0.16025583446025848,0.08180391043424606,0.30602210760116577,0.4229298532009125,0.46030473709106445,0.2031976282596588,0.15394791960716248
in,0.30808621644973755,0.18070589005947113,0.214483380317688,0.25567495822906494,0.2792111933231354,0.2667064666748047,1.0,0.6662389636039734,0.10141821950674057,0.22416065633296967,0.23084034025669098,0.17989183962345123,0.2276356965303421,0.5696388483047485,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.20430970191955566
a,0.3320399522781372,0.22308512032032013,0.38201746344566345,0.22883038222789764,0.36608949303627014,0.2822398841381073,0.539380669593811,0.5829201340675354,0.20273639261722565,0.15944629907608032,0.1984395682811737,0.2169625610113144,0.25316864252090454,0.5052502155303955,0.5829201340675354,0.24495378136634827,0.19417014718055725,0.23916715383529663
list,0.22366273403167725,0.17485317587852478,0.1470147669315338,0.14438262581825256,0.22655591368675232,0.17771267890930176,0.2799903452396393,0.2863321602344513,0.043793633580207825,0.2556818127632141,0.11300155520439148,0.10461673140525818,0.20724232494831085,0.3032784163951874,0.2863321602344513,0.11210890114307404,0.19445669651031494,0.23630984127521515
of,0.33290785551071167,0.13715794682502747,0.3119818866252899,0.16895952820777893,0.2827862501144409,0.2465030699968338,0.5696388483047485,0.733189046382904,0.1816425770521164,0.30395472049713135,0.23701532185077667,0.19364769756793976,0.18037469685077667,1.0,0.733189046382904,0.21726468205451965,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.3011874258518219,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.3067915439605713,0.6662389636039734,1.0,0.16408909857273102,0.2877289056777954,0.28973397612571716,0.20034731924533844,0.21757709980010986,0.733189046382904,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
100,0.16026288270950317,0.0660078227519989,0.1331992894411087,-0.012338702566921711,0.17703752219676971,0.05352846905589104,0.10141821950674057,0.16408909857273102,1.0,0.12496745586395264,0.0615842379629612,0.13489609956741333,0.0838211178779602,0.1816425770521164,0.16408909857273102,0.04643366113305092,0.15231308341026306,0.19397632777690887
greatest,0.22948481142520905,0.18450476229190826,0.1330748051404953,0.16524848341941833,0.28345996141433716,0.18255335092544556,0.22416065633296967,0.2877289056777954,0.12496745586395264,1.0,0.1837148517370224,0.20805101096630096,0.13626042008399963,0.30395472049713135,0.2877289056777954,0.24377022683620453,0.3570086658000946,0.13661223649978638
british,0.19255435466766357,0.11545806378126144,0.10894544422626495,0.19140693545341492,0.2666113078594208,0.15228678286075592,0.23084034025669098,0.28973397612571716,0.0615842379629612,0.1837148517370224,1.0,0.1965799331665039,0.13679499924182892,0.23701532185077667,0.28973397612571716,0.19402456283569336,0.19974945485591888,0.09711728990077972
television,0.19838058948516846,0.11310065537691116,0.1469985842704773,0.31410008668899536,0.2515988349914551,0.1385132223367691,0.2689782977104187,0.24569597840309143,0.08010008931159973,0.1875632107257843,0.2882291078567505,0.7039412260055542,0.4763582646846771,0.21995750069618225,0.24569597840309143,0.22396641969680786,0.2261287420988083,0.16825827956199646
programmes,0.22633221745491028,0.12925423681735992,0.18168705701828003,0.24234649538993835,0.2315400391817093,0.14273914694786072,0.25503143668174744,0.24291597306728363,0.12817975878715515,0.2727047801017761,0.27525997161865234,0.5075856447219849,0.713985025882721,0.1955287903547287,0.24291597306728363,0.19692793488502502,0.22778581082820892,0.20130415260791779
of,0.33290785551071167,0.13715794682502747,0.3119818866252899,0.16895952820777893,0.2827862501144409,0.2465030699968338,0.5696388483047485,0.733189046382904,0.1816425770521164,0.30395472049713135,0.23701532185077667,0.19364769756793976,0.18037469685077667,1.0,0.733189046382904,0.21726468205451965,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.3011874258518219,0.35928019881248474,0.2820442318916321,0.3733934462070465,0.3067915439605713,0.6662389636039734,1.0,0.16408909857273102,0.2877289056777954,0.28973397612571716,0.20034731924533844,0.21757709980010986,0.733189046382904,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
20th,0.1850772649049759,0.19273479282855988,0.21004360914230347,0.26512598991394043,0.12597180902957916,0.17614789307117462,0.20743919909000397,0.3097512125968933,0.04643366113305092,0.24377022683620453,0.19402456283569336,0.16799120604991913,0.14968670904636383,0.21726468205451965,0.3097512125968933,1.0,0.2968566119670868,0.14985637366771698
