,what,kind,of,t,cells,have,the,purpose,of,modulating,the,immune,response,?
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.1924382597208023,0.1711641103029251,0.36843645572662354,0.6662389636039734,0.2706536650657654,0.5696388483047485,0.17217260599136353,0.6662389636039734,0.14682820439338684,0.20744606852531433,0.20430970191955566
addition,0.20643717050552368,0.26752176880836487,0.27503931522369385,0.19840073585510254,0.23235395550727844,0.4046481251716614,0.32955414056777954,0.2596982717514038,0.27503931522369385,0.30933788418769836,0.32955414056777954,0.22190693020820618,0.2461899220943451,0.19187232851982117
there,0.35085538029670715,0.29799365997314453,0.44397735595703125,0.25968942046165466,0.21102742850780487,0.5194604992866516,0.47025805711746216,0.2962542474269867,0.44397735595703125,0.23379597067832947,0.47025805711746216,0.17614233493804932,0.22312825918197632,0.29405656456947327
are,0.29724663496017456,0.296465665102005,0.39081433415412903,0.2180873155593872,0.2908284366130829,0.6577680706977844,0.40399202704429626,0.2788180708885193,0.39081433415412903,0.27360978722572327,0.40399202704429626,0.23878547549247742,0.20697586238384247,0.24591213464736938
regulatory,0.22797027230262756,0.28215721249580383,0.2973358929157257,0.19706255197525024,0.4081142246723175,0.30002561211586,0.32107341289520264,0.3702496886253357,0.2973358929157257,0.4020199477672577,0.32107341289520264,0.42885828018188477,0.3810090124607086,0.13720278441905975
t,0.37454068660736084,0.24463781714439392,0.14617829024791718,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2083338052034378,0.23887476325035095,0.14617829024791718,0.22119823098182678,0.2083338052034378,0.24755755066871643,0.20805904269218445,0.4954066574573517
cells,0.1758001297712326,0.24291619658470154,0.21305565536022186,0.25527921319007874,1.0,0.294906347990036,0.19095487892627716,0.20694956183433533,0.21305565536022186,0.2964935898780823,0.19095487892627716,0.5300963521003723,0.30744311213493347,0.1898086667060852
which,0.5261979103088379,0.4120495617389679,0.5011631846427917,0.21813765168190002,0.3000165820121765,0.49652695655822754,0.6521818041801453,0.3687290847301483,0.5011631846427917,0.37688007950782776,0.6521818041801453,0.3153325319290161,0.33102378249168396,0.25814583897590637
have,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.3575960099697113,0.294906347990036,0.9999999403953552,0.40389683842658997,0.31335708498954773,0.3802283704280853,0.24887728691101074,0.40389683842658997,0.2992585301399231,0.29600051045417786,0.32991164922714233
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.2456076741218567,0.2297232300043106,0.338716596364975,0.5829201340675354,0.2899824380874634,0.5052502155303955,0.2203245908021927,0.5829201340675354,0.20466765761375427,0.25924429297447205,0.23916715383529663
role,0.22614215314388275,0.17537662386894226,0.1797693818807602,0.1460719108581543,0.16305890679359436,0.15813656151294708,0.26607486605644226,0.16910608112812042,0.1797693818807602,0.2140578180551529,0.26607486605644226,0.18556968867778778,0.2371392399072647,0.18676944077014923
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.1924382597208023,0.1711641103029251,0.36843645572662354,0.6662389636039734,0.2706536650657654,0.5696388483047485,0.17217260599136353,0.6662389636039734,0.14682820439338684,0.20744606852531433,0.20430970191955566
modulating,0.23862957954406738,0.2889222204685211,0.1853247880935669,0.22119823098182678,0.2964935898780823,0.24887728691101074,0.24058565497398376,0.31272825598716736,0.1853247880935669,0.9999998807907104,0.24058565497398376,0.2639564871788025,0.3009475767612457,0.1474028080701828
immune,0.2410416603088379,0.2694495916366577,0.16620753705501556,0.24755755066871643,0.5300963521003723,0.2992585301399231,0.21364226937294006,0.20538567006587982,0.16620753705501556,0.2639564871788025,0.21364226937294006,1.0,0.43541768193244934,0.16080476343631744
response,0.3532308340072632,0.22298553586006165,0.21864040195941925,0.20805904269218445,0.30744311213493347,0.29600051045417786,0.28909924626350403,0.22639907896518707,0.21864040195941925,0.3009475767612457,0.28909924626350403,0.43541768193244934,1.0000001192092896,0.2007838636636734
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.3410096764564514,0.2868211269378662,0.41614407300949097,0.5934505462646484,0.22145536541938782,0.5352458953857422,0.23208452761173248,0.5934505462646484,0.18267881870269775,0.2878446877002716,0.4130953550338745
