,what,doctrine,did,the,doctrine,of,the,principles,of,geology,successfully,promote,?
this,0.5489566326141357,0.2466030865907669,0.3609912693500519,0.6274310946464539,0.2466030865907669,0.45148900151252747,0.6274310946464539,0.25753599405288696,0.45148900151252747,0.24655671417713165,0.316473126411438,0.26642367243766785,0.3155723512172699
book,0.2872225046157837,0.24870416522026062,0.17269964516162872,0.2652374505996704,0.24870416522026062,0.22602593898773193,0.2652374505996704,0.288196861743927,0.22602593898773193,0.19704405963420868,0.13473810255527496,0.1452551931142807,0.20572158694267273
",",0.3087472915649414,0.15962223708629608,0.3015086054801941,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.4933079481124878,0.23890022933483124,0.4946078956127167,0.21413999795913696,0.21677812933921814,0.27121588587760925,0.31091248989105225
which,0.5261979103088379,0.27833762764930725,0.2750149369239807,0.6521818041801453,0.27833762764930725,0.5011631846427917,0.6521818041801453,0.29144638776779175,0.5011631846427917,0.2463337630033493,0.34495964646339417,0.23700366914272308,0.25814583897590637
influenced,0.22395093739032745,0.29824167490005493,0.22115233540534973,0.18518297374248505,0.29824167490005493,0.25486209988594055,0.18518297374248505,0.3427269458770752,0.25486209988594055,0.1916729360818863,0.13158899545669556,0.2060222625732422,0.1310873031616211
the,0.42745697498321533,0.23041051626205444,0.34736719727516174,1.0,0.23041051626205444,0.733189046382904,1.0,0.21452596783638,0.733189046382904,0.214850515127182,0.32525569200515747,0.2408624291419983,0.22068053483963013
thought,0.4469435214996338,0.24526560306549072,0.482954740524292,0.3509289622306824,0.24526560306549072,0.34673458337783813,0.3509289622306824,0.28893449902534485,0.34673458337783813,0.1571664959192276,0.22118718922138214,0.22234642505645752,0.2600135803222656
of,0.33290785551071167,0.23378130793571472,0.2513895630836487,0.733189046382904,0.23378130793571472,1.0,0.733189046382904,0.25854504108428955,1.0,0.2915674149990082,0.19373616576194763,0.22270441055297852,0.1826142966747284
charles,0.18606366217136383,0.19989615678787231,0.11287324130535126,0.20777860283851624,0.19989615678787231,0.22512592375278473,0.20777860283851624,0.1728537529706955,0.22512592375278473,0.1909296214580536,0.2105175107717514,0.1482897251844406,0.17366734147071838
darwin,0.22913074493408203,0.18671204149723053,0.18107348680496216,0.1935407668352127,0.18671204149723053,0.17460091412067413,0.1935407668352127,0.30398014187812805,0.17460091412067413,0.3230692446231842,0.20105399191379547,0.14255599677562714,0.13912999629974365
",",0.3087472915649414,0.15962223708629608,0.3015086054801941,0.4933079481124878,0.15962223708629608,0.4946078956127167,0.4933079481124878,0.23890022933483124,0.4946078956127167,0.21413999795913696,0.21677812933921814,0.27121588587760925,0.31091248989105225
successfully,0.20084762573242188,0.1831890344619751,0.27148011326789856,0.32525569200515747,0.1831890344619751,0.19373616576194763,0.32525569200515747,0.21935348212718964,0.19373616576194763,0.0975864976644516,1.0,0.29386693239212036,0.0971045047044754
promoted,0.18223430216312408,0.22254416346549988,0.23407593369483948,0.2648380994796753,0.22254416346549988,0.1760295182466507,0.2648380994796753,0.09240931272506714,0.1760295182466507,0.08681336045265198,0.29809069633483887,0.6337306499481201,0.2079106867313385
the,0.42745697498321533,0.23041051626205444,0.34736719727516174,1.0,0.23041051626205444,0.733189046382904,1.0,0.21452596783638,0.733189046382904,0.214850515127182,0.32525569200515747,0.2408624291419983,0.22068053483963013
doctrine,0.3112909197807312,0.9999999403953552,0.1904553771018982,0.23041051626205444,0.9999999403953552,0.23378130793571472,0.23041051626205444,0.4201236069202423,0.23378130793571472,0.21665583550930023,0.1831890344619751,0.22176802158355713,0.21789313852787018
of,0.33290785551071167,0.23378130793571472,0.2513895630836487,0.733189046382904,0.23378130793571472,1.0,0.733189046382904,0.25854504108428955,1.0,0.2915674149990082,0.19373616576194763,0.22270441055297852,0.1826142966747284
uniformitarianism,0.3237718939781189,0.5551170110702515,0.22561201453208923,0.19446691870689392,0.5551170110702515,0.2633480131626129,0.19446691870689392,0.520581066608429,0.2633480131626129,0.386812686920166,0.1483795940876007,0.31165096163749695,0.25005680322647095
.,0.3567904531955719,0.19162513315677643,0.35288307070732117,0.5934505462646484,0.19162513315677643,0.5352458953857422,0.5934505462646484,0.18409739434719086,0.5352458953857422,0.20729686319828033,0.31624817848205566,0.2479933649301529,0.4130953550338745
