,funding,limitations,allowed,csnet,to,be,what
it,0.2037111073732376,0.2697325646877289,0.1977851241827011,0.36197200417518616,0.513711154460907,0.5203388929367065,0.45803478360176086
played,0.16739781200885773,0.07846649736166,0.21122625470161438,0.17617541551589966,0.14824016392230988,0.16115781664848328,0.14831039309501648
a,0.2314450591802597,0.2530406713485718,0.275193989276886,0.3357473611831665,0.45503583550453186,0.39883795380592346,0.3320399522781372
significant,0.3232095539569855,0.3798464238643646,0.23431889712810516,0.14012043178081512,0.27648770809173584,0.2664892077445984,0.24268144369125366
role,0.19593307375907898,0.15821586549282074,0.12203655391931534,0.13411225378513336,0.17841029167175293,0.1769188493490219,0.22614215314388275
in,0.2074873298406601,0.2389589548110962,0.23683252930641174,0.27704933285713196,0.45010748505592346,0.3481820821762085,0.30808621644973755
spreading,0.25146424770355225,0.2794873118400574,0.17251862585544586,0.22330649197101593,0.3075626790523529,0.2573886811733246,0.29376479983329773
awareness,0.443121075630188,0.41344237327575684,0.18003201484680176,0.15656888484954834,0.2837008237838745,0.18871040642261505,0.26834213733673096
of,0.27515512704849243,0.30837908387184143,0.2699741721153259,0.2858864963054657,0.41548454761505127,0.33904364705085754,0.33290785551071167
",",0.23183828592300415,0.2870737910270691,0.2785535454750061,0.31742966175079346,0.44245919585227966,0.39254459738731384,0.3087472915649414
and,0.30138206481933594,0.3331659138202667,0.30774351954460144,0.3208819031715393,0.48971283435821533,0.41766801476478577,0.31309178471565247
access,0.3547368347644806,0.4067399501800537,0.2712036967277527,0.298485666513443,0.3465658128261566,0.3263862729072571,0.2685140371322632
to,0.3602164685726166,0.35590237379074097,0.42967355251312256,0.30056941509246826,1.0,0.4972836375236511,0.455847829580307
",",0.23183828592300415,0.2870737910270691,0.2785535454750061,0.31742966175079346,0.44245919585227966,0.39254459738731384,0.3087472915649414
national,0.23038630187511444,0.11378757655620575,0.18961820006370544,0.23536856472492218,0.21067756414413452,0.1411116123199463,0.16882304847240448
