,what,composer,used,luther,'s,hymns,in,his,works,?
luther,0.2134782373905182,0.19553548097610474,0.08111961930990219,1.0,-0.009990512393414974,0.30894896388053894,0.20523880422115326,0.27093374729156494,0.08583797514438629,0.1732746809720993
's,0.02692362666130066,0.029406238347291946,0.00600846204906702,-0.009990512393414974,0.9999999403953552,0.018269306048750877,-0.037580832839012146,0.047556519508361816,0.04286740720272064,-0.023395681753754616
hymns,0.17175553739070892,0.3922351896762848,0.15903712809085846,0.30894896388053894,0.018269306048750877,1.0000001192092896,0.1669730842113495,0.20449216663837433,0.2634763717651367,0.17695237696170807
inspired,0.18111269176006317,0.2740921378135681,0.3121681213378906,0.19859221577644348,0.053430888801813126,0.4081113636493683,0.27352839708328247,0.30602148175239563,0.2961157560348511,0.1529090851545334
composers,0.23610138893127441,0.7598084211349487,0.2336747944355011,0.21203972399234772,0.04829415678977966,0.44149431586265564,0.2000618427991867,0.252868115901947,0.31590527296066284,0.1801956444978714
to,0.455847829580307,0.1435813009738922,0.40058770775794983,0.18029534816741943,0.03782717138528824,0.11944201588630676,0.45010748505592346,0.3715193271636963,0.22564561665058136,0.29463258385658264
write,0.37596118450164795,0.3232544958591461,0.2805648148059845,0.14316920936107635,0.041710954159498215,0.34182026982307434,0.24632485210895538,0.2745184898376465,0.2739943265914917,0.3189060389995575
music,0.23070453107357025,0.5524265170097351,0.18545617163181305,0.15799546241760254,0.09120280295610428,0.440464586019516,0.22969312965869904,0.2327934056520462,0.245555579662323,0.18264494836330414
.,0.3567904531955719,0.2158346325159073,0.33111312985420227,0.24907569587230682,-0.003708066651597619,0.18507489562034607,0.5591574311256409,0.3119256794452667,0.28871041536331177,0.4130953550338745
,what,composer,used,luther,'s,hymns,in,his,works,?
johann,0.14257463812828064,0.37699922919273376,0.13758128881454468,0.3837730586528778,0.04714272543787956,0.30150309205055237,0.1748005747795105,0.2528531551361084,0.18479688465595245,0.1194499209523201
sebastian,0.09078362584114075,0.3313770294189453,0.13617035746574402,0.24701139330863953,-0.016168957576155663,0.3156684339046478,0.19365417957305908,0.2149679958820343,0.22102680802345276,0.12673193216323853
bach,0.2060634046792984,0.3598172664642334,0.18711747229099274,0.34631797671318054,0.09476292133331299,0.4018104076385498,0.19327521324157715,0.2507949471473694,0.2646283805370331,0.23872415721416473
included,0.2288810908794403,0.16919727623462677,0.34082961082458496,0.14399166405200958,-0.041006240993738174,0.1899758130311966,0.32433560490608215,0.2414456307888031,0.20836322009563446,0.14385655522346497
several,0.22446060180664062,0.10734859108924866,0.3182496428489685,0.2095126509666443,-0.012985157780349255,0.21151986718177795,0.39405709505081177,0.32140597701072693,0.3462445139884949,0.15595775842666626
verses,0.21191509068012238,0.2387610822916031,0.17417290806770325,0.20480051636695862,-0.0035981095861643553,0.5688837766647339,0.1467294842004776,0.24403035640716553,0.32215434312820435,0.21770696341991425
as,0.31749409437179565,0.1731022596359253,0.35160550475120544,0.20242992043495178,-0.05775856226682663,0.15609335899353027,0.3887844979763031,0.3146366477012634,0.2642597258090973,0.27043893933296204
chorales,0.18097981810569763,0.4567022919654846,0.18730776011943817,0.30232128500938416,-0.040676016360521317,0.5235528945922852,0.20672595500946045,0.2656589150428772,0.28372493386268616,0.20826344192028046
in,0.30808621644973755,0.1647397130727768,0.3090210556983948,0.20523880422115326,-0.037580832839012146,0.1669730842113495,1.0,0.3598145842552185,0.2656683027744293,0.20430970191955566
his,0.26976513862609863,0.255202978849411,0.20492680370807648,0.27093374729156494,0.047556519508361816,0.20449216663837433,0.3598145842552185,0.9999998807907104,0.32648009061813354,0.18075084686279297
cantatas,0.22735777497291565,0.419450581073761,0.27710357308387756,0.24660377204418182,0.050748053938150406,0.526684045791626,0.21248650550842285,0.2663564085960388,0.35508057475090027,0.23913320899009705
and,0.31309178471565247,0.207661971449852,0.3150506615638733,0.20796556770801544,0.06895173341035843,0.2313949018716812,0.4954058527946472,0.4234102666378021,0.33871909976005554,0.20544172823429108
based,0.274813175201416,0.13564246892929077,0.3212050795555115,0.11297188699245453,0.06600074470043182,0.12815019488334656,0.3070422410964966,0.17763181030750275,0.2440301924943924,0.134929820895195
chorale,0.19436827301979065,0.407034695148468,0.18675722181797028,0.2823675572872162,-0.008237731643021107,0.5174891948699951,0.17804016172885895,0.2668420672416687,0.32748478651046753,0.1843545287847519
cantatas,0.22735777497291565,0.419450581073761,0.27710357308387756,0.24660377204418182,0.050748053938150406,0.526684045791626,0.21248650550842285,0.2663564085960388,0.35508057475090027,0.23913320899009705
entirely,0.38249561190605164,0.06362272053956985,0.21801050007343292,0.13761961460113525,0.08845775574445724,0.1770704686641693,0.28567442297935486,0.20873697102069855,0.27221694588661194,0.19651781022548676
on,0.34226128458976746,0.17892932891845703,0.24785758554935455,0.19090485572814941,0.0026888418942689896,0.1558539718389511,0.46853652596473694,0.32064297795295715,0.18736502528190613,0.2714994251728058
them,0.4994642734527588,0.1498536318540573,0.35850977897644043,0.1940135955810547,0.025712676346302032,0.20003379881381989,0.29119014739990234,0.4171713590621948,0.29931920766830444,0.35435691475868225
