,what,did,a,1530,royal,act,restrict,shipments,of,?
from,0.2737620174884796,0.20248863101005554,0.322764128446579,-0.10333991050720215,0.1648888736963272,0.15529605746269226,0.2553466856479645,0.2718314528465271,0.4249346852302551,0.19969791173934937
1530,-0.12592312693595886,-0.06697874516248703,-0.13779620826244354,0.9999998807907104,0.03740214556455612,-0.11685708910226822,-0.14817170798778534,-0.2028450220823288,-0.03948625549674034,-0.001345398253761232
a,0.3320399522781372,0.2552328109741211,1.0,-0.13779620826244354,0.19676944613456726,0.2060188204050064,0.2366711050271988,0.21061022579669952,0.5052502155303955,0.23916715383529663
royal,0.16189028322696686,0.1850982904434204,0.19676944613456726,0.03740214556455612,0.9999999403953552,0.2023511677980423,0.09769514948129654,0.29106277227401733,0.3112924098968506,0.11453001946210861
act,0.2622668445110321,0.15918971598148346,0.2060188204050064,-0.11685708910226822,0.2023511677980423,1.0,0.3214002549648285,0.20821991562843323,0.2802577316761017,0.1482519507408142
restricted,0.24043217301368713,0.20861072838306427,0.23891349136829376,-0.10396045446395874,0.11912932991981506,0.29268765449523926,0.8032455444335938,0.25979384779930115,0.2586212754249573,0.16540619730949402
all,0.41981086134910583,0.33943864703178406,0.2696802616119385,-0.14709578454494476,0.16869451105594635,0.22487662732601166,0.30307021737098694,0.35960063338279724,0.42798417806625366,0.29575422406196594
shipments,0.18284344673156738,0.25900036096572876,0.21061022579669952,-0.2028450220823288,0.29106277227401733,0.20821991562843323,0.22084635496139526,1.0,0.29598966240882874,0.13020576536655426
of,0.33290785551071167,0.2513895630836487,0.5052502155303955,-0.03948625549674034,0.3112924098968506,0.2802577316761017,0.226976677775383,0.29598966240882874,1.0,0.1826142966747284
coal,0.15859243273735046,0.12918034195899963,0.21951504051685333,-0.08211962133646011,0.11480459570884705,0.17743989825248718,0.22679539024829865,0.36630621552467346,0.2543368637561798,0.10339318215847015
from,0.2737620174884796,0.20248863101005554,0.322764128446579,-0.10333991050720215,0.1648888736963272,0.15529605746269226,0.2553466856479645,0.2718314528465271,0.4249346852302551,0.19969791173934937
tyneside,0.22811484336853027,0.18517614901065826,0.27762705087661743,-0.1109352707862854,0.2804616093635559,0.2049258053302765,0.21342487633228302,0.25728151202201843,0.3008047938346863,0.10805024206638336
to,0.455847829580307,0.4452643394470215,0.45503583550453186,-0.21023400127887726,0.20404569804668427,0.24833928048610687,0.3377874493598938,0.2656446695327759,0.41548454761505127,0.29463258385658264
