,hank,paulson,is,the,former,chairman,and,ceo,of,what,banking,firm,?
current,0.12773878872394562,0.23812350630760193,0.2555285692214966,0.3314409554004669,0.30976104736328125,0.22852888703346252,0.23919939994812012,0.18974722921848297,0.31470298767089844,0.18294453620910645,0.19719569385051727,0.14486879110336304,0.12074550241231918
faculty,0.14576919376850128,0.15286961197853088,0.15048952400684357,0.19605974853038788,0.18550439178943634,0.2513519823551178,0.21924199163913727,0.22288288176059723,0.28538843989372253,0.17261409759521484,0.2480698972940445,0.27487027645111084,0.04951627925038338
include,0.1747315526008606,0.1338215172290802,0.28863582015037537,0.2951717972755432,0.1494148075580597,0.14219868183135986,0.3915219306945801,0.135862797498703,0.37431180477142334,0.1535889357328415,0.2180802971124649,0.10776013135910034,0.14925788342952728
the,0.19902701675891876,0.25446754693984985,0.5823672413825989,1.0,0.2251449078321457,0.2121211588382721,0.5171257257461548,0.16098161041736603,0.733189046382904,0.42745697498321533,0.303832471370697,0.185079887509346,0.22068053483963013
anthropologist,0.2739056646823883,0.26628002524375916,0.13864217698574066,0.16061320900917053,0.20269843935966492,0.24441516399383545,0.20359359681606293,0.23132450878620148,0.1780320703983307,0.24547387659549713,0.26799705624580383,0.16062532365322113,0.17604398727416992
marshall,0.2871425151824951,0.3520934283733368,0.18521100282669067,0.22928133606910706,0.19491636753082275,0.2630091607570648,0.2677270174026489,0.24699102342128754,0.20384931564331055,0.17371580004692078,0.20927409827709198,0.1487525850534439,0.18167579174041748
sahlins,0.39085671305656433,0.4460678994655609,0.26028355956077576,0.29118847846984863,0.2533026337623596,0.28860267996788025,0.34780389070510864,0.26424649357795715,0.24254830181598663,0.11124920845031738,0.3016858994960785,0.1770959049463272,0.1920129954814911
",",0.28570157289505005,0.33332616090774536,0.4691906273365021,0.4933079481124878,0.2738454341888428,0.22044430673122406,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.3087472915649414,0.2917661666870117,0.21962358057498932,0.31091248989105225
historian,0.22356021404266357,0.24240754544734955,0.12325379997491837,0.17690813541412354,0.28817301988601685,0.279545396566391,0.23833531141281128,0.29037630558013916,0.17766131460666656,0.21019703149795532,0.2362678498029709,0.20035244524478912,0.14715451002120972
dipesh,0.22731144726276398,0.22581882774829865,0.2535039782524109,0.26763924956321716,0.2092406302690506,0.13952018320560455,0.282641738653183,0.18025022745132446,0.23919375240802765,0.23176486790180206,0.16573116183280945,0.1391519010066986,0.18075904250144958
chakrabarty,0.3250485062599182,0.3144616186618805,0.297188401222229,0.3633680045604706,0.2107137143611908,0.31438103318214417,0.36505353450775146,0.2306545525789261,0.35806575417518616,0.27810317277908325,0.2532110810279846,0.16186217963695526,0.23590245842933655
",",0.28570157289505005,0.33332616090774536,0.4691906273365021,0.4933079481124878,0.2738454341888428,0.22044430673122406,0.6633074283599854,0.24176505208015442,0.4946078956127167,0.3087472915649414,0.2917661666870117,0.21962358057498932,0.31091248989105225
paleontologists,0.08882509171962738,0.1995246261358261,0.19004647433757782,0.24533379077911377,0.09627757966518402,0.13545751571655273,0.1478513777256012,0.13195468485355377,0.17848612368106842,0.30779901146888733,0.1910487562417984,0.14634773135185242,0.16619890928268433
neil,0.37023741006851196,0.41558390855789185,0.13933435082435608,0.15498113632202148,0.20688383281230927,0.25073280930519104,0.18911974132061005,0.2431773543357849,0.15226785838603973,0.10462997853755951,0.12656204402446747,0.17796437442302704,0.08238664269447327
shubin,0.3504219651222229,0.31474044919013977,0.2377748042345047,0.20982502400875092,0.2713486850261688,0.3244820237159729,0.22783152759075165,0.3369937539100647,0.16492415964603424,0.16399919986724854,0.2316220998764038,0.1574321985244751,0.21434341371059418
and,0.2761320471763611,0.25891628861427307,0.3859752118587494,0.5171257257461548,0.2516189515590668,0.2024257630109787,1.0,0.21528133749961853,0.5116966962814331,0.31309178471565247,0.25715598464012146,0.26067057251930237,0.20544172823429108
paul,0.23911762237548828,0.5289044380187988,0.18022699654102325,0.19191958010196686,0.22784040868282318,0.22343771159648895,0.2447807937860489,0.176147922873497,0.14511796832084656,0.11217030137777328,0.15386971831321716,0.12934647500514984,0.16611461341381073
sereno,0.257745623588562,0.24602539837360382,0.1967640072107315,0.24678297340869904,0.23048576712608337,0.1637568324804306,0.2381782978773117,0.16770026087760925,0.2593770921230316,0.14897421002388,0.08547893166542053,0.08012459427118301,0.1824866086244583
