,what,is,the,name,of,a,bodhisattva,vow,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,1.0,0.27920153737068176,0.2619393765926361,0.23916715383529663
lama,0.16090387105941772,0.17610245943069458,0.2565627992153168,0.1804705113172531,0.21548594534397125,0.20858566462993622,0.4782675504684448,0.3211057782173157,0.16422642767429352
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.36608949303627014,0.27572008967399597,0.303725004196167,0.26220351457595825
has,0.20338068902492523,0.5668748617172241,0.4177538752555847,0.2698039710521698,0.3909035325050354,0.4670248031616211,0.20625516772270203,0.11046142131090164,0.15994466841220856
through,0.23167094588279724,0.27805060148239136,0.44071322679519653,0.13352233171463013,0.3647414743900299,0.3399752974510193,0.19298209249973297,0.14179344475269318,0.16913433372974396
phowa,0.23746804893016815,0.21619176864624023,0.27567192912101746,0.2922194004058838,0.2964220941066742,0.2549610733985901,0.32709404826164246,0.2445589154958725,0.22585579752922058
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.3739250600337982,0.19868840277194977,0.22634795308113098,0.20544172823429108
siddhi,0.23652470111846924,0.20156285166740417,0.1906265914440155,0.18207916617393494,0.18062672019004822,0.24173524975776672,0.7279032468795776,0.3138900101184845,0.1849033385515213
consciously,0.3468970060348511,0.18781788647174835,0.18681304156780243,0.04380340874195099,0.13674409687519073,0.24308301508426666,0.3568902611732483,0.22522316873073578,0.18531851470470428
determined,0.2784222662448883,0.2253464162349701,0.3632190227508545,0.14734789729118347,0.3115927577018738,0.3001842796802521,0.20981568098068237,0.16922688484191895,0.19379007816314697
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.45503583550453186,0.2636365592479706,0.29791751503944397,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.19639723002910614,0.33904364705085754,0.39883795380592346,0.2911364734172821,0.1882219761610031,0.3324260413646698
reborn,0.263448029756546,0.19375185668468475,0.2765234708786011,0.19815553724765778,0.2397531270980835,0.21887549757957458,0.4311319589614868,0.3097831904888153,0.15652845799922943
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.427140474319458,0.1881553679704666,0.25415924191474915,0.31091248989105225
often,0.3849453330039978,0.3856629431247711,0.38004449009895325,0.15621964633464813,0.3351972997188568,0.3930865228176117,0.27716198563575745,0.14598366618156433,0.23748154938220978
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.206878662109375,0.37253960967063904,0.2872205972671509,0.2350565791130066,0.18226121366024017,0.2124512493610382
times,0.21414996683597565,0.21773184835910797,0.29093852639198303,0.19941937923431396,0.24352745711803436,0.2745400369167328,0.12239642441272736,0.16067375242710114,0.18880689144134521
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.427140474319458,0.1881553679704666,0.25415924191474915,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.539380669593811,0.1688993126153946,0.22965410351753235,0.20430970191955566
order,0.16634008288383484,0.19403748214244843,0.3284194767475128,0.12645819783210754,0.31287699937820435,0.24138490855693817,0.23941004276275635,0.2663337290287018,0.13725648820400238
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.45503583550453186,0.2636365592479706,0.29791751503944397,0.29463258385658264
continue,0.34721019864082336,0.22034448385238647,0.28966447710990906,0.14906622469425201,0.19578875601291656,0.21998350322246552,0.16388823091983795,0.2508320212364197,0.23903685808181763
their,0.35142919421195984,0.2101074606180191,0.516537070274353,0.18092210590839386,0.4329940676689148,0.29698723554611206,0.20198777318000793,0.22231680154800415,0.1898253709077835
bodhisattva,0.26302748918533325,0.22820277512073517,0.2109043151140213,0.24455314874649048,0.2529085576534271,0.27920153737068176,1.0,0.41319671273231506,0.20698724687099457
vow,0.24468858540058136,0.1652952879667282,0.244873046875,0.1990317553281784,0.19353735446929932,0.2619393765926361,0.41319671273231506,1.0,0.16463518142700195
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.658733606338501,0.22820277512073517,0.1652952879667282,0.22961433231830597
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.30947911739349365,0.4222904443740845,0.4868806302547455,0.24464640021324158,0.17683948576450348,0.18963319063186646
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,1.0,0.27920153737068176,0.2619393765926361,0.23916715383529663
tulku,0.22875241935253143,0.18954089283943176,0.29448169469833374,0.2936444580554962,0.2797873616218567,0.22713465988636017,0.58514803647995,0.30718424916267395,0.20201897621154785
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.50484299659729,0.17123772203922272,0.21575474739074707,0.4130953550338745
