,which,country,was,worried,that,the,us,would,invade,the,middle,east,?
although,0.3901670575141907,0.19152677059173584,0.3711436688899994,0.2135167419910431,0.4722958207130432,0.3265823423862457,0.1271914541721344,0.3708789050579071,0.1621467024087906,0.3265823423862457,0.12026046961545944,0.1777118444442749,0.15541206300258636
no,0.32479003071784973,0.15192489326000214,0.19955526292324066,0.29985177516937256,0.41830796003341675,0.3461136817932129,0.2572433352470398,0.31237977743148804,0.1536335051059723,0.3461136817932129,0.13431201875209808,0.12842394411563873,0.32165053486824036
explicit,0.36722949147224426,0.15861861407756805,0.1646791696548462,0.18303237855434418,0.3743927478790283,0.2337304949760437,0.281637042760849,0.30707433819770813,0.0979791134595871,0.2337304949760437,0.09000398963689804,0.07756581157445908,0.2974667251110077
plan,0.2507568597793579,0.21403789520263672,0.2407723069190979,0.326749712228775,0.3379872739315033,0.2852855324745178,0.15233533084392548,0.38749009370803833,0.3727438151836395,0.2852855324745178,0.14526072144508362,0.1977737843990326,0.1961054503917694
was,0.2830964922904968,0.24557247757911682,1.0000001192092896,0.25725269317626953,0.33670201897621155,0.48711544275283813,0.19898231327533722,0.41663143038749695,0.20349261164665222,0.48711544275283813,0.21038298308849335,0.2747166156768799,0.18412111699581146
mentioned,0.27391618490219116,0.12524962425231934,0.2583683729171753,0.2161794900894165,0.38149744272232056,0.3624042272567749,0.12959343194961548,0.30274778604507446,0.13398225605487823,0.3624042272567749,0.2253655195236206,0.18415719270706177,0.3025412857532501
",",0.3658004403114319,0.27878350019454956,0.45456063747406006,0.23346306383609772,0.4137537479400635,0.4933079481124878,0.3120202422142029,0.32586824893951416,0.2533637285232544,0.4933079481124878,0.24847112596035004,0.319791704416275,0.31091248989105225
a,0.56894451379776,0.20991116762161255,0.4508470594882965,0.23790201544761658,0.47537946701049805,0.5829201340675354,0.1862444281578064,0.398599237203598,0.13509215414524078,0.5829201340675354,0.23820361495018005,0.18767057359218597,0.23916715383529663
conversation,0.1520392894744873,0.14882870018482208,0.14932553470134735,0.2880162000656128,0.26392561197280884,0.2044977843761444,0.15662318468093872,0.3012942373752594,0.0901610255241394,0.2044977843761444,0.09603016078472137,0.023887377232313156,0.3075454533100128
between,0.395174115896225,0.17594438791275024,0.24048170447349548,0.2514764368534088,0.299440860748291,0.39067012071609497,0.07641531527042389,0.2067808359861374,0.20946839451789856,0.39067012071609497,0.31100550293922424,0.3162674903869629,0.12887074053287506
u.s.,0.014487938955426216,0.017695527523756027,0.06837434321641922,0.08107839524745941,0.006652553100138903,0.06592652946710587,0.03950560837984085,0.11469250172376633,0.05864366516470909,0.06592652946710587,0.02916450798511505,0.09361279755830765,0.07886100560426712
secretary,0.0997283086180687,0.2173677682876587,0.2750075161457062,0.20962493121623993,0.18073731660842896,0.23160062730312347,0.1823948621749878,0.1682591438293457,0.23029504716396332,0.23160062730312347,0.14417298138141632,0.1889084428548813,0.10113837569952011
of,0.5011631846427917,0.28866857290267944,0.4069072902202606,0.23881499469280243,0.41498205065727234,0.733189046382904,0.23568789660930634,0.3353942930698395,0.26843005418777466,0.733189046382904,0.2799445688724518,0.314786434173584,0.1826142966747284
