,who,became,king,in,1643,?
louis,0.25727662444114685,0.24062179028987885,0.3249725103378296,0.2117311805486679,0.07326558977365494,0.09819188714027405
xiv,0.19429704546928406,0.18423733115196228,0.39147526025772095,0.20836922526359558,0.14731307327747345,0.19533176720142365
gained,0.1691395491361618,0.44552770256996155,0.18678805232048035,0.2935055196285248,0.06594528257846832,0.11261032521724701
the,0.3733934462070465,0.36325156688690186,0.25887003540992737,0.6662389636039734,0.23216883838176727,0.22068053483963013
throne,0.24592310190200806,0.18199019134044647,0.5131785869598389,0.16208268702030182,0.10134165734052658,0.17206846177577972
in,0.2792111933231354,0.31047213077545166,0.2044914960861206,1.0,0.2251313179731369,0.20430970191955566
1643,-0.055640485137701035,0.14724619686603546,0.11588491499423981,0.2251313179731369,1.0000001192092896,0.0021790561731904745
and,0.41279885172843933,0.31226563453674316,0.24642229080200195,0.4954058527946472,0.058496396988630295,0.20544172823429108
acted,0.28490695357322693,0.2379062920808792,0.18197132647037506,0.22516943514347076,-0.017076697200536728,0.15984973311424255
increasingly,0.2523714601993561,0.37789803743362427,0.1707696169614792,0.23806603252887726,-0.009627408348023891,0.059327382594347
aggressively,0.29933908581733704,0.22257842123508453,0.148191437125206,0.18283411860466003,-0.04050622880458832,0.1402032971382141
to,0.42656609416007996,0.20401327311992645,0.24476152658462524,0.45010748505592346,0.037892598658800125,0.29463258385658264
force,0.19492056965827942,0.15594717860221863,0.08272673189640045,0.21744468808174133,0.03026207908987999,0.1650998443365097
the,0.3733934462070465,0.36325156688690186,0.25887003540992737,0.6662389636039734,0.23216883838176727,0.22068053483963013
huguenots,0.30634063482284546,0.22311078011989594,0.2805742919445038,0.25916293263435364,0.12070917338132858,0.16010338068008423
to,0.42656609416007996,0.20401327311992645,0.24476152658462524,0.45010748505592346,0.037892598658800125,0.29463258385658264
convert,0.13736310601234436,0.08637207001447678,0.1258990615606308,0.17258451879024506,0.047163475304841995,0.2126215249300003
.,0.3541337847709656,0.2806840240955353,0.2334747016429901,0.5591574311256409,0.1823291927576065,0.4130953550338745
