,how,big,can,ctenophora,grow,?
adults,0.2773992121219635,0.11165887862443924,0.2832548916339874,0.30858519673347473,0.36562010645866394,0.22581297159194946
of,0.2480744868516922,0.2513701021671295,0.2603091299533844,0.241486594080925,0.2535724341869354,0.1826142966747284
various,0.3173779249191284,0.177310973405838,0.3538420796394348,0.23282331228256226,0.18852421641349792,0.12823495268821716
species,0.20142129063606262,0.12996909022331238,0.29763275384902954,0.5797459483146667,0.40343230962753296,0.1957087516784668
range,0.15032252669334412,0.12574289739131927,0.2876698672771454,0.20419591665267944,0.18105319142341614,0.1204894632101059
from,0.22939439117908478,0.10916395485401154,0.2516351342201233,0.1317715346813202,0.19128476083278656,0.19969791173934937
a,0.29312583804130554,0.29998910427093506,0.3915780484676361,0.24843408167362213,0.20655770599842072,0.23916715383529663
few,0.2993465065956116,0.26223453879356384,0.3775979280471802,0.15607698261737823,0.28319573402404785,0.2334265559911728
millimeters,0.2873944640159607,0.2078138291835785,0.36877572536468506,0.3889515697956085,0.40282127261161804,0.17141805589199066
to,0.44169697165489197,0.25193607807159424,0.4979398250579834,0.12408250570297241,0.3296493887901306,0.29463258385658264
1.5,-0.0821528434753418,0.025662951171398163,-0.06537769734859467,0.019947923719882965,0.1277923583984375,0.007378216367214918
m,0.17182649672031403,0.19728735089302063,0.15632833540439606,0.16486461460590363,0.19635739922523499,0.2618667185306549
(,0.1676948219537735,0.22645877301692963,0.22726960480213165,0.21480697393417358,0.1619608849287033,0.40561532974243164
4,-0.09503452479839325,-0.03901529312133789,-0.0722738653421402,0.036873672157526016,-0.06327026337385178,0.010515431873500347
ft,0.17820364236831665,0.18467634916305542,0.14302513003349304,0.28300538659095764,0.2888709604740143,0.17776548862457275
11,0.04696422442793846,0.03197271749377251,0.018609048798680305,0.19618386030197144,0.13479812443256378,-0.04295448586344719
in,0.2601168751716614,0.2359251081943512,0.26527702808380127,0.1502838283777237,0.2526702880859375,0.20430970191955566
),0.17939934134483337,0.20796522498130798,0.23216170072555542,0.20206139981746674,0.14755220711231232,0.42300865054130554
in,0.2601168751716614,0.2359251081943512,0.26527702808380127,0.1502838283777237,0.2526702880859375,0.20430970191955566
size,0.24571672081947327,0.2733207643032074,0.2714308202266693,0.2714160978794098,0.3171062767505646,0.13693112134933472
.,0.3287222981452942,0.27374890446662903,0.35783761739730835,0.24174925684928894,0.30482572317123413,0.4130953550338745
