,the,ottoman,empire,controlled,territory,on,three,continents,",",africa,",",asia,and,which,other,?
during,0.4838213622570038,0.21802297234535217,0.24941793084144592,0.2350495159626007,0.2481779158115387,0.3347817361354828,0.28113842010498047,0.32129743695259094,0.3225448727607727,0.23530873656272888,0.3225448727607727,0.20204269886016846,0.36462149024009705,0.3590145409107208,0.2524319589138031,0.1325719803571701
the,1.0,0.2623080313205719,0.32532164454460144,0.3320712745189667,0.3000710904598236,0.5107308030128479,0.43452659249305725,0.3213147521018982,0.4933079481124878,0.2903064787387848,0.4933079481124878,0.2838890850543976,0.5171257257461548,0.6521818041801453,0.44152235984802246,0.22068053483963013
16th,0.2201097458600998,0.08079668879508972,0.09097147732973099,0.02596510574221611,0.01767253875732422,0.17842891812324524,0.1318025439977646,0.03733924403786659,0.20284214615821838,0.07258404791355133,0.20284214615821838,0.11073397845029831,0.24571843445301056,0.1372188925743103,0.05078558623790741,0.06695828586816788
and,0.5171257257461548,0.24569445848464966,0.27479609847068787,0.2891365587711334,0.278890460729599,0.4077630043029785,0.3826501965522766,0.2950938045978546,0.6633074283599854,0.2685798704624176,0.6633074283599854,0.26469188928604126,1.0,0.506277859210968,0.5504306554794312,0.20544172823429108
17th,0.2679309546947479,0.036172568798065186,0.07206670939922333,0.09912807494401932,0.17118093371391296,0.20078781247138977,0.16025425493717194,0.12571416795253754,0.20329853892326355,0.12652811408042908,0.20329853892326355,0.1730802357196808,0.2645922303199768,0.20483528077602386,0.09512802958488464,0.096589595079422
centuries,0.32166481018066406,0.39221712946891785,0.3826601803302765,0.20877115428447723,0.27832475304603577,0.11393041163682938,0.19118469953536987,0.2488226592540741,0.1864481121301651,0.272549033164978,0.1864481121301651,0.2665162980556488,0.29204583168029785,0.2743915021419525,0.26276007294654846,0.13179439306259155
",",0.4933079481124878,0.22751282155513763,0.27646857500076294,0.20886175334453583,0.2454550564289093,0.49057599902153015,0.3347506821155548,0.2493760883808136,1.0000001192092896,0.2545008063316345,1.0000001192092896,0.1759067326784134,0.6633074283599854,0.3658004403114319,0.4446498453617096,0.31091248989105225
in,0.6662389636039734,0.17080391943454742,0.24110576510429382,0.2597082853317261,0.2756796181201935,0.46853652596473694,0.34828072786331177,0.2691466808319092,0.5201468467712402,0.27806714177131653,0.5201468467712402,0.26562291383743286,0.4954058527946472,0.4840516746044159,0.39989137649536133,0.20430970191955566
particular,0.4066357910633087,0.19065411388874054,0.15291042625904083,0.21420995891094208,0.17703311145305634,0.2615351676940918,0.22323043644428253,0.20660479366779327,0.2547086179256439,0.13939617574214935,0.2547086179256439,0.2020169049501419,0.29526737332344055,0.5626340508460999,0.47361671924591064,0.2741454839706421
at,0.457212895154953,0.14614491164684296,0.18196320533752441,0.18624530732631683,0.1516614854335785,0.4806317389011383,0.2833487093448639,0.16087017953395844,0.38314947485923767,0.1323104351758957,0.38314947485923767,0.15991713106632233,0.3571503460407257,0.3286694884300232,0.24329762160778046,0.21978627145290375
the,1.0,0.2623080313205719,0.32532164454460144,0.3320712745189667,0.3000710904598236,0.5107308030128479,0.43452659249305725,0.3213147521018982,0.4933079481124878,0.2903064787387848,0.4933079481124878,0.2838890850543976,0.5171257257461548,0.6521818041801453,0.44152235984802246,0.22068053483963013
height,0.2694929540157318,0.17739330232143402,0.19126209616661072,0.13733002543449402,0.1071116030216217,0.20240440964698792,0.12837918102741241,0.20298518240451813,0.18724600970745087,0.1490955799818039,0.18724600970745087,0.18415895104408264,0.24355359375476837,0.2440694123506546,0.18237918615341187,0.1599798947572708
of,0.733189046382904,0.239910289645195,0.30522286891937256,0.2840180993080139,0.27564212679862976,0.3966929316520691,0.3844621181488037,0.2563624083995819,0.4946078956127167,0.2694264054298401,0.4946078956127167,0.2372564673423767,0.5116966962814331,0.5011631846427917,0.38583824038505554,0.1826142966747284
