,in,what,year,were,two,block,i,csms,launched,?
two,0.36463531851768494,0.23363454639911652,0.2893567979335785,0.4493520259857178,1.0000001192092896,0.20346355438232422,0.18247975409030914,0.22052648663520813,0.19631856679916382,0.19645625352859497
block,0.1659933477640152,0.33229514956474304,0.1705419272184372,0.09141441434621811,0.20346355438232422,1.0,0.329783171415329,0.1922353059053421,0.1778470128774643,0.27211859822273254
i,0.22907796502113342,0.4411132335662842,0.19013510644435883,0.19386646151542664,0.18247975409030914,0.329783171415329,0.9999999403953552,0.29749828577041626,0.14752373099327087,0.4695145785808563
csms,0.22341521084308624,0.23410825431346893,0.19206556677818298,0.2859567105770111,0.22052648663520813,0.1922353059053421,0.29749828577041626,1.0,0.26591676473617554,0.2516556680202484
were,0.3815755248069763,0.22298263013362885,0.23735305666923523,1.0000001192092896,0.4493520259857178,0.09141441434621811,0.19386646151542664,0.2859567105770111,0.19473113119602203,0.17890112102031708
launched,0.18876992166042328,0.1668553501367569,0.2043205201625824,0.19473113119602203,0.19631856679916382,0.1778470128774643,0.14752373099327087,0.26591676473617554,1.0,0.1803835779428482
from,0.4274188280105591,0.2737620174884796,0.2101740688085556,0.29991888999938965,0.25732070207595825,0.20129463076591492,0.1677764356136322,0.1604464054107666,0.18379946053028107,0.19969791173934937
lc-34,0.20489148795604706,0.18779771029949188,0.2263825684785843,0.19844867289066315,0.20568275451660156,0.22884833812713623,0.19788116216659546,0.19805727899074554,0.16044534742832184,0.1449761986732483
on,0.46853652596473694,0.34226128458976746,0.27628999948501587,0.2774328887462616,0.3205535411834717,0.27317050099372864,0.238076314330101,0.21432483196258545,0.3055371642112732,0.2714994251728058
suborbital,0.17758631706237793,0.28540128469467163,0.2090357095003128,0.2397005707025528,0.31754544377326965,0.2049320936203003,0.22061479091644287,0.316967636346817,0.20846356451511383,0.24786977469921112
flights,0.2577659785747528,0.17598165571689606,0.1682738959789276,0.19686946272850037,0.24094673991203308,0.1086428090929985,0.1872948259115219,0.26040297746658325,0.3081211745738983,0.1590299755334854
in,1.0,0.30808621644973755,0.3359307050704956,0.3815755248069763,0.36463531851768494,0.1659933477640152,0.22907796502113342,0.22341521084308624,0.18876992166042328,0.20430970191955566
1966,-0.09151272475719452,0.04680648446083069,-0.05663387104868889,-0.08309128135442734,0.07065662741661072,0.09470385313034058,0.08778749406337738,0.06706552952528,0.03551143407821655,0.08956238627433777
with,0.4080928862094879,0.2464839518070221,0.3220449686050415,0.3179011940956116,0.4333336651325226,0.17197369039058685,0.2640714943408966,0.23102949559688568,0.13754619657993317,0.2433311939239502
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.3906462490558624,0.43858039379119873,0.20056472718715668,0.26687872409820557,0.24143372476100922,0.2547066807746887,0.22068053483963013
saturn,0.16002382338047028,0.12153393030166626,0.25959208607673645,0.17961199581623077,0.1813286393880844,0.05837775766849518,0.24241867661476135,0.24359272420406342,0.318340003490448,0.1619711071252823
ib,0.11213688552379608,0.13645219802856445,0.12051096558570862,0.07926353067159653,0.14321404695510864,0.12732473015785217,0.23388640582561493,0.23472526669502258,0.2344895899295807,0.23230938613414764
.,0.5591574311256409,0.3567904531955719,0.32538118958473206,0.3378238379955292,0.3524959683418274,0.24829226732254028,0.33645379543304443,0.30949583649635315,0.21241185069084167,0.4130953550338745
