,the,reasons,for,the,las,two,counties,to,be,added,are,based,on,what,?
the,1.0,0.2951921820640564,0.4739971458911896,1.0,0.1904275119304657,0.43858039379119873,0.23370873928070068,0.535392165184021,0.4248143136501312,0.3207796514034271,0.40399202704429626,0.29860720038414,0.5107308030128479,0.42745697498321533,0.22068053483963013
more,0.39758381247520447,0.2843616008758545,0.3891189992427826,0.39758381247520447,0.1883239597082138,0.36959168314933777,0.16559869050979614,0.47084665298461914,0.5445363521575928,0.27137142419815063,0.4066504240036011,0.21096299588680267,0.37351730465888977,0.3484537899494171,0.27894994616508484
extensive,0.2952674925327301,0.21070563793182373,0.31949013471603394,0.2952674925327301,0.10559875518083572,0.153940811753273,0.1947794258594513,0.26931023597717285,0.26207759976387024,0.2825712263584137,0.23453594744205475,0.23097053170204163,0.3548378348350525,0.24088335037231445,0.16032595932483673
10-county,0.21691842377185822,0.1174423024058342,0.14787191152572632,0.21691842377185822,0.2247144877910614,0.0935811847448349,0.6949987411499023,0.17053799331188202,0.1001204177737236,0.09831757098436356,0.1627592295408249,0.1971668303012848,0.15145841240882874,0.17616474628448486,0.11292342841625214
definition,0.23176956176757812,0.3452076017856598,0.2789401710033417,0.23176956176757812,0.11854126304388046,0.15746432542800903,0.18873164057731628,0.2924377918243408,0.333861380815506,0.19778311252593994,0.2561403512954712,0.23220595717430115,0.21725256741046906,0.330344021320343,0.2796523869037628
",",0.4933079481124878,0.31034985184669495,0.4464869201183319,0.4933079481124878,0.23400533199310303,0.35859420895576477,0.2766191363334656,0.44245919585227966,0.39254459738731384,0.28397712111473083,0.4062570035457611,0.27976205945014954,0.49057599902153015,0.3087472915649414,0.31091248989105225
including,0.3738902807235718,0.23585817217826843,0.42507120966911316,0.3738902807235718,0.1800781488418579,0.402707040309906,0.19863279163837433,0.24006329476833344,0.2110714614391327,0.24044673144817352,0.45025435090065,0.2871324419975281,0.324923574924469,0.18328791856765747,0.1633303165435791
kern,0.2651974856853485,0.09807009249925613,0.18093162775039673,0.2651974856853485,0.09885937720537186,0.23468676209449768,0.21540246903896332,0.0881551206111908,0.16674405336380005,0.1455574631690979,0.11395462602376938,0.15185058116912842,0.17865075170993805,0.13905280828475952,0.22484882175922394
and,0.5171257257461548,0.31014180183410645,0.5064792633056641,0.5171257257461548,0.24633434414863586,0.4671151638031006,0.21969299018383026,0.48971283435821533,0.41766801476478577,0.29847657680511475,0.48576638102531433,0.2660958170890808,0.4077630043029785,0.31309178471565247,0.20544172823429108
san,0.2858080565929413,0.12107554823160172,0.21004900336265564,0.2858080565929413,0.41013410687446594,0.18889032304286957,0.17207099497318268,0.21651452779769897,0.10896842181682587,0.08519662171602249,0.13921020925045013,0.1743253618478775,0.20166277885437012,0.19375550746917725,0.10952327400445938
luis,0.2025856077671051,0.13496975600719452,0.18533460795879364,0.2025856077671051,0.3072044849395752,0.19907927513122559,0.16231290996074677,0.1504358947277069,0.13113005459308624,0.09256348013877869,0.13689100742340088,0.09077823162078857,0.1283312290906906,0.13408981263637543,0.07192636281251907
obispo,0.223151296377182,0.1763020157814026,0.20501698553562164,0.223151296377182,0.4211955964565277,0.22661910951137543,0.3323816955089569,0.18079645931720734,0.14722688496112823,0.08487658947706223,0.22780649363994598,0.14969535171985626,0.16420777142047882,0.17597398161888123,0.238881453871727
counties,0.23370873928070068,0.1754501610994339,0.15031608939170837,0.23370873928070068,0.11867702752351761,0.2012631893157959,1.0,0.19238705933094025,0.16683633625507355,0.14056679606437683,0.24759000539779663,0.15674473345279694,0.1780954748392105,0.18263769149780273,0.09521792083978653
",",0.4933079481124878,0.31034985184669495,0.4464869201183319,0.4933079481124878,0.23400533199310303,0.35859420895576477,0.2766191363334656,0.44245919585227966,0.39254459738731384,0.28397712111473083,0.4062570035457611,0.27976205945014954,0.49057599902153015,0.3087472915649414,0.31091248989105225
is,0.5823672413825989,0.25412559509277344,0.43268078565597534,0.5823672413825989,0.15731747448444366,0.2315155267715454,0.19452480971813202,0.42745086550712585,0.4819129705429077,0.21163742244243622,0.5330929756164551,0.3248139023780823,0.3635730445384979,0.28837618231773376,0.22961433231830597
also,0.6021018624305725,0.39269185066223145,0.5373267531394958,0.6021018624305725,0.23848500847816467,0.4511464238166809,0.1836252063512802,0.5348826050758362,0.48342031240463257,0.3179115056991577,0.4565894305706024,0.2596239149570465,0.3762153089046478,0.42747777700424194,0.21848613023757935
used,0.3718377649784088,0.330504834651947,0.4236139953136444,0.3718377649784088,0.0930122584104538,0.226744145154953,0.14467652142047882,0.40058770775794983,0.3731876611709595,0.4124175012111664,0.3322218656539917,0.3212050795555115,0.24785758554935455,0.27546408772468567,0.22430120408535004
based,0.29860720038414,0.2259550839662552,0.2761107087135315,0.29860720038414,0.06834094226360321,0.21177002787590027,0.15674473345279694,0.19629007577896118,0.24377326667308807,0.2009417712688446,0.3002447783946991,1.0000001192092896,0.36055147647857666,0.274813175201416,0.134929820895195
on,0.5107308030128479,0.24593403935432434,0.36199691891670227,0.5107308030128479,0.21147488057613373,0.3205535411834717,0.1780954748392105,0.41031414270401,0.37900757789611816,0.30949866771698,0.268924742937088,0.36055147647857666,0.9999999403953552,0.34226128458976746,0.2714994251728058
historical,0.30835282802581787,0.21943321824073792,0.21021096408367157,0.30835282802581787,0.1895512193441391,0.19262799620628357,0.31524306535720825,0.22193273901939392,0.12553490698337555,0.21632489562034607,0.14683358371257782,0.2508260905742645,0.21965576708316803,0.2923852205276489,0.1665111482143402
political,0.20477235317230225,0.3229901194572449,0.24620850384235382,0.20477235317230225,0.09497842937707901,0.2132387012243271,0.2560191750526428,0.2065112292766571,0.19028756022453308,0.06784649938344955,0.12559790909290314,0.1902443915605545,0.2335650622844696,0.21846716105937958,0.17130474746227264
divisions,0.3125615119934082,0.2308935970067978,0.20568406581878662,0.3125615119934082,0.1296939253807068,0.26343584060668945,0.3311973810195923,0.20452556014060974,0.19957424700260162,0.15837694704532623,0.24858494102954865,0.1760994791984558,0.21437741816043854,0.2232685685157776,0.14903524518013
.,0.5934505462646484,0.298481822013855,0.4726039469242096,0.5934505462646484,0.1803118884563446,0.3524959683418274,0.21356114745140076,0.4645031690597534,0.4383580684661865,0.30304840207099915,0.3452940285205841,0.29699069261550903,0.49257001280784607,0.3567904531955719,0.4130953550338745
