,what,might,starch,grains,be,a,side,effect,of,?
while,0.35511791706085205,0.34748756885528564,0.18425221741199493,0.15388745069503784,0.3466706871986389,0.3733035624027252,0.3614400625228882,0.25545164942741394,0.3366928696632385,0.21076419949531555
linked,0.2771798372268677,0.30645594000816345,0.17801587283611298,0.19767092168331146,0.3762180805206299,0.2052881270647049,0.16062866151332855,0.1961860954761505,0.244833841919899,0.22991526126861572
to,0.455847829580307,0.5153919458389282,0.25500980019569397,0.23856495320796967,0.4972836375236511,0.45503583550453186,0.2686329185962677,0.2521958649158478,0.41548454761505127,0.29463258385658264
low,0.20743566751480103,0.23332254588603973,0.23376762866973877,0.22706849873065948,0.2353082150220871,0.24393533170223236,0.18560004234313965,0.2202526479959488,0.27171993255615234,0.10658930987119675
photosynthesis,0.261831134557724,0.30223897099494934,0.6239206790924072,0.4842068552970886,0.2775934636592865,0.21278242766857147,0.13690884411334991,0.29619330167770386,0.26824626326560974,0.1871609091758728
rates,0.2148645967245102,0.3276554048061371,0.28397995233535767,0.27587655186653137,0.27536261081695557,0.24341748654842377,0.1694750189781189,0.31913235783576965,0.2585311233997345,0.13808594644069672
",",0.3087472915649414,0.2533247768878937,0.2539854049682617,0.2864838242530823,0.39254459738731384,0.427140474319458,0.24522119760513306,0.2150653600692749,0.4946078956127167,0.31091248989105225
the,0.42745697498321533,0.32504433393478394,0.25495320558547974,0.25450876355171204,0.4248143136501312,0.5829201340675354,0.37146830558776855,0.2865084111690521,0.733189046382904,0.22068053483963013
starch,0.23971526324748993,0.2549510598182678,1.0000001192092896,0.6076793074607849,0.3314809203147888,0.20323342084884644,0.13036753237247467,0.2725081741809845,0.2332746386528015,0.1948019117116928
grains,0.22209185361862183,0.3026264011859894,0.6076793074607849,1.0,0.311230331659317,0.24080950021743774,0.14357149600982666,0.2277892827987671,0.2690761387348175,0.15261265635490417
themselves,0.34807315468788147,0.39327988028526306,0.268757164478302,0.2692278027534485,0.34985315799713135,0.19371497631072998,0.16490860283374786,0.20691965520381927,0.2638634443283081,0.20170879364013672
may,0.25739946961402893,0.5044193863868713,0.24326029419898987,0.2209627777338028,0.45514434576034546,0.29255667328834534,0.164218470454216,0.25223419070243835,0.26447007060050964,0.2768254578113556
not,0.5449194312095642,0.5709217190742493,0.2763250172138214,0.2607104480266571,0.5788898468017578,0.3791346549987793,0.2682128846645355,0.345232754945755,0.3307090103626251,0.41942933201789856
necessarily,0.4277169704437256,0.47469228506088257,0.2950359582901001,0.3052576184272766,0.4516805112361908,0.2749404311180115,0.18743087351322174,0.34478744864463806,0.21284587681293488,0.32468926906585693
interfere,0.3301137685775757,0.28439417481422424,0.25515687465667725,0.19786877930164337,0.3148476183414459,0.2175959199666977,0.25297781825065613,0.3893968462944031,0.19167709350585938,0.14238938689231873
significantly,0.2746123671531677,0.329059362411499,0.3127429485321045,0.3000051975250244,0.3630986213684082,0.2518039345741272,0.16748866438865662,0.35901939868927,0.2703875005245209,0.1823679804801941
with,0.2464839518070221,0.28227806091308594,0.2564128041267395,0.17679080367088318,0.36101722717285156,0.3783375024795532,0.3290523588657379,0.2349119931459427,0.41827285289764404,0.2433311939239502
