,which,part,of,the,immune,system,protects,the,brain,?
in,0.4840516746044159,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.14682820439338684,0.21978288888931274,0.15226095914840698,0.6662389636039734,0.21897459030151367,0.20430970191955566
humans,0.3488728106021881,0.17456276714801788,0.24560637772083282,0.29565489292144775,0.3791846036911011,0.2241804003715515,0.28380081057548523,0.29565489292144775,0.36943626403808594,0.20141740143299103
",",0.3658004403114319,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.1929810643196106,0.4933079481124878,0.2525295615196228,0.31091248989105225
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.27843186259269714,1.0,0.25109198689460754,0.22068053483963013
blood–brain,0.41467124223709106,0.34828540682792664,0.31890153884887695,0.3674085736274719,0.4675694704055786,0.2739626169204712,0.34378302097320557,0.3674085736274719,0.7706842422485352,0.22211578488349915
barrier,0.35138678550720215,0.26647627353668213,0.24921740591526031,0.32808300852775574,0.2338794320821762,0.2783268392086029,0.30014654994010925,0.32808300852775574,0.2505945563316345,0.11772116273641586
",",0.3658004403114319,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.1929810643196106,0.4933079481124878,0.2525295615196228,0.31091248989105225
blood–cerebrospinal,0.3706936836242676,0.3097756505012512,0.3048873245716095,0.3430507779121399,0.42194387316703796,0.29505130648612976,0.35771289467811584,0.3430507779121399,0.6625750064849854,0.19552047550678253
fluid,0.28319084644317627,0.1847902536392212,0.217294842004776,0.23256433010101318,0.2836812436580658,0.3003348708152771,0.2742520570755005,0.23256433010101318,0.3650584816932678,0.18212400376796722
barrier,0.35138678550720215,0.26647627353668213,0.24921740591526031,0.32808300852775574,0.2338794320821762,0.2783268392086029,0.30014654994010925,0.32808300852775574,0.2505945563316345,0.11772116273641586
",",0.3658004403114319,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.15102852880954742,0.18439900875091553,0.1929810643196106,0.4933079481124878,0.2525295615196228,0.31091248989105225
and,0.506277859210968,0.35301485657691956,0.5116966962814331,0.5171257257461548,0.14400269091129303,0.231138214468956,0.26970621943473816,0.5171257257461548,0.25777825713157654,0.20544172823429108
similar,0.4783022403717041,0.1812267005443573,0.2911645472049713,0.2963123023509979,0.2106502503156662,0.22617121040821075,0.22268901765346527,0.2963123023509979,0.14405198395252228,0.23309361934661865
fluid–brain,0.3744799792766571,0.31176477670669556,0.29256799817085266,0.3120822608470917,0.42123711109161377,0.33530017733573914,0.34351471066474915,0.3120822608470917,0.7373191118240356,0.22036683559417725
barriers,0.34040695428848267,0.20981089770793915,0.20672127604484558,0.2820606231689453,0.2772504687309265,0.31584006547927856,0.24453765153884888,0.2820606231689453,0.2193318009376526,0.12831342220306396
separate,0.44602665305137634,0.3990926146507263,0.33388569951057434,0.3612915575504303,0.10710752010345459,0.2237393707036972,0.2542698383331299,0.3612915575504303,0.16938422620296478,0.16835719347000122
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.27843186259269714,1.0,0.25109198689460754,0.22068053483963013
peripheral,0.357757568359375,0.2755534052848816,0.2493284046649933,0.24567924439907074,0.3523324728012085,0.44155988097190857,0.1592891365289688,0.24567924439907074,0.44477418065071106,0.11398136615753174
immune,0.3153325319290161,0.165080264210701,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.2820536196231842,0.21364226937294006,0.3895399272441864,0.16080476343631744
system,0.37390631437301636,0.2814725935459137,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.22980353236198425,0.3233085572719574,0.1890234649181366,0.15556083619594574
from,0.38755592703819275,0.31841611862182617,0.4249346852302551,0.40150508284568787,0.13325795531272888,0.22092437744140625,0.2318187952041626,0.40150508284568787,0.2195947766304016,0.19969791173934937
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.27843186259269714,1.0,0.25109198689460754,0.22068053483963013
neuroimmune,0.2989997863769531,0.17928758263587952,0.21686823666095734,0.2567606568336487,0.8182319402694702,0.33386150002479553,0.20346738398075104,0.2567606568336487,0.5736228823661804,0.15523016452789307
system,0.37390631437301636,0.2814725935459137,0.25597915053367615,0.3233085572719574,0.3962631821632385,1.0000001192092896,0.22980353236198425,0.3233085572719574,0.1890234649181366,0.15556083619594574
which,1.0,0.4460882246494293,0.5011631846427917,0.6521818041801453,0.3153325319290161,0.37390631437301636,0.2953028082847595,0.6521818041801453,0.2523285150527954,0.25814583897590637
protects,0.2953028082847595,0.27660295367240906,0.2526929974555969,0.27843186259269714,0.2820536196231842,0.22980353236198425,1.0000001192092896,0.27843186259269714,0.2008236050605774,0.15145233273506165
the,0.6521818041801453,0.527681291103363,0.733189046382904,1.0,0.21364226937294006,0.3233085572719574,0.27843186259269714,1.0,0.25109198689460754,0.22068053483963013
brain,0.2523285150527954,0.2624954283237457,0.2293534129858017,0.25109198689460754,0.3895399272441864,0.1890234649181366,0.2008236050605774,0.25109198689460754,1.0000001192092896,0.17415454983711243
.,0.45942068099975586,0.32817673683166504,0.5352458953857422,0.5934505462646484,0.18267881870269775,0.2277725487947464,0.2095157504081726,0.5934505462646484,0.27220115065574646,0.4130953550338745
