,other,than,universal,and,warner,brothers,",",what,other,company,runs,a,major,record,company,?
universal,0.23028594255447388,0.16612669825553894,0.9999999403953552,0.22791598737239838,0.4012969136238098,0.20826618373394012,0.23720639944076538,0.20640362799167633,0.23028594255447388,0.24939820170402527,0.12547776103019714,0.20401886105537415,0.16090638935565948,0.2600236237049103,0.24939820170402527,0.2074412703514099
",",0.4446498453617096,0.3371901512145996,0.23720639944076538,0.6633074283599854,0.22650380432605743,0.24914874136447906,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.2697763442993164,0.22710935771465302,0.427140474319458,0.29355156421661377,0.28093910217285156,0.2697763442993164,0.31091248989105225
warner,0.18447862565517426,0.1528526246547699,0.4012969136238098,0.2326769232749939,0.9999999403953552,0.33311212062835693,0.22650380432605743,0.18542180955410004,0.18447862565517426,0.30600854754447937,0.16307184100151062,0.20652779936790466,0.12363339960575104,0.303070992231369,0.30600854754447937,0.21637006103992462
brothers,0.2167707085609436,0.14673973619937897,0.20826618373394012,0.28383347392082214,0.33311212062835693,1.0,0.24914874136447906,0.17880715429782867,0.2167707085609436,0.24235258996486664,0.15674243867397308,0.19716104865074158,0.1516307294368744,0.17611336708068848,0.24235258996486664,0.11019307374954224
",",0.4446498453617096,0.3371901512145996,0.23720639944076538,0.6633074283599854,0.22650380432605743,0.24914874136447906,1.0000001192092896,0.3087472915649414,0.4446498453617096,0.2697763442993164,0.22710935771465302,0.427140474319458,0.29355156421661377,0.28093910217285156,0.2697763442993164,0.31091248989105225
and,0.5504306554794312,0.39361441135406494,0.22791598737239838,1.0,0.2326769232749939,0.28383347392082214,0.6633074283599854,0.31309178471565247,0.5504306554794312,0.23788511753082275,0.2632412016391754,0.3739250600337982,0.29795366525650024,0.23470573127269745,0.23788511753082275,0.20544172823429108
sony,0.20223847031593323,0.14242534339427948,0.3585810363292694,0.1760835498571396,0.4572802186012268,0.24710318446159363,0.2248559445142746,0.2182290405035019,0.20223847031593323,0.30901986360549927,0.16707266867160797,0.19793832302093506,0.20067967474460602,0.35182690620422363,0.30901986360549927,0.15008887648582458
also,0.5326101183891296,0.3524617850780487,0.22819127142429352,0.5755972862243652,0.20059792697429657,0.24117900431156158,0.4717654287815094,0.42747777700424194,0.5326101183891296,0.21313920617103577,0.20009714365005493,0.5149940252304077,0.3074300289154053,0.24059227108955383,0.21313920617103577,0.21848613023757935
run,0.2644082307815552,0.252406507730484,0.16900575160980225,0.2711782455444336,0.22148799896240234,0.15787096321582794,0.2309936285018921,0.2294815480709076,0.2644082307815552,0.2012515664100647,0.6555101275444031,0.2607046067714691,0.177704319357872,0.17443831264972687,0.2012515664100647,0.17904110252857208
major,0.3157308101654053,0.15025296807289124,0.16090638935565948,0.29795366525650024,0.12363339960575104,0.1516307294368744,0.29355156421661377,0.21026742458343506,0.3157308101654053,0.18270181119441986,0.2269134819507599,0.22990699112415314,0.9999998807907104,0.15697836875915527,0.18270181119441986,0.19788557291030884
record,0.18552419543266296,0.23675908148288727,0.2600236237049103,0.23470573127269745,0.303070992231369,0.17611336708068848,0.28093910217285156,0.1772487461566925,0.18552419543266296,0.2029259204864502,0.12504400312900543,0.2588478624820709,0.15697836875915527,1.0,0.2029259204864502,0.14407116174697876
companies,0.33634573221206665,0.17506277561187744,0.2424248903989792,0.2527635991573334,0.20910319685935974,0.21649661660194397,0.28041911125183105,0.20801754295825958,0.33634573221206665,0.7287532687187195,0.16885516047477722,0.24875247478485107,0.23732003569602966,0.19580678641796112,0.7287532687187195,0.14365637302398682
as,0.42805421352386475,0.40532299876213074,0.2161426991224289,0.49487000703811646,0.2300994098186493,0.17149995267391205,0.48816442489624023,0.31749409437179565,0.42805421352386475,0.18860384821891785,0.13251358270645142,0.39550232887268066,0.20393970608711243,0.16795684397220612,0.18860384821891785,0.27043893933296204
well,0.46553051471710205,0.35094600915908813,0.18660344183444977,0.5258845686912537,0.17662271857261658,0.16722163558006287,0.4331948161125183,0.4154493808746338,0.46553051471710205,0.16097527742385864,0.15811097621917725,0.320642352104187,0.2702554762363434,0.16130013763904572,0.16097527742385864,0.24815571308135986
.,0.41511186957359314,0.3594527542591095,0.17210373282432556,0.588965117931366,0.2520177662372589,0.17513900995254517,0.6812511086463928,0.3567904531955719,0.41511186957359314,0.266353577375412,0.2379940003156662,0.50484299659729,0.3054012954235077,0.2186054140329361,0.266353577375412,0.4130953550338745
