,when,did,zwilling,and,karistadt,become,active,at,wittenberg,?
andreas,0.1064540222287178,0.13266701996326447,0.22970788180828094,0.19219543039798737,0.38879719376564026,0.09501875936985016,0.12335385382175446,0.11134904623031616,0.2933006286621094,0.06663193553686142
karlstadt,0.20235329866409302,0.16234265267848969,0.33411306142807007,0.22569887340068817,0.8021669983863831,0.13068410754203796,0.16552948951721191,0.23913052678108215,0.5478960871696472,0.19235840439796448
",",0.36674630641937256,0.3015086054801941,0.3346089720726013,0.6633074283599854,0.33638501167297363,0.29676204919815063,0.2681531608104706,0.38314947485923767,0.23876431584358215,0.31091248989105225
supported,0.22779937088489532,0.3048703968524933,0.28078287839889526,0.3113573491573334,0.10266901552677155,0.17901533842086792,0.25356313586235046,0.17385126650333405,0.1066475510597229,0.11593948304653168
by,0.4376842677593231,0.18574509024620056,0.23767106235027313,0.4289871156215668,0.22450381517410278,0.1663227528333664,0.11178559809923172,0.2368064820766449,0.22712822258472443,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.31114304065704346,0.5171257257461548,0.27510496973991394,0.31731709837913513,0.2376219779253006,0.457212895154953,0.31221258640289307,0.22068053483963013
ex-augustinian,0.20194494724273682,0.16978789865970612,0.2360198199748993,0.26671087741851807,0.3605688214302063,0.2089756578207016,0.18212950229644775,0.18351680040359497,0.3065358102321625,0.1941746473312378
gabriel,0.13691091537475586,0.12957996129989624,0.17619918286800385,0.22168251872062683,0.16997919976711273,0.12629538774490356,0.08130596578121185,0.08658187836408615,0.1871848851442337,0.05852814391255379
zwilling,0.3074548840522766,0.41794058680534363,1.0000001192092896,0.3782314360141754,0.3624686896800995,0.29807722568511963,0.3413040041923523,0.2340807169675827,0.35394763946533203,0.34260135889053345
",",0.36674630641937256,0.3015086054801941,0.3346089720726013,0.6633074283599854,0.33638501167297363,0.29676204919815063,0.2681531608104706,0.38314947485923767,0.23876431584358215,0.31091248989105225
embarked,0.1913095861673355,0.22820432484149933,0.17506733536720276,0.21115779876708984,0.1592455357313156,0.19747896492481232,0.13661140203475952,0.2438025176525116,0.12421248108148575,0.1276444047689438
on,0.37706470489501953,0.2670976221561432,0.29882264137268066,0.4077630043029785,0.21339942514896393,0.17756444215774536,0.20644070208072662,0.4806317389011383,0.19844768941402435,0.2714994251728058
a,0.44397395849227905,0.2552328109741211,0.33857831358909607,0.3739250600337982,0.2514408528804779,0.3215816617012024,0.2637912929058075,0.3095070421695709,0.24799036979675293,0.23916715383529663
radical,0.19318300485610962,0.2183472216129303,0.23430797457695007,0.248888298869133,0.18124431371688843,0.21156446635723114,0.24405789375305176,0.06716014444828033,0.21198232471942902,0.1306871920824051
programme,0.1508045494556427,0.1542370468378067,0.2515315115451813,0.23106320202350616,0.24467723071575165,0.1337226778268814,0.17333979904651642,0.23556490242481232,0.14054514467716217,0.139840766787529
of,0.3757161796092987,0.2513895630836487,0.3056187927722931,0.5116966962814331,0.2774934768676758,0.31678006052970886,0.23132829368114471,0.42558613419532776,0.296735942363739,0.1826142966747284
reform,0.23173771798610687,0.2208065688610077,0.3461438715457916,0.29105228185653687,0.26014605164527893,0.21601594984531403,0.21187317371368408,0.10159420222043991,0.25203168392181396,0.14216484129428864
there,0.34822648763656616,0.29736605286598206,0.321249783039093,0.4242868423461914,0.2133464515209198,0.23763340711593628,0.3021320104598999,0.37649083137512207,0.2165990024805069,0.29405656456947327
in,0.4431333839893341,0.2593238651752472,0.30670803785324097,0.4954058527946472,0.27411654591560364,0.23238378763198853,0.2698204517364502,0.4374977946281433,0.2511049211025238,0.20430970191955566
june,0.2469879388809204,0.26244688034057617,0.18606777489185333,0.2692793905735016,0.20076370239257812,0.15408636629581451,0.21944983303546906,0.2827494144439697,0.15825264155864716,0.31416764855384827
1521,0.20012322068214417,0.09373841434717178,0.14376603066921234,0.17283309996128082,0.031910914927721024,0.14989089965820312,0.024354295805096626,0.08521086722612381,0.031179528683423996,0.0046399421989917755
",",0.36674630641937256,0.3015086054801941,0.3346089720726013,0.6633074283599854,0.33638501167297363,0.29676204919815063,0.2681531608104706,0.38314947485923767,0.23876431584358215,0.31091248989105225
exceeding,0.27299442887306213,0.23327100276947021,0.22828225791454315,0.31093156337738037,0.10597319900989532,0.21689949929714203,0.1848040372133255,0.285495400428772,0.1209387481212616,0.15067557990550995
anything,0.3953743577003479,0.361094206571579,0.44786059856414795,0.2751373052597046,0.17031408846378326,0.2022457867860794,0.23665615916252136,0.12224143743515015,0.12470795214176178,0.4830983281135559
envisaged,0.29242047667503357,0.3397414982318878,0.343211829662323,0.34426945447921753,0.2806464731693268,0.29234588146209717,0.2005072385072708,0.25574639439582825,0.2557777464389801,0.20459474623203278
by,0.4376842677593231,0.18574509024620056,0.23767106235027313,0.4289871156215668,0.22450381517410278,0.1663227528333664,0.11178559809923172,0.2368064820766449,0.22712822258472443,0.17966607213020325
luther,0.14516782760620117,0.23667675256729126,0.33932778239250183,0.20796556770801544,0.3488387167453766,0.1721709668636322,0.10476875305175781,0.13834704458713531,0.42518264055252075,0.1732746809720993
.,0.475719153881073,0.35288307070732117,0.3329770565032959,0.588965117931366,0.31160977482795715,0.32859939336776733,0.2863844931125641,0.4549728035926819,0.30842825770378113,0.4130953550338745
