,how,many,days,was,the,1996,film,shown,ahead,of,the,bbc,showing,?
finally,0.33198022842407227,0.2890043258666992,0.2737583816051483,0.3442646861076355,0.4516841769218445,0.16982907056808472,0.1760932356119156,0.18805831670761108,0.25403356552124023,0.2709518074989319,0.4516841769218445,0.13375084102153778,0.18827377259731293,0.16868984699249268
",",0.22659391164779663,0.40610817074775696,0.34504905343055725,0.45456063747406006,0.4933079481124878,0.20095814764499664,0.2552308440208435,0.25911012291908264,0.2872432768344879,0.4946078956127167,0.4933079481124878,0.14724469184875488,0.20210640132427216,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2574930489063263,0.48711544275283813,1.0,0.10029517859220505,0.2824619710445404,0.3387985825538635,0.21450060606002808,0.733189046382904,1.0,0.2735401690006256,0.34540408849716187,0.22068053483963013
1996,0.11204922944307327,0.12439823895692825,0.12820081412792206,0.16684161126613617,0.10029517859220505,1.0,0.020866384729743004,-0.025611797347664833,0.21322715282440186,0.08521515130996704,0.10029517859220505,0.06447122246026993,0.009369167499244213,0.18022380769252777
television,0.20427560806274414,0.23433995246887207,0.1740061640739441,0.2516675293445587,0.24569597840309143,0.010741958394646645,0.39371010661125183,0.3549835979938507,0.053000375628471375,0.21995750069618225,0.24569597840309143,0.48650142550468445,0.25163301825523376,0.16825827956199646
film,0.1829524040222168,0.15848217904567719,0.15281683206558228,0.25235438346862793,0.2824619710445404,0.020866384729743004,0.9999999403953552,0.2146872580051422,0.1281306892633438,0.22166931629180908,0.2824619710445404,0.24617424607276917,0.12854795157909393,0.16369038820266724
premièred,0.15400701761245728,0.2509937584400177,0.2200365960597992,0.29004207253456116,0.31893205642700195,0.04203883185982704,0.30298951268196106,0.2976760268211365,0.13888859748840332,0.24924404919147491,0.31893205642700195,0.30404993891716003,0.20876426994800568,0.253939151763916
on,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.3909217119216919,0.5107308030128479,0.11237630248069763,0.162833571434021,0.33996689319610596,0.2263985127210617,0.3966929316520691,0.5107308030128479,0.2646632492542267,0.33344483375549316,0.2714994251728058
12,0.10959922522306442,0.1780882626771927,0.16745930910110474,0.13560841977596283,0.28907760977745056,0.02071675844490528,0.014315635897219181,0.09877141565084457,0.0967516079545021,0.2886716425418854,0.28907760977745056,0.016015034168958664,0.09239069372415543,0.10021790862083435
may,0.22490409016609192,0.29758191108703613,0.3958265483379364,0.3388521671295166,0.2694292366504669,0.09097855538129807,0.20138096809387207,0.2276225984096527,0.1540500372648239,0.26447007060050964,0.2694292366504669,0.15727689862251282,0.22123929858207703,0.2768254578113556
1996,0.11204922944307327,0.12439823895692825,0.12820081412792206,0.16684161126613617,0.10029517859220505,1.0,0.020866384729743004,-0.025611797347664833,0.21322715282440186,0.08521515130996704,0.10029517859220505,0.06447122246026993,0.009369167499244213,0.18022380769252777
on,0.32655060291290283,0.32520127296447754,0.3459240794181824,0.3909217119216919,0.5107308030128479,0.11237630248069763,0.162833571434021,0.33996689319610596,0.2263985127210617,0.3966929316520691,0.5107308030128479,0.2646632492542267,0.33344483375549316,0.2714994251728058
