,what,organization,is,john,schmitt,and,ben,zipperer,members,of,?
john,0.18237407505512238,0.1363949030637741,0.16449548304080963,1.0000001192092896,0.2811048924922943,0.21634717285633087,0.3494240641593933,0.2179863601922989,0.15279202163219452,0.2407056987285614,0.13162356615066528
schmitt,0.11011455953121185,0.16191530227661133,0.15223990380764008,0.2811048924922943,0.9999998807907104,0.28049904108047485,0.2450004369020462,0.33519551157951355,0.18448834121227264,0.1329336315393448,0.14845654368400574
and,0.31309178471565247,0.21951423585414886,0.3859752118587494,0.21634717285633087,0.28049904108047485,1.0,0.22520434856414795,0.2766658067703247,0.2994427978992462,0.5116966962814331,0.20544172823429108
ben,0.16106489300727844,0.11959400773048401,0.17603172361850739,0.3494240641593933,0.2450004369020462,0.22520434856414795,1.0000001192092896,0.2191341370344162,0.14348511397838593,0.14767752587795258,0.22201596200466156
zipperer,0.18937762081623077,0.14048069715499878,0.24746310710906982,0.2179863601922989,0.33519551157951355,0.2766658067703247,0.2191341370344162,1.0,0.15536709129810333,0.2268097996711731,0.1936381757259369
(,0.2411840260028839,0.1716907024383545,0.35393038392066956,0.21336311101913452,0.24798175692558289,0.4862271547317505,0.17659667134284973,0.2442450076341629,0.17843009531497955,0.35032153129577637,0.40561532974243164
2006,-0.0008085015579126775,0.02953280508518219,0.07398132234811783,-0.0700293704867363,-0.14871101081371307,-0.03637295588850975,-0.06646721810102463,-0.0296862181276083,0.056921523064374924,0.10009169578552246,-0.1194092258810997
),0.26259949803352356,0.19336465001106262,0.37732169032096863,0.22096103429794312,0.24194583296775818,0.4961937665939331,0.18675778806209564,0.24719907343387604,0.1808496117591858,0.3680361211299896,0.42300865054130554
of,0.33290785551071167,0.25438958406448364,0.4854315221309662,0.2407056987285614,0.1329336315393448,0.5116966962814331,0.14767752587795258,0.2268097996711731,0.28120753169059753,1.0,0.1826142966747284
the,0.42745697498321533,0.311172217130661,0.5823672413825989,0.2230520099401474,0.21766848862171173,0.5171257257461548,0.17335548996925354,0.2675034701824188,0.3321719169616699,0.733189046382904,0.22068053483963013
cepr,0.0985657274723053,0.16803203523159027,0.14056122303009033,0.2578504979610443,0.2483067810535431,0.1962081342935562,0.16644960641860962,0.27015015482902527,0.07959400117397308,0.15543855726718903,0.308832585811615
point,0.3286605179309845,0.09701003134250641,0.29601794481277466,0.121251679956913,0.06896612793207169,0.23319636285305023,0.20739249885082245,0.1674203872680664,0.04362448304891586,0.269877165555954,0.19189560413360596
to,0.455847829580307,0.26166829466819763,0.42745086550712585,0.2070634365081787,0.1925673484802246,0.48971283435821533,0.19996879994869232,0.23082011938095093,0.26617446541786194,0.41548454761505127,0.29463258385658264
