,what,percentile,of,gross,domestic,product,is,construction,comprised,of,?
construction,0.20329850912094116,0.1853133738040924,0.2815735340118408,0.20236852765083313,0.2106809914112091,0.21384283900260925,0.2135658711194992,1.0,0.18742506206035614,0.2815735340118408,0.13494056463241577
as,0.31749409437179565,0.18977800011634827,0.3886612355709076,0.17114754021167755,0.2261807769536972,0.24336670339107513,0.43216490745544434,0.22668303549289703,0.24839863181114197,0.3886612355709076,0.27043893933296204
an,0.2821882665157318,0.21433919668197632,0.32280945777893066,0.12083896994590759,0.1149212047457695,0.24065615236759186,0.4654068350791931,0.13825856149196625,0.1594073623418808,0.32280945777893066,0.19793890416622162
industry,0.1966298520565033,0.24540653824806213,0.27385562658309937,0.235566183924675,0.2417241632938385,0.3709416687488556,0.25796735286712646,0.3407537043094635,0.21600021421909332,0.27385562658309937,0.11813290417194366
comprises,0.12282794713973999,0.28358009457588196,0.3857746422290802,0.2130977362394333,0.1817546933889389,0.13729915022850037,0.34238201379776,0.20895637571811676,0.8453612923622131,0.3857746422290802,0.037654489278793335
six,0.1779850870370865,0.18713203072547913,0.3317931592464447,0.08400274068117142,0.14114564657211304,0.034675031900405884,0.20925110578536987,0.1586941033601761,0.3607465326786041,0.3317931592464447,0.15298804640769958
to,0.455847829580307,0.2740657329559326,0.41548454761505127,0.1351269632577896,0.22657187283039093,0.24510730803012848,0.42745086550712585,0.24810278415679932,0.1398497223854065,0.41548454761505127,0.29463258385658264
nine,0.11931172013282776,0.20650891959667206,0.29486238956451416,0.11919356882572174,0.19043701887130737,0.007719803135842085,0.17531593143939972,0.11952085047960281,0.3277100920677185,0.29486238956451416,0.13964155316352844
percent,0.2506202459335327,0.8209049105644226,0.3004763424396515,0.24078619480133057,0.2455407679080963,0.26064807176589966,0.24196593463420868,0.1310037225484848,0.2665644586086273,0.3004763424396515,0.14671556651592255
of,0.33290785551071167,0.31046009063720703,1.0,0.21245229244232178,0.1528376340866089,0.19526132941246033,0.4854315221309662,0.2815735340118408,0.3694441318511963,1.0,0.1826142966747284
the,0.42745697498321533,0.2747727334499359,0.733189046382904,0.1785203367471695,0.21731778979301453,0.23984220623970032,0.5823672413825989,0.2671978175640106,0.28885143995285034,0.733189046382904,0.22068053483963013
gross,0.1786828190088272,0.3265029489994049,0.21245229244232178,0.9999999403953552,0.37885943055152893,0.37671908736228943,0.14047035574913025,0.20236852765083313,0.1616014838218689,0.21245229244232178,0.22810624539852142
domestic,0.11560896784067154,0.26095834374427795,0.1528376340866089,0.37885943055152893,1.0,0.3024592697620392,0.16967669129371643,0.2106809914112091,0.13645458221435547,0.1528376340866089,0.1850636899471283
product,0.2465333193540573,0.315292626619339,0.19526132941246033,0.37671908736228943,0.3024592697620392,1.0,0.2903512120246887,0.21384283900260925,0.09285097569227219,0.19526132941246033,0.19651241600513458
of,0.33290785551071167,0.31046009063720703,1.0,0.21245229244232178,0.1528376340866089,0.19526132941246033,0.4854315221309662,0.2815735340118408,0.3694441318511963,1.0,0.1826142966747284
developed,0.15555569529533386,0.21217912435531616,0.21960023045539856,0.06569745391607285,0.1321965903043747,0.22812363505363464,0.21550270915031433,0.232700914144516,0.25994715094566345,0.21960023045539856,0.10763012617826462
countries,0.22319257259368896,0.239033043384552,0.2800094783306122,0.2625318169593811,0.37686222791671753,0.255465030670166,0.254234254360199,0.11900164932012558,0.2746354639530182,0.2800094783306122,0.15128466486930847
.,0.3567904531955719,0.2710314691066742,0.5352458953857422,0.24170349538326263,0.2479872703552246,0.21721361577510834,0.4569662809371948,0.23682771623134613,0.18239986896514893,0.5352458953857422,0.4130953550338745
