,when,did,tesla,depart,from,colorado,springs,?
on,0.37706470489501953,0.2670976221561432,0.16159376502037048,0.20500448346138,0.36926645040512085,0.1674119234085083,0.20432116091251373,0.2714994251728058
7,-0.21990855038166046,-0.147744283080101,-0.026343144476413727,-0.039204247295856476,-0.12703488767147064,0.0868503600358963,0.008574334904551506,-0.15092156827449799
january,0.23963238298892975,0.23508968949317932,0.13615937530994415,0.06846516579389572,0.20058557391166687,0.13287070393562317,0.21282535791397095,0.28608936071395874
1900,0.055429618805646896,0.01588265411555767,0.14594212174415588,0.030278777703642845,0.0703485906124115,-0.028057824820280075,-0.06704959273338318,0.12663045525550842
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2064686268568039,0.39760664105415344,0.23917348682880402,0.3291926681995392,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.06655997782945633,0.10324860364198685,0.17255069315433502,0.18937155604362488,0.10250775516033173
left,0.3236202895641327,0.27335280179977417,0.0739469900727272,0.18465951085090637,0.2032279670238495,0.20163056254386902,0.14312104880809784,0.13251960277557373
colorado,0.14737550914287567,0.16166602075099945,0.17255069315433502,0.15046198666095734,0.2050378918647766,1.0,0.477096289396286,0.15461322665214539
springs,0.2640158534049988,0.10978550463914871,0.18937155604362488,0.12503744661808014,0.20389872789382935,0.477096289396286,1.0000001192092896,0.0950024425983429
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.1888647824525833,0.41536515951156616,0.26907283067703247,0.27708810567855835,0.4130953550338745
